food	count
water	23
steak	19
beer	19
chicken	16
round	16
salad	12
turf	9
western	9
burger	8
buffet	8
rib	7
toast	6
shoot	6
potato	6
dessert	5
bean	5
margarita	5
candy	5
sandwich	5
baked potato	4
corn	4
veggie	4
cookout	4
wine	4
corn cob	3
coffee	3
bread	3
tuna salad	3
ice cream	3
cheese	3
beef	3
grass	3
stick	3
chip	3
fruit	3
egg	3
muffin	2
snack	2
apple pie	2
hay	2
rice	2
sauce	2
goat cheese	2
banquet	2
meat	2
onion	2
cooler	2
roast	2
mixed drink	2
lemonade	2
mashed potato	2
jalapeno	2
ice	2
popcorn	2
wrap	2
medallion	2
filet	2
omelet	2
starter	2
heart	2
sirloin	2
pie	2
tamale	2
tuna	2
corn muffin	2
hot dog	2
beverage	2
pilaf	2
cornbread muffin	1
chowder	1
apple butter	1
red delicious	1
iced tea	1
booze	1
corn chowder	1
chicken quesadilla	1
barbecue	1
calamari	1
avocado	1
spirit	1
roasted vegetable	1
board	1
sprout	1
orange	1
split	1
difference	1
gem	1
shoulder	1
string bean	1
smoked bacon	1
frittata	1
tart	1
dip	1
rack	1
picnic	1
nut	1
fast food	1
macaroni cheese	1
sausage	1
alcohol	1
whiskey	1
glaze	1
fillet	1
tiramisu	1
cheesecake	1
albacore	1
pepper	1
bass	1
sundae	1
leg	1
mushroom sauce	1
grilled asparagus	1
cookie	1
mac cheese	1
pasta	1
lettuce wrap	1
mullet	1
iceberg lettuce	1
biscuit	1
shrimp	1
draft beer	1
grain	1
soda	1
fry bread	1
apple	1
marshmallow	1
champ	1
duck	1
soy	1
turkey	1
reuben	1
blue cheese	1
buttermilk	1
draft	1
bread butter pickle	1
fruit vegetable	1
baked bean	1
cosmopolitan	1
gluten	1
mushroom	1
salad dressing	1
bread pudding	1
pink lady	1
prune	1
tater	1
vanilla	1
soup	1
bloody mary	1
home fry	1
honey	1
glazed carrot	1
carrot	1
cobbler	1
old fashioned	1
mint julep	1
peach	1
fixing	1
topped	1
bagel	1
root beer float	1
catfish	1
feta	1
fudge	1
goat	1
gravy	1
cocktail	1
egg benedict	1
salmon	1
mimosa	1
salsa	1
tomato	1
neck	1
bbq sauce	1
martini	1
