food	count
chicken	32
kabob	28
gyro	22
rice	20
hummus	18
bread	16
meat	16
pita	16
sauce	12
beef	8
salad	8
lamb	8
falafel	7
tzatziki	7
basmati rice	7
wrap	6
spice	6
soup	6
yogurt	5
baklava	5
garlic sauce	5
naan	5
baba	5
spicy	5
sandwich	5
dumpling	4
dessert	4
kebab	4
filet	4
halal	4
saffron	4
vegetable	4
topped	3
samosa	3
onion	3
goat	3
water	3
stew	3
fattoush	3
eggplant	3
garlic	3
french fry	3
curry	3
veggie	3
baba ganoush	3
ground beef	3
greek salad	3
mint	3
tomato	3
orange	2
dolmades	2
difference	2
dip	2
lentil soup	2
pepper	2
jasmine rice	2
leftover	2
raisin	2
stuffed grape leaf	2
humus	2
spiced	2
carrot	2
naan bread	2
nan	2
grilled tomato	2
cucumber	2
tahini	2
feed	1
steamed	1
iced tea	1
dough	1
roasted	1
egg roll	1
snack	1
grape	1
banquet	1
coffee	1
ketchup	1
gem	1
walnut sauce	1
roll	1
filling	1
roast	1
pizza	1
milk shake	1
grub	1
seasoning	1
fresh food	1
lemonade	1
burger	1
ravioli	1
ice cream	1
dog food	1
mutton	1
okra	1
spanakopita	1
chicken stock	1
lemon rice	1
spinach pie	1
cauliflower	1
sausage	1
mango	1
tabbouleh salad	1
fried egg	1
vinegar	1
orange sauce	1
cheese sauce	1
soda	1
olive oil	1
cheese	1
potato peel	1
red onion	1
chutney	1
lettuce	1
dove	1
stock	1
crab	1
basil	1
white meat	1
butter	1
coke	1
edible	1
paprika	1
garbanzo	1
heart	1
rice pudding	1
broth	1
honey	1
spicy sauce	1
lemon	1
mushroom	1
tomato sauce	1
split	1
cucumber salad	1
bottled water	1
luncheon	1
tart	1
ricotta cheese	1
pomegranate	1
side dish	1
taco	1
chicken rice	1
wonton	1
burrito	1
potato	1
rice salad	1
beverage	1
chicken breast	1
egg	1
