food	count
goat	19
chicken	16
rice	13
soup	12
meat	11
curry	11
spicy	8
tilapia	7
jerk chicken	7
dumpling	6
sauce	6
pepper	6
meat pie	5
onion	5
filling	5
plantain	5
fish	5
steak	4
broth	4
ginger	4
mint	4
buffet	4
tomato stew	3
dough	3
chicken curry	3
flour	3
donut	3
leg	3
water	3
cassava	3
beef	3
salad	3
mashed potato	3
dessert	3
barbecue	2
pineapple juice	2
sugar	2
brownie	2
jollof rice	2
liquor	2
ice cream	2
stew	2
fried rice	2
corn	2
leftover	2
spiced	2
patty	2
creamy	2
green bean	2
olive	2
spice	2
tripe	2
fried plantain	2
banana	2
cake	2
hot sauce	2
mango juice	2
pie	2
carrot	2
vegetable	2
broccoli	2
butter	2
thigh	1
tomato rice	1
fillet	1
smoothie	1
peanut	1
celery	1
orange	1
split	1
icing	1
bean	1
watermelon	1
gem	1
bread	1
chicken leg	1
meat patty	1
nutmeg	1
whip	1
green olive	1
lobster	1
fast food	1
alcoholic drink	1
okra	1
rum	1
ice	1
italian dressing	1
lime	1
pea	1
diet	1
pepsi	1
fettuccine alfredo	1
pasta	1
little gem	1
orange juice	1
shrimp	1
takeout	1
cut meat	1
pita	1
puff	1
peanut butter	1
side beef	1
cranberry juice	1
guinness	1
dove	1
beer	1
garnish	1
white rice	1
white meat	1
tomato	1
chicken biryani	1
couscous	1
western	1
starter	1
hush puppy	1
cornmeal	1
basmati rice	1
coconut	1
juice	1
spicy sauce	1
pastry	1
rib	1
topped	1
biryani	1
beef patty	1
bottled water	1
whipped cream	1
pizza	1
surf	1
sandwich	1
mustard	1
cocktail	1
cheesecake	1
soda	1
daiquiri	1
chicken rice	1
lamb stock	1
mustard sauce	1
rice salad	1
jerk seasoning	1
soul food	1
