food	count
steak	18
chicken	12
beer	9
western	9
salad	8
rib	6
toast	5
bean	5
margarita	5
dessert	4
baked potato	4
corn	4
veggie	4
shoot	4
cookout	4
potato	4
corn cob	3
candy	3
ice cream	3
stick	3
muffin	2
apple pie	2
hay	2
bread	2
sauce	2
coffee	2
goat cheese	2
meat	2
onion	2
roast	2
burger	2
mashed potato	2
jalapeno	2
cheese	2
medallion	2
filet	2
starter	2
sirloin	2
pie	2
buffet	2
corn muffin	2
egg	2
iced tea	1
sundae	1
barbecue	1
calamari	1
pink lady	1
roasted vegetable	1
orange	1
difference	1
cooler	1
frittata	1
tart	1
dip	1
rack	1
picnic	1
lemonade	1
fast food	1
macaroni cheese	1
fillet	1
tiramisu	1
pepper	1
bass	1
leg	1
water	1
grilled asparagus	1
mac cheese	1
iceberg lettuce	1
shrimp	1
draft beer	1
soda	1
popcorn	1
fry bread	1
apple	1
marshmallow	1
soy	1
beef	1
blue cheese	1
buttermilk	1
bread butter pickle	1
fruit vegetable	1
baked bean	1
gluten	1
mushroom	1
salad dressing	1
omelet	1
spirit	1
prune	1
tater	1
whiskey	1
home fry	1
heart	1
honey	1
cornbread muffin	1
cobbler	1
old fashioned	1
peach	1
topped	1
root beer float	1
split	1
feta	1
fudge	1
goat	1
sandwich	1
cheesecake	1
salmon	1
fruit	1
tomato	1
bbq sauce	1
beverage	1
