food	count
cheese	21
pizza	20
beer	19
chicken	14
chuck	10
wing	10
shoot	9
steak	8
alcohol	8
salad	8
dessert	7
stick	7
cocktail	7
burger	6
chocolate	6
dip	5
water	5
soda	5
roll	5
sandwich	5
fruit	5
candy	4
shrimp	4
heart	4
sugar	3
round	3
pasta	3
feed	3
lettuce	3
grilled chicken	3
rib	3
topping	3
taco	3
salsa	3
wine	3
booze	2
skate	2
dough	2
parmesan	2
snack	2
rice	2
sauce	2
coffee	2
alcoholic beverage	2
margarita	2
shoulder	2
onion	2
bay	2
cooler	2
filling	2
mixed drink	2
fondue	2
ice	2
chicken wing	2
nacho	2
black bean	2
french fry	2
marshmallow	2
creamy	2
chicken sandwich	2
mushroom	2
bun	2
edible	2
rack	2
vodka	2
hamburger	2
chip	2
pie	2
buffet	2
garlic	2
tomato	2
buffalo	2
martini	2
graham cracker	2
grilled salmon	1
steamed	1
tequila	1
iced tea	1
artichoke	1
sugar water	1
ham	1
rose	1
avocado	1
pretzel	1
board	1
dressing	1
garlic clove	1
bread	1
bbq chicken	1
mayo	1
brownie	1
marshmallow brownie	1
soft pretzel	1
chocolate cake	1
difference	1
ketchup	1
meat	1
brain	1
nut	1
feast	1
mojito	1
smoked bacon	1
dripping	1
seasoning	1
tea	1
finger food	1
shake	1
bacon	1
bear claw	1
potato salad	1
mashed potato	1
wonderland	1
alcoholic drink	1
macaroni cheese	1
ice cream	1
seafood pasta	1
irish cream	1
strawberry	1
wheat	1
leg	1
herb	1
liver	1
tortilla	1
mozzarella	1
sour cream	1
spinach	1
jelly	1
soldier	1
grain	1
berry	1
turf	1
swallow	1
cheeseburger	1
liqueur	1
veggie	1
rum	1
chocolate fondue	1
fresh food	1
duck	1
wrap	1
saltine	1
beef	1
tomato paste	1
sake	1
blue cheese	1
green bean	1
hard cider	1
charlotte russe	1
banana	1
coke	1
salad dressing	1
liquor	1
chili	1
spirit	1
breadstick	1
split	1
soup	1
cake	1
sweet potato	1
soft drink	1
chocolate milk	1
sushi	1
twist	1
juice	1
carrot	1
mole	1
peach	1
conserve	1
quesadilla	1
whip	1
banana foster	1
dipping sauce	1
macaroni salad	1
cranberry	1
salmon	1
broccoli	1
tempura	1
neck	1
potato	1
seafood	1
date bar	1
mash	1
watermelon	1
pilaf	1
scotch	1
