food	count
bagel	653
sandwich	375
cream cheese	166
coffee	166
cheese	131
egg	114
soup	92
meat	91
lox	83
pastrami	80
bread	71
turkey	71
pickle	60
corned beef	55
salad	52
veggie	46
matzo ball	41
onion	39
bialy	38
pastry	38
potato	38
challah	37
bacon	37
pancake	37
dessert	36
potato pancake	35
gravy	35
chicken	35
brisket	34
omelet	32
chip	31
rye	28
sausage	28
wheat	28
cake	26
french toast	24
tomato	24
salt	24
boar	24
honey	23
soda	23
reuben	23
water	22
stick	22
fruit	22
filling	21
potato salad	20
roll	20
chocolate	19
cookie	19
toast	18
kosher	18
wrap	17
spinach	17
scrambled egg	17
split	17
butter	17
omelette	17
rye bread	17
burger	16
patty	16
ham	16
jalapeno	16
egg white	15
garlic	15
knish	15
strawberry	15
chopped liver	15
latke	14
stock	14
corned beef hash	14
mushroom	14
cucumber	14
baked good	14
dressing	13
jack	13
blueberry	13
cole	13
lettuce	13
sweet potato	13
slaw	13
breakfast burrito	13
chicken salad	12
heart	12
avocado	12
topping	12
beef	12
topped	12
tea	11
latte	11
home fry	11
coleslaw	11
caper	11
muffin	11
sesame	11
roast beef	11
ham egg	11
difference	10
sauerkraut	10
chicken soup	10
western	10
salmon	10
sugar	10
iced tea	10
whitefish	10
tuna	10
nosh	10
egg benedict	10
milk	9
vanilla	9
bacon egg	9
cinnamon	9
syrup	9
comfort food	9
egg salad	9
cheddar	9
ice	9
leftover	9
cranberry	9
mustard	9
almond cream	8
dip	8
matzah ball	8
bloody mary	8
red onion	8
waffle	8
juice	8
breakfast food	8
snack	8
smoked salmon	8
crumb	8
goody	8
bun	8
condiment	8
cream	8
fast food	7
onion roll	7
sour	7
onion bagel	7
swiss cheese	7
hash brown	7
pumpkin	7
fish	7
cheddar cheese	7
skin	6
chicken noodle soup	6
almond	6
potato latke	6
french fry	6
apple	6
creamy	6
chicken sandwich	6
salsa	6
pizza	6
poppy seed	6
steak	6
scallion	6
nova lox	6
brooklyn	6
matzoh ball	6
nut	6
pepsi	6
orange juice	6
grain	6
peanut butter	6
red velvet cake	6
mayo	6
pepper	6
split pea	6
biscuit	6
cheese sandwich	6
whipped cream	6
asparagus	5
pumpernickel	5
frosting	5
cinnamon sugar	5
donut	5
olive	5
potato chip	5
taco	5
cupcake	5
raisin	5
feed	5
banana	5
hazelnut	5
mimosa	5
corn beef	5
roasted red pepper	5
celery	5
bbq sauce	5
beer	5
chili	5
broth	5
rib	5
vegetable	5
noodle	5
burrito	5
sour cream	5
cottage cheese	5
fish chip	5
sesame seed	5
spicy	5
gluten	5
tuna salad	5
lemon	5
tart	5
macaroni salad	5
diet	5
fruit salad	5
beverage	5
buffalo	5
pork	4
espresso	4
bird	4
stuffed cabbage	4
feta	4
croissant	4
sprout	4
dough	4
shake	4
smoothie	4
babka	4
cinnamon roll	4
seed	4
hot dog	4
green tea	4
tortilla	4
lemonade	4
fried egg	4
chorizo	4
loaf	4
crispy bacon	4
liver	4
dill pickle	4
parmesan	4
smoked	4
board	4
manhattan	4
corn	4
