food	count
salad	76
beer	70
wine	65
wrap	59
pizza	52
sandwich	50
burger	47
chicken	42
popcorn	41
cheese	41
wing	35
meat	34
sauce	26
bacon	25
dessert	23
veggie	22
taco	21
punch	20
soda	17
soup	16
onion	16
quesadilla	15
tomato	15
alcohol	15
rice	15
onion ring	15
chocolate	14
chip	14
shrimp	14
tofu	14
spicy	14
dip	13
water	13
egg	13
coffee	13
pasta salad	13
pork	12
cocktail	12
fish	12
steak	12
pulled pork	12
ham	12
spice	12
strawberry	12
buffalo	12
sushi	11
fruit	11
coke	11
beverage	11
filling	10
tortilla	10
snack	10
mushroom	10
chili	10
potato	10
creamy	9
hamburger	9
salsa	9
pesto	9
lettuce	9
spinach	9
split	9
garlic	9
pie	9
parmesan	8
dressing	8
french fry	8
martini	8
avocado	8
cheeseburger	8
tuna	8
candy	8
pasta	8
roll	8
margarita	7
leg	7
mac cheese	7
bread	7
lemonade	7
gravy	7
salt	7
orange	7
apple	7
pepper	7
red onion	7
bun	7
round	6
stick	6
carrot	6
feta	6
brownie	6
hash brown	6
cracker	6
rib	6
vegetable	6
burrito	6
jalapeno	6
beef	6
blue cheese	6
topped	6
peanut	5
jack	5
seasoning	5
tea	5
fast food	5
sausage	5
nacho	5
milkshake	5
olive	5
bloody mary	5
iced tea	5
artichoke	5
potato skin	5
waffle	5
fry bread	5
pastry	5
mint	5
bean	5
grilled chicken	5
chorizo	5
butter	5
caesar salad	5
meatloaf	5
ice	5
wheat	5
corn	5
biscuit	5
omelet	5
fruit salad	5
milk	4
difference	4
chicken salad	4
white wine	4
herb	4
spiced	4
fried chicken	4
sour	4
potato chip	4
crepe	4
chicken quesadilla	4
carrot cake	4
feed	4
liquor	4
coleslaw	4
slaw	4
cheesecake	4
bbq sauce	4
seafood	4
booze	4
toast	4
smoked salmon	4
pretzel	4
smoked bacon	4
shake	4
pancake	4
scallop	4
chile	4
old fashioned	4
baked good	4
sour cream	4
cut meat	4
board	4
mayo	4
alcoholic beverage	4
topping	4
cheese bread	4
cranberry	4
cheese sandwich	4
chicken pot pie	4
cake	4
cream	4
couscous	3
guacamole	3
pork tenderloin	3
