food	count
meat	157
salad	157
chicken	42
lamb	42
cheese	40
dessert	39
sirloin	37
pork	35
beef	35
mashed potato	29
wine	29
polenta	28
steak	27
bacon	26
bread	23
rib	23
filet mignon	22
filet	21
cut meat	20
parmesan	18
smoked salmon	18
side dish	18
banana	17
buffet	17
asparagus	16
garlic	16
vegetable	14
heart	13
sausage	13
cheese bread	12
fried banana	12
mozzarella	11
prosciutto	10
veggie	10
lamb chop	9
brazil	9
plantain	9
water	9
mushroom	9
dressing	8
variety meat	8
apple salad	8
red meat	8
potato	8
caipirinha	7
cream	7
papaya	7
leg lamb	6
chicken salad	6
diet	6
cake	6
dried tomato	6
popover	6
roll	6
soda	6
artichoke heart	6
coffee	5
pepper	5
cocktail	5
round	4
artichoke	4
alcohol	4
leg	4
salami	4
chicken leg	4
apple	4
beer	4
butter	4
stick	4
flan	4
cut beef	4
filling	4
fruit	4
creme brulee	4
mash	4
pineapple	4
salt	4
creamy	3
topped	3
pork loin	3
feast	3
seasoning	3
fish	3
potato salad	3
pork chop	3
sangria	3
fillet	3
lettuce	3
coke	3
salad dressing	3
savory	3
olive	3
roasted	3
soft drink	3
pork tenderloin	3
juice	3
black bean	3
cheesecake	3
cold cut	3
salmon	3
tomato	3
seafood	3
manchego cheese	3
chocolate cake	2
mojito	2
bean	2
buffalo mozzarella	2
iced tea	2
booze	2
chocolate mousse	2
basil salad	2
mixed drink	2
lemonade	2
burger	2
barbeque	2
corn	2
grand marnier	2
vanilla ice cream	2
rack	2
cherry	2
tenderloin	2
gluten	2
pasta	2
rice	2
crumb	2
fried plantain	2
strawberry	2
lobster	2
martini	2
bread roll	2
tres lech cake	2
pinot noir	2
puff	2
pork sausage	2
chicken breast	2
charcuterie	1
bell pepper	1
beef sausage	1
berry	1
morsel	1
mousse	1
rock salt	1
dough	1
passion fruit	1
milk	1
brie	1
mac cheese	1
side order	1
key lime	1
health food	1
sugar	1
melon	1
pesto	1
margarita	1
fast food	1
finger food	1
starch	1
flank	1
red wine	1
truffle	1
sparkling wine	1
linguica	1
onion	1
marinade	1
caramel	1
lamb shank	1
caesar salad	1
corn fritter	1
concoction	1
smoked salmon salad	1
vino	1
tea	1
tuna salad	1
candy	1
barbecue	1
roasted pepper	1
meatloaf	1
rum	1
ice	1
mate	1
strawberry cheesecake	1
fiber	1
wheat	1
crouton	1
herb	1
roasted garlic	1
sirloin beef	1
concentrate	1
tabbouleh salad	1
leaf lettuce	1
polenta cake	1
biscuit	1
draft beer	1
cucumber	1
swallow	1
limeade	1
rabbit food	1
dodger	1
liqueur	1
ice tea	1
leftover	1
raw vegetable	1
barbecue sauce	1
turkey	1
grub	1
spinach	1
sauterne	1
slug	1
jam	1
tom	1
fruit vegetable	1
apple juice	1
medallion	1
tongue	1
smoked	1
chocolate	1
brain	1
nut	1
green bean	1
food coloring	1
starter	1
shoot	1
lamb fillet	1
sauce	1
alcoholic drink	1
sour	1
marbling	1
potato chip	1
vodka	1
gin tonic	1
chip	1
sushi	1
honey	1
bbq chicken	1
seed	1
sundried tomato	1
lemon	1
mint	1
sundae	1
split	1
flour	1
stock	1
birthday cake	1
sprinkle	1
flank steak	1
blood	1
key lime pie	1
chocolate mousse cake	1
baked good	1
buffalo	1
chimichurri sauce	1
mai tai	1
beverage	1
chopped liver	1
chocolate fudge cake	1
