food	count
curry	17
salad	14
dessert	9
chicken	8
noodle	8
sauce	7
spicy	7
spice	7
cake	7
tofu	6
semolina	5
stick	5
pork belly	5
samosa	4
split pea	4
tea leaf	4
green tea	3
milk	3
rose	3
dipping sauce	3
rice noodle	3
tilapia	3
soy	3
beef	3
squash	3
tapioca	3
soup	3
ginger	3
garlic	3
cabbage	3
coconut curry	3
wine	3
cilantro	2
rice	2
chicken curry	2
meat	2
onion	2
lettuce	2
pea	2
coconut rice	2
fish	2
prawn	2
ice cream	2
tempura	2
shrimp	2
peanut	2
veggie	2
beer	2
fish curry	2
sea bass	2
little gem	2
bread pudding	2
starter	2
sushi	2
spicy sauce	2
sundae	2
vegetable	2
lamb curry	2
short rib	2
bok choy	2
boiled egg	2
mango	2
egg	2
chickpea	1
topped	1
roasted	1
pea flour	1
satay	1
kebab	1
savory	1
swordfish	1
bean	1
potato curry	1
chicken skewer	1
bread	1
roti	1
fritter	1
lentil soup	1
seasoning	1
tea	1
shake	1
bamboo shoot	1
bay	1
elizabeth	1
whitefish	1
okra	1
jalapeno	1
icecream	1
yogurt	1
bird	1
pasty	1
corn	1
onion salt	1
egg noodle	1
water	1
snack	1
leftover	1
orange sauce	1
vanilla ice cream	1
raisin	1
jelly	1
hummus	1
pudding	1
mussel	1
jello	1
fried chicken	1
tomato salad	1
onion salad	1
duck	1
tamarind	1
custard	1
beef curry	1
spinach	1
sake	1
creamy	1
grilled chicken	1
syrup	1
banana	1
butternut squash	1
mushroom	1
coffee bean	1
orange	1
western	1
chile	1
chili	1
edible	1
tofu salad	1
black bean sauce	1
lemon oil	1
pizza	1
singapore noodle	1
coconut	1
spiced	1
chip	1
stir fried	1
side pork	1
juice	1
lemon juice	1
carrot	1
pastry	1
dark meat	1
durian	1
lemon	1
steak	1
spring roll	1
raspberry sorbet	1
coconut milk	1
oil	1
delicacy	1
fruit	1
yellow bean	1
puff	1
tomato	1
wonton	1
potato	1
seafood	1
banana fritter	1
halibut	1
fried noodle	1
duck sauce	1
smoked	1
