food	count
beef	43
spring roll	28
shrimp	25
soup	24
sandwich	20
noodle	18
rice	15
chicken	14
fish	14
meat	12
pork	12
crepe	12
dessert	11
rice noodle	11
basil	11
lemongrass	10
salad	10
seed	10
broth	10
noodle soup	10
veggie	9
spicy	9
sauce	8
banana	8
iced tea	7
corn	7
pate	7
grass	7
fish sauce	7
lemon	7
garlic	7
egg roll	6
coffee	6
tapioca	6
stick	6
cilantro	5
bread	5
tea	5
sausage	5
beef salad	5
curry	5
stir fried	5
vegetable	5
tapioca pudding	5
sugar	4
difference	4
round	4
fried rice	4
jelly	4
tofu	4
bean sprout	4
spice	4
coconut milk	4
roasted	3
milk	3
gem	3
iced coffee	3
sour	3
marinade	3
condensed milk	3
ice	3
chicken wing	3
onion	3
feed	3
lettuce	3
wrap	3
ling	3
white rice	3
heart	3
honey	3
carrot	3
green onion	3
baguette	3
liver	3
topped	3
chicken rice	3
broccoli	3
egg	3
wine	3
steamed	2
fried bread	2
dressing	2
savory	2
cucumber soup	2
chicken noodle soup	2
cucumber	2
filling	2
steak	2
soy	2
alcohol	2
jalapeno	2
fried banana	2
vegetable broth	2
jasmine rice	2
water	2
chicken soup	2
espresso	2
chicken broth	2
syrup	2
tripe	2
pickled vegetable	2
pizza	2
ginger	2
juice	2
wing	2
roll	2
diet	2
butter	2
soy sauce	2
salt	2
chile	1
beef sausage	1
rice dish	1
sprout	1
booze	1
radish salad	1
cola	1
stir fried chicken	1
snack	1
peanut	1
vietnamese beef	1
dumpling	1
board	1
egg top	1
won ton	1
finger food	1
citrus	1
mayo	1
rice soup	1
bean	1
lime leaf	1
jack	1
jackfruit	1
baking	1
riesling	1
dip	1
offal	1
picnic	1
shake	1
noodle broth	1
pulse	1
papaya salad	1
meatloaf	1
banana pudding	1
donut	1
leg	1
glaze	1
herb	1
plantain	1
roast duck	1
pepper	1
cauliflower	1
tempura	1
corn cob	1
stew	1
pancake	1
goody	1
takeout	1
cinnamon	1
soda	1
cookie	1
tongue	1
jello	1
tilapia	1
ice tea	1
soybean	1
tamarind	1
black pepper	1
lime	1
pork meatball	1
spinach	1
wad	1
winter melon	1
creamy	1
beer	1
green bean	1
crab	1
grilled chicken	1
beverage	1
mushroom	1
omelette	1
chicken breast	1
coke	1
vermicelli	1
dripping	1
melon	1
ceviche	1
western	1
carrot salad	1
spirit	1
starter	1
shoot	1
roasted rice	1
steamed rice	1
sweet potato	1
hot sauce	1
coconut	1
fresh herb	1
shin	1
beef soup	1
slaw	1
squid	1
pork belly	1
mold	1
smoked	1
pot roast	1
steamed chicken	1
mint	1
fixing	1
vegetable soup	1
flour	1
tart	1
papaya	1
chow	1
fruit	1
blood	1
hot pot	1
wonton	1
hot dog	1
seafood	1
mango	1
dark meat	1
pickled carrot	1
hot pepper	1
