food	count
rice	172
chicken	171
jerk chicken	165
sweet potato	152
fish	144
spicy	142
plantain	127
breadfruit	96
rum	96
pork	93
burger	87
shrimp	87
cocktail	86
sauce	86
taco	85
curry	83
sandwich	80
salad	74
dessert	63
coconut	63
goat	62
tofu	62
meat	60
mai tai	54
avocado	54
pineapple	53
bean	52
water	51
spice	47
veggie	44
spring roll	44
roll	43
wine	42
beer	40
pea	40
bread	39
beef	36
mango	35
stew	35
black bean	35
steak	34
martini	34
slaw	33
dumpling	32
stick	32
scallop	32
oxtail	32
patty	31
fried plantain	31
fruit	31
cabbage	30
cheese	30
ceviche	29
margarita	28
soup	28
pulled pork	27
vegetable	27
carrot juice	26
jimmy	26
ginger	25
seafood	25
nacho	24
filling	24
ginger beer	24
blood orange	24
corn	24
mojito	23
coleslaw	23
buffet	23
beef patty	22
alcohol	22
split	22
prawn	21
juice	21
soda	20
bun	20
heart	18
ice cream	18
banana	18
onion	18
dark stormy	17
coffee	17
steamed	17
pie	17
creamy	16
wasabi	16
savory	16
tuna	16
coconut milk	16
pepper	16
cake	16
mimosa	15
salt	15
chutney	15
teriyaki	15
roti	15
butterfish	15
beverage	15
dipping sauce	14
wonton	14
seaweed salad	13
cheeseburger	13
mashed potato	13
vanilla	13
roasted	13
mango chutney	13
dressing	12
seasoning	12
calamari	12
punch	12
rib	12
tilapia	12
topped	12
spiced	11
french fry	11
hot pot	11
carrot	11
pizza	11
salsa	11
egg	11
iced tea	11
spinach	11
mint	11
chicken curry	11
lemonade	11
white rice	11
leftover	11
egg benedict	11
hash	10
hot sauce	10
mussel	10
lime	10
chicken sandwich	10
starter	10
sour	10
johnny cake	10
wing	10
key lime pie	10
side dish	10
sugar	10
gem	10
cole	10
tart	10
chicken breast	10
red snapper	10
meat pie	9
tea	9
bacon	9
fast food	9
chip	9
ice tea	9
liquor	9
broth	9
concoction	9
pina colada	9
hurricane	9
tortilla	9
potato	9
round	8
fish cake	8
chicken rice	8
dough	8
aioli	8
macadamia nut	8
pudding	8
breadstick	8
butter	8
chicken stew	8
caesar salad	8
coke	8
cream	8
chocolate	8
blood sausage	8
passion fruit	7
brownie	7
sea scallop	7
rum punch	7
