food	count
pizza	86
sandwich	83
salad	63
bread	62
cheese	46
wine	44
chicken	36
sauce	33
meat	31
coffee	30
egg	26
chip	25
salsa	23
potato	22
french toast	21
turkey	20
pork	17
bacon	17
beer	17
dessert	16
bean	16
water	13
bean dip	13
cake	13
pie	13
margarita	12
fast food	12
soup	12
pepperoni	12
veggie	12
spinach	12
topping	12
enchilada	12
wrap	12
strawberry	12
roll	12
sausage	11
cocktail	11
toast	11
beef	11
dip	10
stick	10
mac cheese	10
fruit	10
burrito	10
chicken salad	9
tomato	9
steak	9
pastry	9
split	9
butter	9
roasted	9
corn	9
bun	9
burger	8
popcorn	8
meatball	8
iced tea	8
filling	8
waffle	8
bagel	8
salt	8
rice	8
challah	8
leftover	8
breakfast burrito	8
dressing	7
pancake	7
mozzarella	7
greek salad	7
pickle	7
taco	7
artichoke	7
ham	7
board	7
shrimp	7
omelet	7
topped	7
ice cream	7
french fry	6
potato salad	6
cookie	6
green bean	6
comfort food	6
snack	6
eggplant	6
cream cheese	6
chili	6
garlic	6
baked good	6
spice	6
tea	5
lasagna	5
pasta	5
creamy	5
pecan	5
lettuce	5
brisket	5
sweet potato	5
gem	5
tortilla	5
nut	5
savory	5
pulled pork	5
chile	5
vegetable	5
onion	5
gravy	5
jalapeno	5
wheat	5
biscuit	5
mocha	5
spicy	5
egg benedict	5
parmesan	4
brownie	4
round	4
honey	4
rib	4
dough	4
smoothie	4
avocado	4
pesto	4
sour cream	4
soda	4
coconut	4
scrambled egg	4
bbq sauce	4
vino	4
oregano	4
beet	4
basil	4
mushroom	4
stuffing	4
sushi	4
puff pastry	4
roast beef	4
mayo	4
caesar salad	4
raspberry	4
twist	4
beverage	4
prosciutto	3
cinnamon	3
chocolate	3
olive	3
casserole	3
edible	3
heart	3
creamed spinach	3
mousse	3
brie	3
walnut	3
orange	3
cupcake	3
roast	3
frittata	3
cornbread	3
alcohol	3
feed	3
banana	3
buffet	3
wing	3
pineapple	3
brew	3
green tea	3
goat cheese	3
grilled chicken	3
filet mignon	3
chocolate chip cooky	3
feta cheese	3
refried bean	3
supper	3
tuna	3
broccoli	3
omelette	3
pasta salad	3
antipasto	3
apple	3
coke	3
side order	3
condiment	3
tart	3
diet	3
barbecue	2
milk	2
white bread	2
chicken noodle soup	2
bacon egg	2
seasoning	2
almond	2
macaroni cheese	2
crouton	2
nacho	2
pasta dish	2
frosting	2
american cheese	2
spinach salad	2
whole wheat bread	2
mush	2
strawberry sauce	2
chicken taco	2
tapioca	2
make pizza	2
quesadilla	2
croissant	2
mango	2
muffin	2
shake	2
bbq chicken	2
fish	2
side dish	2
rack	2
draft beer	2
cucumber	2
french bread	2
syrup	2
fresh food	2
danish	2
green tea cake	2
nutrition	2
slaw	2
juice	2
mint	2
birthday cake	2
hollandaise sauce	2
marinara	2
espresso	2
hash brown	2
passion fruit mousse	2
mashed potato	2
quiche	2
club sandwich	2
grain	2
chorizo	2
java	2
stuffed tomato	2
egg salad	2
egg florentine	2
bruschetta	2
sesame	2
oil	2
pork sausage	2
teriyaki	2
flavoring	2
fried mozzarella	2
okra	2
ice	2
pepper	2
curry	2
tenderloin	2
custard	2
baked potato	2
cheese sandwich	2
bubble	2
gluten	2
sirloin	2
cream	2
whipped cream	2
mustard	2
buffalo	2
angel cake	1
pork shoulder	1
candy bar	1
starter	1
clam sauce	1
black olive	1
jack	1
red pesto	1
difference	1
sweet pancake	1
freshly baked bread	1
chopped tomato	1
milk shake	1
roasted pepper	1
garlic bread	1
sauerkraut	1
dim sum	1
calamari	1
sangria	1
fillet	1
collins	1
bird	1
hash	1
leg	1
punch	1
new york strip	1
vinegar	1
chicken soup	1
maraschino cherry	1
green corn	1
guacamole	1
pound cake	1
beef taco	1
square meal	1
walnut salad	1
blueberry	1
spicy sweet	1
eatable	1
shoot	1
warm chocolate	1
blade	1
sour	1
corned beef	1
dripping	1
carrot	1
durian	1
lunch meat	1
rye	1
merlot	1
chicken stuffed	1
delicacy	1
latte	1
strawberry salad	1
black pepper	1
cabbage	1
chocolate dessert	1
bean tostada	1
martini	1
thigh	1
cole	1
wheat beer	1
flour	1
wasabi	1
powdered sugar	1
ketchup	1
chorizo egg	1
iced coffee	1
feast	1
chuck	1
white chocolate	1
fresh tomato	1
blueberry muffin	1
whip	1
sweet potato salad	1
linguini	1
mate	1
italian dressing	1
cranberry sauce	1
cheese crisp	1
orange marmalade	1
linguine	1
calzone	1
raspberry vinaigrette	1
salami	1
compote	1
cheese crust	1
raisin	1
takeout	1
chilly	1
ice tea	1
ribeye steak	1
cranberry juice	1
tostada	1
tom	1
pinot noir	1
praline	1
white bean salad	1
bitter	1
corn tortilla	1
cheese dip	1
chicken drumstick	1
home fry	1
cheese pizza	1
coleslaw	1
manicotti	1
mint julep	1
red pepper	1
turkey breast	1
zucchini	1
corned beef hash	1
cheesecake	1
mimosa	1
bell pepper	1
slop	1
fresh raspberry	1
cheeseburger	1
jam	1
sprout	1
chipotle	1
cappuccino	1
pastrami	1
starch	1
cheddar	1
honey mustard dressing	1
batter	1
raspberry dressing	1
banquet	1
cherry cheesecake	1
bay	1
caramel	1
coconut cake	1
honeydew	1
wedding soup	1
glaze	1
yogurt	1
mouthful	1
barbeque	1
margarin	1
hummus	1
tater	1
berry	1
olive oil	1
sausage pizza	1
sherry vinegar	1
medallion	1
cheese pie	1
crumb	1
english muffin	1
vanilla	1
old fashioned	1
dark meat	1
toasted almond	1
pot roast	1
chili sauce	1
concoction	1
ziti	1
buttermilk biscuit	1
vinaigrette	1
smoked	1
green onion	1
steamed	1
cream puff	1
morsel	1
loaf	1
fish steak	1
cilantro	1
crab	1
chocolate mousse cake	1
alcoholic beverage	1
crusty bread	1
creme brulee	1
grub	1
baked bean	1
meatloaf	1
godfather	1
spinach tortilla	1
fondue	1
strawberry cheesecake	1
mandarin orange	1
spinach pie	1
rue	1
balsamic vinegar	1
mung bean	1
goody	1
cheese sauce	1
pistachio	1
cranberry	1
jimmy	1
marshmallow	1
bee knee	1
champ	1
tortilla chip	1
ciabatta	1
belgian waffle	1
blue cheese	1
corn syrup	1
cosmopolitan	1
jus	1
chicken sandwich	1
crumble	1
cobbler	1
strawberry cream	1
peach	1
tomato sauce	1
homemade lemonade	1
tamale	1
huevos rancheros	1
draught	1
sardine	1
grilled bread	1
goat cheese salad	1
chicken breast	1
