food	count
sandwich	15
cheese	11
salad	11
wine	9
meat	7
dessert	6
turkey	6
soup	5
gumbo	5
cake	4
veggie	4
bread	4
garlic	4
kale	3
chicken	3
orzo	3
pork	3
meatloaf	3
lasagna	3
beef	3
beer	3
greek salad	3
sweet potato	3
pork tenderloin	3
crab cake	3
tart	2
vino	2
blue crab	2
cuban sandwich	2
mashed potato	2
sausage	2
pea	2
eggplant	2
red onion	2
baked potato	2
green bean	2
chocolate	2
chili	2
spice	2
chip	2
heart	2
coconut	2
pie	2
cobbler	2
stuffed mushroom	2
feta	2
cold cut	2
tomato	2
bell pepper	1
shake	1
feta salad	1
condiment	1
cherry	1
grub	1
roast beef	1
horseradish	1
savory	1
ricotta	1
rice	1
sauce	1
difference	1
baking	1
onion	1
roasted	1
candy	1
filling	1
olive tapenade	1
fish	1
potato salad	1
macaroni cheese	1
ice cream	1
okra	1
truffle	1
italian bread	1
chocolate chip cooky	1
mango chutney	1
sesame seed	1
salami	1
mac cheese	1
pasta	1
goody	1
orange soda	1
takeout	1
tater	1
pepperoni	1
cranberry	1
pita	1
loaf	1
stuffing	1
grilled vegetable wrap	1
wrap	1
brisket	1
blue cheese	1
slaw	1
broth	1
butternut squash	1
lemonade	1
mushroom	1
chocolate chip cookie	1
meat loaf	1
bread pudding	1
parmesan	1
liquor	1
olive	1
garbanzo	1
pickle	1
delicatessen	1
pasta sauce	1
pastry	1
tidbit	1
roux	1
merlot	1
tomato sauce	1
split	1
kaiser roll	1
vegetable	1
truffle oil	1
turkey breast	1
stock	1
wild boar	1
gravy	1
mustard	1
cheesecake	1
salmon	1
diet	1
fruit	1
cucumber	1
cupcake	1
noodle	1
pasta salad	1
beverage	1
chicken breast	1
