food	count
sandwich	181
cheese	142
steak	140
meat	84
bread	67
onion	42
pizza	38
sauce	36
pepper	31
burger	30
sweet potato	30
chicken	28
mushroom	27
turkey	21
bun	21
roll	21
soda	15
wing	15
salad	14
fast food	13
mayo	12
topping	12
grilled onion	12
onion ring	11
sweet pepper	11
veggie	11
heart	11
spicy	10
rib	10
filling	8
buffalo	8
jalapeno	7
cranberry sauce	7
beef	7
american cheese	7
tomato	7
gyro	7
cake	7
chip	7
dripping	7
cole	6
ketchup	6
leftover	6
condiment	6
cheese sauce	6
lettuce	6
banana	6
coke	6
stuffing	6
slaw	6
honey	6
split	6
pastrami	5
cookie	5
patty	5
chicken sandwich	5
hoagie	5
meatball	5
topped	5
potato	5
board	4
dressing	4
iced tea	4
roasted	4
french fry	4
russian dressing	4
pickle	4
hot sauce	4
coleslaw	4
diet	4
taco	4
turkey stuffing	3
snack	3
cheeseburger	3
celery	3
roast beef	3
dessert	3
hot pepper	3
dip	3
round	3
skin	3
oil	3
swiss cheese	3
cheese bread	3
italian bread	3
chocolate chip cooky	3
punch	3
mozzarella	3
pepperoni	3
feed	3
beer	3
pie	3
stick	3
chili	3
concoction	3
salt	3
green pepper	2
ham	2
savory	2
cupcake	2
difference	2
stock	2
seasoning	2
sprinkle	2
mustard	2
brittle	2
pepperoni pizza	2
ice	2
water	2
italian sandwich	2
jimmy	2
soy	2
hoagy	2
blue cheese	2
marinara	2
chile	2
edible	2
soup	2
potato chip	2
cheese pizza	2
juice	2
bisque	2
vegetable	2
dipping sauce	2
godfather	2
cranberry	2
malt vinegar	2
egg	2
olive oil	1
bell pepper	1
omelet	1
goody	1
cheddar	1
mince	1
mortadella	1
dainty	1
icing	1
comfort food	1
milk	1
mac cheese	1
cilantro	1
cherry	1
chipotle	1
orange	1
mustard mayo	1
soft roll	1
bean	1
doughnut	1
gem	1
hot sweet	1
turkey breast	1
coffee cake	1
feast	1
pretzel	1
sop	1
bay	1
sirloin steak	1
picnic	1
grilled chicken	1
liquor	1
bacon	1
chuck	1
butterscotch	1
ice cream	1
sliced steak	1
sausage	1
sling	1
espresso	1
chicken wing	1
ribeye steak	1
wheat	1
delicacy	1
corn	1
cornmeal	1
aioli	1
pepsi	1
barbecue sauce	1
salami	1
spiced	1
takeout	1
eggplant	1
tongue	1
minute steak	1
jack	1
dodger	1
pancake	1
kebab	1
shake	1
red onion	1
reuben	1
ice tea	1
boar	1
custard	1
frozen food	1
spinach	1
liberty bell	1
cheese sandwich	1
refried bean	1
creamy	1
beet	1
humus	1
basil	1
draft	1
tom	1
flavoring	1
bread pudding	1
egg white	1
side order	1
spice	1
twist	1
cheddar cheese	1
cracker	1
hamburger	1
sirloin	1
bread sauce	1
sushi	1
mush	1
peanut	1
tea	1
green onion	1
red meat	1
quick hot	1
hero sandwich	1
brain	1
mayonnaise	1
zucchini	1
tuna	1
tomato soup	1
spicy pepper	1
nut	1
parmesan	1
ramen noodle	1
alcohol	1
butter	1
mustard sauce	1
hot dog	1
wine	1
