food	count
popcorn	80
burger	47
chicken	42
beer	41
soda	36
pizza	33
salad	30
sandwich	24
cheese	21
wine	21
cocktail	19
sweet potato	18
alcohol	17
butter	15
snack	14
dessert	14
nacho	12
parmesan	10
beverage	10
sauce	9
leg	9
french fry	9
stick	9
chip	9
mint	8
candy	8
chocolate	8
wing	8
margarita	7
bacon	7
shrimp	7
potato skin	7
wrap	7
coke	7
coconut	7
cheeseburger	6
alcoholic beverage	6
grilled chicken	6
chili	6
rib	6
quesadilla	6
roll	6
buffalo	6
martini	6
iced tea	5
booze	5
dressing	5
round	5
dip	5
tea	5
ice cream	5
ice	5
pepper	5
pepsi	5
milkshake	5
supper	5
veggie	5
turkey	5
soft drink	5
diet	5
milk	4
difference	4
ketchup	4
bread	4
meat	4
steak	4
water	4
draft beer	4
duck	4
edible	4
alcoholic drink	4
strawberry	4
lemonade	4
split	4
fruit	4
potato	4
chicken quesadilla	3
brie	3
refreshment	3
bbq chicken	3
coffee	3
finger food	3
brownie	3
smoked salmon	3
pretzel	3
nosh	3
seasoning	3
chicken wing	3
raspberry	3
ice tea	3
starter	3
spicy	3
old fashioned	3
sundae	3
topping	3
salsa	3
sardine	3
salt	3
feed	2
kale	2
cheddar	2
puff pastry	2
savory	2
celery	2
board	2
orange	2
bruschetta	2
jack	2
tv dinner	2
shoulder	2
white chocolate	2
rack	2
mixed drink	2
grub	2
chuck	2
oil	2
fast food	2
wheat	2
cake	2
pasta	2
vanilla ice cream	2
hummus	2
mac cheese	2
tenderloin	2
sugar	2
blue cheese	2
vino	2
beef	2
cheese sandwich	2
creamy	2
draft	2
crab	2
dried tomato	2
chicken sandwich	2
nut	2
gluten	2
fish chip	2
tom	2
vodka	2
liquor	2
honey	2
breadstick	2
cracker	2
sour	2
bloody mary	2
pie	2
smoked	2
chilly	2
mustard	2
cheesecake	2
pomegranate	2
cranberry	2
garlic	2
taco	2
jacket	2
bun	2
ale	1
feta cheese	1
sour cream	1
dough	1
fillet	1
calamari	1
apple	1
toast	1
chocolate brownie	1
cherry	1
candy bar	1
romaine	1
pesto	1
fresh fruit salad	1
chile	1
rose	1
root beer	1
flatbread pizza	1
lasagna	1
chicken skewer	1
onion	1
bee knee	1
cooler	1
feast	1
pea	1
filling	1
stinger	1
fresh tomato	1
milk shake	1
pina colada	1
bock	1
fish	1
skin	1
mashed potato	1
gum	1
amaretto	1
kahlua	1
jalapeno	1
comfort food	1
applesauce	1
fish steak	1
basil bruschetta	1
collins	1
orange marmalade	1
bird	1
sirloin tip	1
herb	1
dragon fruit	1
punch	1
mango	1
cheese bread	1
cookie	1
hot sauce	1
chocolate cake	1
pineapple juice	1
seasoned salt	1
tortilla	1
corn syrup	1
orange juice	1
brat	1
spiced	1
soft pretzel	1
berry	1
cucumber	1
fry bread	1
peanut butter	1
patty	1
flatbread	1
parsley	1
lettuce	1
fresh food	1
spinach	1
sake	1
chow	1
brisket	1
mint chocolate	1
basil	1
new york strip	1
tomato	1
drinkable	1
mushroom	1
flavoring	1
salad dressing	1
marinara	1
choc	1
pecan	1
spicy sweet	1
spirit	1
hot chocolate	1
sweetener	1
teriyaki	1
vanilla	1
blade	1
cheese dip	1
snack food	1
potato chip	1
shake	1
antipasto	1
heart	1
cheese pizza	1
sushi	1
crumble	1
twist	1
juice	1
lemon juice	1
pastry	1
citrus salad	1
potion	1
lemon	1
canned food	1
carrot stick	1
merlot	1
black bean	1
vegetable	1
grain	1
fudge	1
salmon	1
mimosa	1
lobster	1
blood	1
squeak	1
mint candy	1
gruel	1
fruit salad	1
seafood	1
lime chicken	1
new york cheesecake	1
mojito	1
creme brulee	1
dipping sauce	1
concoction	1
brew	1
hotdog	1
