food	count
chicken	25
spring roll	13
fast food	12
meat	9
pork	8
corn	8
veggie	8
comfort food	7
mac cheese	7
salad	7
sandwich	7
noodle	7
egg roll	6
bread	6
cornbread	6
soup	6
turkey	6
bun	6
sweet potato	6
roasted	5
dessert	5
shrimp	5
lettuce	5
casserole	5
broth	5
vegetable	5
creamed spinach	5
rice	4
meatloaf	4
water	4
cheese	4
green bean	4
waffle	4
mint	4
thigh	3
mashed potato	3
side dish	3
fried rice	3
leg	3
wrap	3
heart	3
carrot	3
dark meat	3
roll	3
gravy	3
rice dish	2
cilantro	2
brownie	2
rice noodle	2
burger	2
chicken salad	2
herb	2
biscuit	2
soda	2
duck	2
beef	2
creamy	2
vermicelli	2
squash	2
hot pot	2
syrup	2
stuffing	2
sirloin	2
fish sauce	2
garlic	2
crepe	2
potato	2
seafood	2
egg	2
beef bun	1
seaweed	1
cole	1
snack	1
cut meat	1
dressing	1
coffee	1
spicy dipping sauce	1
chicken noodle soup	1
bean	1
powdered sugar	1
won ton	1
iced coffee	1
roast	1
caesar salad	1
stock	1
grub	1
tea	1
bouillon cube	1
lemongrass	1
nuoc cham	1
jalapeno	1
lemon spinach	1
cinnamon apple	1
cooking oil	1
sup	1
carbohydrate loading	1
pepper	1
wheat	1
chocolate chip cooky	1
sundae	1
egg noodle	1
cookie	1
pancake	1
elixir	1
pasta	1
leftover	1
fried egg	1
dipping sauce	1
onion	1
tater	1
peanut butter	1
feed	1
chow mein	1
fried chicken	1
apple turnover	1
baked potato	1
spinach	1
brisket	1
square meal	1
french bread	1
wad	1
basil	1
garnish	1
bubble	1
chip	1
white meat	1
hoisin sauce	1
nutrition	1
coke	1
jus	1
liver	1
bean sprout	1
chili	1
edible	1
tripe	1
strawberry	1
sour	1
chicken drumstick	1
grass	1
spicy beef	1
pie	1
slaw	1
honey	1
peanut	1
beef stew	1
lemon	1
topped	1
turkey breast	1
pizza	1
short rib	1
noodle soup	1
coconut	1
sausage	1
fruit	1
blood	1
taco	1
chocolate	1
corn muffin	1
butter	1
omelette	1
hot dog	1
salt	1
limburger	1
brew	1
hotdog	1
green onion	1
stick	1
