food	count
hot dog	9
coffee	8
beer	8
meat	7
wine	7
snack	6
brat	4
cheese	4
veggie	4
chip	4
sausage	3
breakfast burrito	3
beef	3
sandwich	3
soda	3
egg	3
chicken	2
ham	2
rice	2
sauce	2
candy	2
bacon	2
gum	2
ice cream	2
water	2
cranberry	2
cut meat	2
turkey	2
spice	2
pickle	2
halal	2
pastry	2
topping	2
sprout	1
cheddar	1
foodstuff	1
dough	1
shake	1
rose	1
chipotle	1
dessert	1
freshwater fish	1
red wine	1
bread	1
onion	1
chili dog	1
crusty bread	1
filling	1
fish	1
vienna sausage	1
quiche	1
lentil	1
mutton	1
alcohol	1
jalapeno	1
espresso	1
tandoori chicken	1
sesame seed	1
compote	1
eggplant	1
curry	1
ice water	1
stuffed egg	1
wrap	1
java	1
spinach	1
ground beef	1
whole wheat flour	1
draft	1
white rice	1
naan	1
coke	1
squash	1
bun	1
cereal	1
teriyaki	1
sesame	1
frappe	1
heart	1
mango juice	1
old fashioned	1
peach	1
red pepper	1
nan	1
biryani	1
feta	1
goat	1
stock	1
tomato soup	1
diet	1
latte	1
fruit	1
mango	1
hotdog	1
