food	count
beer	19
salad	11
steak	10
vodka	8
wine	8
dessert	7
shrimp	7
stick	7
cocktail	7
bread	6
ice	6
martini	6
lobster	5
coconut	5
supper	5
shake	4
chicken	4
calamari	4
sugar	4
candy	4
fish	4
burger	4
champagne	4
cheese	4
chocolate	4
strawberry	4
heart	4
wing	4
seafood	4
meat	4
onion ring	3
paella	3
bisque	3
orange	3
liquor	3
digger	3
sweet potato	3
cheesecake	3
potato	3
jam	2
tonic	2
risotto	2
dipping sauce	2
dip	2
sausage	2
alcohol	2
soup	2
glaze	2
pepper	2
pasta	2
raspberry	2
spiced	2
draft beer	2
berry	2
taco	2
chicken sandwich	2
spinach	2
mozzarella	2
tomato	2
mashed potato	2
mushroom	2
filet	2
coke	2
couscous	2
pecan	2
side order	2
shoot	2
sea bass	2
sauce	2
salmon	2
buffet	2
butter	2
neck	2
sangria	1
tequila	1
morsel	1
bubble	1
mojito	1
fillet	1
apple cake	1
sweet corn	1
bitter	1
pineapple juice	1
chicken taco	1
cayenne	1
celery	1
dressing	1
melon	1
teriyaki	1
bbq chicken	1
pasta dish	1
bruschetta	1
wasabi	1
jack	1
gem	1
piece de resistance	1
asparagus	1
pretzel	1
caesar salad	1
round	1
orzo	1
mixed drink	1
chicken quesadilla	1
baked potato	1
lemonade	1
bacon	1
chuck	1
marinade	1
macaroni cheese	1
ice cream	1
crouton	1
riesling	1
leg	1
white wine	1
sour	1
truffle	1
crab leg	1
nacho	1
business lunch	1
pumpernickel bread	1
rum	1
pepper steak	1
rue	1
water	1
diet	1
new york strip	1
fried egg	1
lollipop	1
cranberry juice	1
oktoberfest	1
macadamia nut	1
cob	1
dark rum	1
cranberry	1
turf	1
tongue	1
rag	1
tuxedo	1
veggie	1
tenderloin	1
lettuce	1
bearnaise	1
parsnip	1
wrap	1
bubbly	1
scallop	1
mullet	1
grub	1
beef	1
spinach salad	1
creamy	1
flourless chocolate cake	1
gin	1
beverage	1
drinkable	1
nut	1
rabbit	1
spirit	1
chocolate sauce	1
autumn vegetable	1
vanilla	1
turnip	1
carrot	1
cake	1
cognac	1
sirloin	1
chip	1
sushi	1
pie	1
honey	1
juice	1
spicy	1
cut meat	1
old fashioned	1
rib	1
lamb	1
artichoke heart	1
topped	1
merlot	1
tomato sauce	1
rose	1
roll	1
marinara	1
stock	1
surf	1
booze	1
sandwich	1
pomegranate	1
soda	1
shoestring fry	1
gorgonzola	1
fruit	1
latke	1
rack lamb	1
tuna	1
aviator	1
oyster	1
sardine	1
buffalo	1
mango	1
bun	1
chicken breast	1
pilaf	1
egg	1
