food	count
dim sum	244
shrimp	71
chicken	61
pork	60
dumpling	59
bun	44
beef	39
tea	33
steamed	32
soup	26
egg	25
tripe	24
buffet	24
noodle	24
rice	23
sticky rice	23
meat	22
broccoli	22
filling	21
fish	20
veggie	20
custard	20
dessert	19
rice noodle	19
roll	19
sauce	17
pastry	17
fried rice	16
duck	16
cake	15
seafood	15
orange	14
water	14
vegetable	14
egg roll	13
bean curd	12
bay	11
skin	11
tofu	11
spicy	11
black bean sauce	11
sesame	11
ginger	11
congee	10
oyster sauce	10
taro	10
tart	10
chow mein	9
rib	8
spring roll	8
soy sauce	8
spare rib	8
roast duck	7
bok choy	7
lobster	7
eggplant	7
chow	7
coconut	7
soda	7
bread	6
round	6
leftover	6
fried chicken	6
crab	6
stick	6
pineapple	6
steamer	5
sour soup	5
difference	5
fast food	5
pepper	5
black bean	5
puff	5
tongue	5
wrap	5
seaweed salad	5
scallion	5
savory	5
turnip	5
pork dumpling	5
chive	5
iced tea	4
calamari	4
walnut	4
bean	4
won ton	4
seasoning	4
short rib	4
ice cream	4
sausage	4
pork chop	4
mango	4
snow pea	4
scallop	4
bitter	4
chili	4
oil	4
wonton	4
green tea	3
fried bread	3
braised	3
doughnut	3
clam	3
roast pork	3
brown sauce	3
squid	3
takeout	3
feed	3
radish	3
sweet sour chicken	3
ice tea	3
creamy	3
wonton soup	3
hot pot	3
spice	3
edible	3
heart	3
broth	3
sushi	3
pork spare rib	3
garlic	3
salt	3
sparerib	3
green onion	3
bell pepper	2
custard tart	2
sesame oil	2
dough	2
crackling	2
cilantro	2
snack	2
ham	2
noodle soup	2
coffee	2
rice soup	2
roasted duck	2
mandarin	2
banquet	2
onion	2
egg custard tart	2
dip	2
oolong	2
roasted pork	2
ice	2
sweet roll	2
bird	2
porridge	2
sesame seed	2
goody	2
curry	2
donut	2
brown sugar	2
fresh food	2
tamarind	2
sugar	2
beer	2
garlic sauce	2
mushroom	2
tea leaf	2
banana	2
sour	2
carrot	2
beef stew	2
split	2
flour	2
rice wrapped lotus leaf	2
mustard	2
mate	2
fortune cookie	2
snowball	2
jook	2
watermelon	1
beef bun	1
curry powder	1
crispy chicken	1
sour sauce	1
hock	1
western	1
cherry	1
celery	1
board	1
shoulder	1
tea sandwich	1
starch	1
orange cream	1
molasses	1
batter	1
jack	1
seaweed	1
cucumber	1
baking	1
risotto	1
roasted	1
leek	1
feast	1
candy	1
dipping sauce	1
spicy chicken	1
candied walnut	1
mixed drink	1
tea time	1
grub	1
shake	1
topped	1
ravioli	1
scrambled egg	1
peanut	1
jalapeno	1
glaze	1
sour chicken	1
rib beef	1
silver gold	1
flounder	1
chicken wing	1
peppered steak	1
white sauce	1
vinegar	1
barbeque	1
nourishment	1
zest	1
crab ball	1
corn	1
white rice	1
chinese mushroom	1
grasshopper	1
egg noodle	1
pepsi	1
pasta	1
beverage	1
fried egg	1
shellfish	1
pea	1
little gem	1
jelly	1
honey	1
pudding	1
cod	1
patty	1
cheese	1
bok choi	1
taro root	1
fish filet	1
spinach	1
neck	1
winter melon	1
curry puff	1
green bean	1
hen	1
nut	1
hoisin sauce	1
tidbit	1
gluten	1
cream cheese	1
luncheon	1
vermicelli	1
olive	1
spicy sweet	1
seed	1
jerky	1
shoot	1
garlic chicken	1
jam	1
bubble	1
cut beef	1
steamed rice	1
meatball	1
vegetable sauce	1
ice water	1
sticky bun	1
hamburger	1
diet	1
stir fried	1
twist	1
pork belly	1
pickle	1
ostrich	1
pap	1
vegetable oyster	1
steamed chicken	1
scone	1
fried noodle	1
fixing	1
salt pork	1
coke	1
pork chow mein	1
topping	1
cocktail	1
cold cut	1
delicacy	1
sponge cake	1
black pepper	1
melon	1
alcoholic beverage	1
oyster	1
gravy	1
italian sandwich	1
poached	1
baked good	1
hot dog	1
food color	1
daikon	1
fried dumpling	1
stuffed pepper	1
black sesame seed	1
