food	count
beer	128
burger	118
taco	44
cheese	38
condiment	35
wing	35
hamburger	34
salad	24
margarita	23
onion ring	20
fish	19
nacho	19
chicken	18
topping	18
sandwich	18
meat	17
board	15
steak	15
pizza	15
draft	14
bun	14
salsa	13
coke	12
chili	12
mushroom	12
bacon	11
leg	11
stick	11
cocktail	11
tomato	11
round	10
soda	10
patty	10
veggie	10
whiskey	10
chip	10
zucchini	10
booze	9
sauce	9
filling	9
alcohol	9
water	9
popcorn	9
heart	9
bean	8
onion	8
vodka	8
curd	8
roll	8
diet	7
lettuce	7
chicken sandwich	7
liquor	7
burrito	7
hot dog	7
snack	6
peanut	6
dip	6
guacamole	6
beef	6
grilled chicken	6
beverage	6
brew	6
mixed drink	5
fast food	5
ice	5
punch	5
lime	5
chocolate	5
cream soda	5
mustard	5
iced tea	4
rice	4
chuck	4
rum	4
cookie	4
pickle	4
shrimp	4
french fry	4
old fashioned	4
rib	4
topped	4
buffet	4
shake	3
milk	3
ham	3
ale	3
mayo	3
cooler	3
tea	3
potato skin	3
goose	3
ice cream	3
jalapeno	3
chicken wing	3
bloody mary	3
pepper	3
corn	3
strong drink	3
bbq sauce	3
duck	3
breakfast burrito	3
american cheese	3
ground beef	3
dressing	3
western	3
chile	3
side order	3
sour	3
hot sauce	3
honey	3
quesadilla	3
black bean	3
split	3
potato	3
cherry	2
yule log	2
tequila	2
barbecue	2
cilantro	2
ketchup	2
enchilada	2
swallow	2
irish	2
coffee	2
jack	2
difference	2
relish	2
gem	2
grub	2
bock	2
seasoning	2
gravy	2
bay	2
wheat	2
tortilla	2
vanilla ice cream	2
draft beer	2
lager	2
peanut butter	2
feed	2
fried chicken	2
cheeseburger	2
wrap	2
spirit	2
pepper sauce	2
jam	2
lemonade	2
gluten	2
vanilla	2
ceviche	2
goody	2
soft drink	2
red meat	2
martini	2
draught	2
nut	2
moonshine	2
salt	2
pineapple	2
wine	2
bell pepper	1
hurricane	1
skin	1
cheddar	1
green tea	1
green pepper	1
sundae	1
chicken quesadilla	1
cola	1
toast	1
grape	1
egg nog	1
pretzel	1
horseradish	1
muffin	1
bread	1
fried potato	1
shoot	1
bock beer	1
alcoholic beverage	1
chocolate syrup	1
hamburger steak	1
batter	1
stout	1
dripping	1
teriyaki sauce	1
absinthe	1
candy	1
manhattan	1
gourmet burger	1
raw meat	1
spicy chicken	1
pasty	1
pork	1
picnic	1
cumin	1
green olive	1
lobster	1
libation	1
crouton	1
strawberry	1
glaze	1
variety meat	1
swiss cheese	1
tom	1
italian dressing	1
turkey	1
onion salt	1
bass	1
south border	1
liver	1
black tea	1
rue	1
pasta	1
leftover	1
raspberry	1
mozzarella	1
tabasco	1
oktoberfest	1
sugar	1
baked potato	1
sake	1
grain	1
cod	1
cucumber	1
rag	1
carrot	1
ice tea	1
soy	1
cuba libre	1
sesame seed	1
cranberry juice	1
creamy	1
beef taco	1
reuben	1
crab	1
gin	1
hen	1
parkin	1
fish fry	1
butter	1
catsup	1
fish chip	1
cream cheese	1
salad dressing	1
olive	1
kabob	1
sour cream	1
starter	1
cookie dough	1
ham sandwich	1
brill	1
long island iced tea	1
garnish	1
iceberg	1
edible	1
teriyaki	1
malt	1
blade	1
thigh	1
banana	1
sweet potato	1
grass	1
sirloin	1
pie	1
tonic	1
soup	1
juice	1
drinkable	1
whip	1
cream	1
boiled egg	1
steak sauce	1
savory	1
buffalo wing	1
fixing	1
scotch	1
mustard mayonnaise	1
vegetable	1
milkshake	1
mayonnaise	1
birthday cake	1
guinness	1
fruit	1
garlic	1
cabbage	1
waffle	1
broccoli	1
whiskey rock	1
sardine	1
neck	1
jacket	1
egg	1
