food	count
buffet	33
sushi	17
chicken	13
dessert	10
crab leg	9
snack	8
seafood	8
salmon	7
meat	6
diet	6
beef	6
orange	6
shrimp	5
pizza	5
salsa	5
fish	4
crab	4
salad	4
tuna	4
steamed	3
sashimi	3
sauce	3
asparagus	3
pork	3
fast food	3
tempura	3
cheese	3
tofu	3
duck	3
turkey	3
spicy	3
gluten	3
soup	3
sweet potato	3
rib	3
roll	3
taco	3
frozen yogurt	2
slop	2
apple pie	2
enchilada	2
chocolate cake	2
baked salmon	2
eel	2
meatloaf	2
ice cream	2
jalapeno	2
fried rice	2
water	2
eggplant	2
apple	2
veggie	2
sweet sour chicken	2
wrap	2
sugar	2
cream cheese	2
bun	2
chili	2
health food	2
cake	2
soft drink	2
heart	2
steamed clam	2
honey	2
fruit	2
garlic	2
blood	2
broccoli	2
tomato	2
noodle	2
burrito	2
egg	2
spare rib	2
salt	2
bell pepper	1
sprout	1
mackerel	1
sour soup	1
puff	1
guacamole	1
roast duck	1
cilantro	1
chicken tostada	1
dumpling	1
frog leg	1
rice	1
haute cuisine	1
brownie	1
tv dinner	1
onion	1
sour chicken	1
vegetable crisp	1
tart	1
soda pop	1
seasoning	1
tea	1
bacon	1
rice noodle	1
garlic sauce	1
bleu cheese dressing	1
buffalo	1
alcohol	1
pork chop	1
dim sum	1
filling	1
flounder	1
chicken wing	1
plantain	1
steamed fish	1
pepper	1
banana	1
peel	1
pear	1
pasta	1
leftover	1
sour cream	1
sticky rice	1
condiment	1
oatmeal	1
maraschino cherry	1
pudding	1
pepperoni	1
mussel	1
chow mein	1
fried chicken	1
make pizza	1
lettuce	1
ice tea	1
rind	1
cranberry juice	1
spinach	1
grilled chicken	1
liquor	1
white meat	1
nutrition	1
mushroom	1
murphy	1
cider vinegar	1
stick	1
nut	1
walnut	1
chicken taco	1
iceberg	1
edible	1
sesame	1
carrot	1
pastry	1
coconut	1
lemon	1
beverage	1
oil	1
cocktail	1
cheesecake	1
quinoa	1
wonton	1
potato	1
mash	1
sparerib	1
smoked	1
wine	1
