food	count
noodle	125
donut	114
beef	55
sauce	47
soup	33
coffee	31
sandwich	30
meat	29
noodle soup	25
chicken	21
pork	19
fried noodle	19
gluten	19
broth	18
tea	17
spicy	16
chocolate	16
dough	15
dumpling	15
peanut	14
water	14
cake	14
veggie	14
seafood	13
bagel	11
egg	11
steamed	10
cupcake	10
doughnut	10
apple fritter	10
buttermilk	10
stick	10
spice	10
vegetable	10
milk	9
egg roll	9
sugar	9
croissant	9
fried dumpling	9
fast food	9
filling	9
shrimp	9
cheese	9
spicy sauce	9
sprinkle	9
iced coffee	8
oil	8
bread	7
juice	7
old fashioned	7
lemon	7
ham	6
rice	6
cinnamon	6
radish	6
chili	6
twist	6
cream	6
cilantro	5
difference	5
pasta	5
leftover	5
beef oyster sauce	5
sesame	5
stir fried	5
oyster sauce	5
soy sauce	5
fruit	5
green onion	5
salt	5
smoothie	4
savory	4
watermelon	4
jack	4
fritter	4
jalapeno	4
espresso	4
fried rice	4
strawberry	4
pepper	4
corn	4
fried egg	4
vinegar	4
jelly	4
soda	4
lettuce	4
toasted coconut	4
carrot	4
crumb	4
pickled vegetable	4
blueberry	4
beef stew	4
topped	4
spring roll	4
flour	4
roll	4
pizza	4
chow	4
iced tea	3
spicy noodle	3
cappuccino	3
dessert	3
chocolate cake	3
gem	3
dipping sauce	3
fish	3
tapioca	3
asian noodle	3
chocolate chip cooky	3
herb	3
frosting	3
skin	3
curry	3
fish ball	3
tofu	3
oxtail soup	3
breakfast burrito	3
maple	3
gyoza	3
bubble	3
pastrami	3
spicy beef	3
baguette	3
rib	3
split	3
garlic	3
burrito	3
wine	3
red velvet cake	2
sour sauce	2
puff	2
snack	2
board	2
sprout	2
icing	2
baking	2
feast	2
candy	2
oxtail	2
feed	2
dip	2
rack	2
chip	2
topping	2
ice cream	2
mustard	2
honeydew	2
noodle broth	2
ice	2
wheat	2
white rice	2
cookie	2
steak	2
spiced	2
apple	2
beef broth	2
turkey	2
brown rice	2
crab	2
white meat	2
beverage	2
bear claw	2
pork dumpling	2
baby spinach	2
honey	2
teriyaki	2
vanilla	2
cinnamon roll	2
condiment	2
hot sauce	2
pie	2
squid	2
fish sauce	2
ginger	2
glaze	2
lamb	2
peach	2
tuna	2
diet	2
latte	2
cut beef	2
chorizo	2
curry sauce	2
potato	2
dim sum	2
pickled daikon	2
western	2
thigh	1
rice dish	1
muffin	1
crepe	1
noodle stir fry	1
sour cream	1
seaweed	1
cruller	1
shake	1
passion fruit	1
stir fried chicken	1
quick snack	1
love first bite	1
fruit drink	1
chipotle	1
round	1
duck sauce	1
chile	1
citrus	1
sesame noodle	1
teriyaki sauce	1
braised	1
cucumber	1
scallop	1
cooler	1
chop suey	1
marinade	1
coffee cake	1
bay	1
eclair	1
caramel	1
pumpkin	1
spicy chicken	1
batter	1
blueberry muffin	1
seasoning	1
mush	1
bacon	1
black pepper	1
rice noodle	1
carrot salad	1
burger	1
mashed potato	1
vegan chocolate chip cooky	1
brazil	1
honeydew melon	1
alcohol	1
potato wedge	1
comfort food	1
coffee cream	1
seafood pasta	1
champagne	1
strawberry smoothie	1
buckwheat	1
chili pepper	1
ration	1
chili powder	1
tempura	1
reuben	1
egg noodle	1
buffet	1
banana smoothie	1
corn syrup	1
fruit juice	1
biscuit	1
spinach	1
onion	1
fresh mango	1
eggplant	1
gingerbread	1
tongue	1
bacon egg	1
stew	1
olive oil	1
loaf	1
chinese green	1
fried chicken	1
flavoring	1
champ	1
cheddar cheese	1
soy	1
cinnamon sugar	1
white pepper	1
gravy	1
marsala	1
brisket	1
swill	1
beer	1
green bean	1
beet	1
garnish	1
banana	1
mushroom	1
cream sauce	1
pork broth	1
taro	1
mango smoothie	1
melon	1
pulled pork	1
bun	1
nut	1
hazelnut	1
egg white	1
food coloring	1
raisin	1
edible	1
salad	1
english muffin	1
tripe	1
beansprouts	1
lemonade	1
frappe	1
roughage	1
meatball	1
hoagie	1
light cream	1
coconut	1
lemongrass	1
slaw	1
cheese quesadilla	1
crouton	1
pastry	1
bavarian cream	1
ostrich	1
dark meat	1
sichuan pepper	1
plum	1
loaf bread	1
vegetable soup	1
bechamel	1
cold cut	1
gelatin	1
frozen chocolate chip cooky	1
cabbage	1
cuttlefish	1
tomato	1
wonton	1
baked good	1
hot dog	1
boiled egg	1
mango	1
veal	1
pineapple	1
julienne	1
powdered sugar	1
pickled carrot	1
