food	count
chicken	57
bread	56
meat	53
pita	39
rice	38
sandwich	37
salsa	36
cheese	34
beef	33
sushi	33
burrito	29
taco	27
gyro	25
hummus	25
baklava	25
veggie	23
falafel	23
spicy	23
sausage	22
sauce	22
pastry	22
tortilla	21
salad	20
snack	20
spice	20
dessert	19
bean	18
soup	16
olive	16
beer	16
onion	16
lamb	14
fish	14
candy	13
tamale	13
turkish coffee	12
bun	12
coffee	11
spinach	11
chile	11
vegetable	11
spinach pie	11
roll	11
puri	10
egg	10
gem	10
sour cream	10
pork	9
soda	9
samosa	9
yogurt	9
shrimp	9
water	8
pickle	8
filling	8
topping	8
hot dog	8
curry	8
tomato	7
stock	7
nut	7
kabob	7
garlic	7
noodle	7
roasted	7
pepper	7
cake	7
potato	7
dip	6
seasoning	6
tea	6
kebab	6
sake	6
greek salad	6
baba	6
chip	6
goat	6
tahini	6
steak	6
cucumber	6
fry bread	6
lettuce	6
chili	6
fruit	6
guacamole	6
enchilada	6
condiment	6
diet	6
nacho	5
chocolate	5
heart	5
pizza	5
chutney	5
feta	5
ground beef	5
juice	5
halal	5
relish	5
eggplant	5
oil	5
board	5
cooler	5
beverage	5
meat pie	4
burger	4
comfort food	4
spiced	4
feed	4
dough	4
orange	4
miso	4
tamarind	4
tostada	4
bell pepper	4
fresh food	4
rib	4
split	4
cilantro	4
filet	4
paneer	4
chicken sandwich	4
pie	4
bomber	3
stick	3
pistachio baklava	3
mango	3
mojito	3
avocado	3
ketchup	3
wrap	3
side dish	3
garlic sauce	3
salt	3
green tea	3
flour tortilla	3
strawberry	3
feta cheese	3
patty	3
refried bean	3
fruit vegetable	3
basmati rice	3
stuffing	3
broth	3
steamed	3
naan	3
jalapeno	3
pea	3
stew	3
goody	3
baba ganoush	3
coke	3
ice cream	3
huevos rancheros	3
skin	2
milk	2
sashimi	2
baking	2
flaky pastry	2
round	2
bacon	2
bird	2
canned good	2
punch	2
mozzarella	2
cinnamon	2
french fry	2
apple	2
lime	2
saki	2
stuffed grape leaf	2
flan	2
chicken taco	2
stuffed cabbage	2
red pepper sauce	2
spicy beef	2
bhaji	2
honey	2
noodle soup	2
beef burrito	2
cabbage	2
turnover	2
foodstuff	2
salsa verde	2
powdered sugar	2
lentil soup	2
lentil	2
whip	2
alcohol	2
chicken stock	2
tempura	2
cookie	2
poppy seed	2
tzatziki	2
green sauce	2
food product	2
soft drink	2
junk food	2
mint	2
spring roll	2
salmon	2
pineapple	2
seaweed	2
turkish delight	2
sushi roll	2
rose	2
iced tea	2
caramel	2
tres lech cake	2
instant	2
grain	2
cut meat	2
loaf	2
pepsi	2
scallop	2
cheese pie	2
sesame	2
hot sauce	2
flour	2
phyllo	2
papaya	2
butter	2
baked good	2
hotdog	2
tabbouleh	2
teriyaki	2
hot pepper	2
grub	2
spanakopita	2
wheat	2
corn	2
leftover	2
plum	2
tongue	2
flatbread	2
tofu	2
soy	2
custard	2
chapati	2
spicy sauce	2
topped	2
mustard	2
soy sauce	2
grilled onion	2
red cabbage	1
iced coffee	1
leg lamb	1
green pepper	1
cuke	1
grape	1
peanut	1
dumpling	1
dressing	1
couscous	1
dolmades	1
jack	1
vegetable curry	1
muscat	1
fig bread	1
dolmas	1
almond	1
marinade	1
peanut oil	1
vegetarianism	1
orange soda	1
chili sauce	1
green corn	1
sweet pepper	1
radish	1
apple fritter	1
brown rice	1
creamy	1
squid	1
bean sprout	1
starter	1
edible	1
citrus fruit	1
donut	1
green pea	1
potato chip	1
pomegranate syrup	1
mango lassi	1
carrot	1
fresh shrimp	1
beef patty	1
chocolate candy	1
sprinkle	1
delicacy	1
dried seaweed	1
neck	1
croissant	1
beef sausage	1
chicken thigh	1
brain	1
shake	1
hock	1
lamb chop	1
bbq chicken	1
wasabi	1
cupcake	1
thyme	1
feast	1
goose	1
turnip	1
palm sugar	1
fried rice	1
fiber	1
banana	1
rack	1
takeout	1
honey sauce	1
ice tea	1
syrup	1
coffee bean	1
tom	1
beef soup	1
hazelnut	1
mortadella	1
bitter	1
coconut macaroon	1
filet mignon	1
sweet potato	1
seaweed salad	1
ginger	1
beef jerky	1
canned food	1
red pepper	1
dipping sauce	1
crab cake	1
buffet	1
string cheese	1
seafood	1
macaroon	1
brew	1
soul food	1
tequila	1
sesame oil	1
garbanzo	1
calamari	1
toast	1
cheeseburger	1
refreshment	1
sugar	1
jam	1
rice soup	1
watermelon	1
pickled lemon	1
vegetable crisp	1
picnic	1
grilled chicken	1
liquor	1
jalapeno pepper	1
tomato salsa	1
green salad	1
pistachio nut	1
preserve	1
chili pepper	1
cantaloupe	1
bulgur	1
bitter lemon	1
drinking water	1
fried egg	1
fattoush	1
kachori	1
tater	1
chorizo	1
shortcake	1
olive oil	1
open sandwich	1
walnut	1
frozen food	1
beet	1
hoisin sauce	1
mushroom	1
cream cheese	1
savory	1
fish sauce	1
spirit	1
cracker	1
snack food	1
rice vinegar	1
concoction	1
dried fruit	1
baking powder	1
fenugreek	1
tuna	1
veal	1
smoked	1
green onion	1
puff pastry	1
steamer	1
fish ball	1
ham	1
cherry	1
quick hot	1
confection	1
flavoring	1
clam	1
onion ring	1
eel	1
tomatillo	1
gravy	1
yolk	1
lobster	1
okra	1
cheese bread	1
lard	1
peel	1
white rice	1
split pea	1
pistachio	1
black bean	1
jimmy	1
pastry cream	1
loin	1
tortilla chip	1
ciabatta	1
breakfast burrito	1
spam	1
mango pickle	1
pepper sauce	1
nougat	1
gluten	1
shank	1
marinara	1
bread pudding	1
rice noodle	1
hot chocolate	1
pickled vegetable	1
garlic butter	1
steamed rice	1
wonderland	1
onion relish	1
cream	1
lemon	1
canned meat	1
yellow lentil	1
mayonnaise	1
whipped cream	1
tart	1
lime juice	1
wonton	1
shish kebab	1
daikon	1
pomegranate juice	1
chicken breast	1
