food	count
fish	135
shrimp	70
fish chip	62
sauce	36
seafood	35
chip	27
batter	22
tartar sauce	19
hush puppy	18
catfish	18
burger	17
fish fry	15
cocktail sauce	15
sandwich	14
clam	13
lobster	13
french fry	13
cod	13
chicken	12
fast food	12
ketchup	11
slaw	11
scallop	10
patty	9
clam chowder	9
salt	9
cole	8
malt vinegar	8
filet	8
coleslaw	8
oyster	8
bread	7
onion ring	7
meat	7
beer	7
hot sauce	7
water	6
soda	6
crab	6
condiment	6
taco	6
chowder	5
seasoning	5
oil	5
corn	5
fish stick	5
mushroom	5
salad	5
jack	4
zucchini	4
okra	4
cheese	4
hushpuppy	4
bun	4
shrimp cocktail	4
potato	4
whiting	3
dressing	3
dessert	3
mayo	3
fish filet	3
fillet	3
fried cod	3
pepsi	3
feed	3
sake	3
creamy	3
spicy	3
lemon	3
diet	3
halibut	3
mac cheese	2
slop	2
orange	2
feast	2
dip	2
potato salad	2
pigeon	2
bird	2
salmon	2
pasta	2
dipping sauce	2
tilapia	2
beef	2
stick	2
cornmeal	2
heart	2
coconut	2
pie	2
roll	2
breadcrumb	2
blood	2
chicken breast	2
wing	2
wine	2
maine lobster	1
red hot	1
cheddar	1
lozenge	1
calamari	1
shellfish	1
hash brown	1
knish	1
board	1
white bread	1
split	1
coffee	1
grit	1
quick hot	1
swordfish	1
iceberg	1
difference	1
baking	1
sop	1
sea scallop	1
bottled water	1
whitefish	1
filling	1
picnic	1
lemonade	1
spaghetti	1
ice cream	1
side dish	1
chicken wing	1
white fish	1
yogurt	1
pancake batter	1
pepper	1
crab cake	1
peel	1
leg	1
leaf lettuce	1
seasoned salt	1
biscuit	1
fresh oyster	1
cheese sauce	1
takeout	1
berry	1
pita	1
tongue	1
wad	1
dill	1
veggie	1
wrap	1
sweet sour chicken	1
dietary	1
soy	1
frozen food	1
grub	1
cheese bread	1
vinegar	1
fish fillet	1
bubble	1
nut	1
coke	1
buffalo	1
king crab	1
pulled pork	1
side order	1
rice	1
crumb	1
edible	1
malt	1
cracker	1
soup	1
hamburger	1
mahimahi	1
honey	1
old fashioned	1
fresh shrimp	1
collard green	1
fixing	1
bird food	1
mayonnaise	1
sourdough bread	1
macaroni salad	1
table salt	1
chow	1
delicacy	1
shoestring fry	1
collar	1
butter	1
remoulade	1
bbq sauce	1
mash	1
boiled egg	1
beverage	1
popcorn	1
brew	1
ceviche	1
red snapper	1
