food	count
wine	12
sushi	11
meat	11
salad	6
soup	5
cut meat	4
beer	4
dessert	4
pastry	3
sandwich	3
water	3
bean	3
baked good	3
pizza	3
cheese	2
coffee	2
burger	2
chicken	2
creamy	2
brownie	2
chocolate	2
seafood	2
cake	2
steak	2
bell pepper	1
chocolate fruit	1
chile	1
pie	1
coconut water	1
fish	1
baked bean	1
apple	1
tea	1
fruit tart	1
tuna	1
cream	1
ribeye steak	1
white wine	1
sausage	1
macadamia	1
veggie	1
ham	1
milk	1
spirit	1
tiramisu	1
easter egg	1
stock	1
root beer	1
vegetable	1
chicken sandwich	1
tart	1
carrot cake	1
pepper	1
tamale	1
mushroom	1
leg	1
red onion	1
soda	1
chili	1
apple juice	1
cereal	1
praline	1
trout	1
oyster	1
spice	1
instant	1
iced tea	1
goody	1
gem	1
jelly	1
shrimp	1
fruit	1
crawfish	1
egg	1
round	1
