food	count
sandwich	162
bread	92
jimmy	92
mayo	41
meat	36
lettuce	27
turkey	22
tomato	22
sprout	18
cheese	17
chip	16
veggie	15
avocado	13
wheat	12
french bread	12
hot pepper	11
pickle	11
filling	10
cucumber	10
roast beef	9
tom	9
roll	9
mustard	9
fast food	7
vinegar	7
soda	7
ice	6
pizza	6
tuna	6
ham	5
onion	5
pepper	5
vegetable	5
dressing	4
bacon	4
oil	4
salami	4
grain	4
wrap	4
iced tea	3
cherry	3
white bread	3
difference	3
alfalfa sprout	3
burger	3
club sandwich	3
condiment	3
loaf	3
beef	3
coke	3
stick	3
potato chip	3
heart	3
split	3
topping	3
vinaigrette	3
smoked	3
salt	3
dough	2
toast	2
sweetener	2
board	2
sauce	2
freshly baked bread	2
nut	2
garlic bread	2
punch	2
cookie	2
lettuce wrap	2
italian sandwich	2
feed	2
guacamole	2
syrup	2
bun	2
soup	2
hoagie	2
concoction	2
burrito	2
dijon mustard	1
tequila	1
fennel	1
cucumber sandwich	1
chicken	1
milk	1
snack	1
celery	1
savory	1
aubergine	1
mustard mayo	1
starch	1
dessert	1
crispy onion	1
molasses	1
chutney	1
clam	1
nosh	1
steak	1
oatmeal cookie	1
tea	1
alcohol	1
jalapeno	1
italian dressing	1
mouthful	1
pasty	1
chocolate chip cooky	1
water	1
leftover	1
iceberg lettuce	1
rose	1
tongue	1
champ	1
creamy	1
cheese sandwich	1
submarine	1
beer	1
whole wheat bread	1
gluten	1
orange	1
olive	1
chili	1
chipotle	1
shoot	1
crumb	1
edible	1
salad	1
dill pickle	1
sour	1
cake	1
hamburger	1
juice	1
soda water	1
fat chip	1
baguette	1
lemon	1
loaf bread	1
hard roll	1
whey	1
cold cut	1
diet	1
coca cola	1
taco	1
swallow	1
hot dog	1
buffalo	1
mash	1
mustard sandwich	1
