food	count
pizza	45
coffee	31
chocolate	18
salad	18
ice cream	15
dessert	12
cheese	9
coconut	9
espresso	8
pistachio	7
peanut butter	7
creamy	7
mint	6
fruit	6
olive oil	5
sauce	5
stick	5
hazelnut	5
cream	5
mango	5
cherry tomato	4
shake	4
chicken	4
focaccia	4
spicy	4
pepperoni	4
basil	4
strawberry	4
cake	4
bbq chicken	4
chip	4
concoction	4
tomato sauce	4
split	4
topping	4
cucumber	4
sugar	3
dressing	3
bread	3
roasted	3
caramel	3
bacon	3
tiramisu	3
champagne	3
corn	3
flatbread	3
almond	3
heart	3
carrot	3
sandwich	3
pineapple	3
passion fruit	2
milk	2
snack	2
avocado	2
pumpkin	2
sorbet	2
cookie	2
mozzarella	2
raisin	2
veggie	2
lettuce	2
oregano	2
mint chocolate	2
mushroom	2
marinara	2
pie	2
toasted almond	2
cheesecake	2
vinaigrette	2
diet	2
italian sausage	2
tomato	2
egg	2
muffin	1
mousse	1
iced tea	1
fresh pineapple	1
vanilla bean	1
ham	1
cherry	1
italian style	1
chipotle	1
margarita	1
brownie	1
yogurt	1
batter	1
chocolate cake	1
difference	1
flavoring	1
onion	1
brain	1
gum	1
prosciutto	1
roast	1
nut	1
pepper	1
waffle	1
burger	1
oil	1
spaghetti	1
sausage	1
alcohol	1
cappuccino coffee	1
pepperoni pizza	1
leg	1
filling	1
ice	1
granola	1
herbal	1
cantaloupe	1
rum	1
punch	1
water	1
raspberry	1
goody	1
oatmeal	1
soda	1
chive	1
garlic	1
tongue	1
sausage pizza	1
liqueur	1
mocha	1
turkey	1
blue cheese	1
veggie sausage	1
focaccia bread	1
bitter	1
beverage	1
salad dressing	1
spice	1
iceberg	1
vanilla	1
cracker	1
bbq sauce	1
romaine lettuce	1
smorgasbord	1
peanut butter cheesecake	1
twist	1
pastry	1
feed	1
lemon	1
fudge	1
roll	1
tomato soup	1
latte	1
sicilian pizza	1
tuna	1
pumpkin pie	1
wafer	1
hot dog	1
croissant	1
meat	1
chicken breast	1
