food	count
water	21
round	16
buffet	5
burger	4
beer	4
wine	4
chicken	3
chip	3
sandwich	3
salad	3
grass	3
tuna salad	2
wrap	2
snack	2
beef	2
ice	2
rice	2
tamale	2
pilaf	2
fruit	2
banquet	2
shoot	2
potato	2
candy	2
heart	1
chowder	1
sprout	1
nut	1
lemonade	1
coffee	1
booze	1
glaze	1
champ	1
corn chowder	1
chicken quesadilla	1
duck	1
rib	1
turkey	1
sausage	1
mushroom sauce	1
avocado	1
reuben	1
bagel	1
beverage	1
draft	1
catfish	1
egg benedict	1
albacore	1
board	1
smoked bacon	1
gravy	1
cosmopolitan	1
dessert	1
vanilla	1
cookie	1
omelet	1
pasta	1
salsa	1
glazed carrot	1
red delicious	1
gem	1
mimosa	1
steak	1
string bean	1
neck	1
hot dog	1
cooler	1
biscuit	1
soup	1
carrot	1
grain	1
bloody mary	1
shoulder	1
egg	1
