food	count
sandwich	178
pizza	144
meat	108
coffee	94
salad	77
wine	75
cheese	69
orange	68
bread	65
chicken	59
salsa	57
pastry	57
english muffin	57
dessert	56
egg	55
rice	51
tortilla	50
veggie	48
taco	47
fruit	47
burrito	46
cake	44
avocado	43
sushi	38
bean	35
cupcake	34
spicy	34
tomato	32
spice	32
pita	31
bacon	29
water	29
tuna	29
beer	29
snack	28
candy	26
baked good	24
potato	23
french pancake	22
sauce	22
turkey	22
beef	22
tea	21
heart	21
muffin	21
burger	20
latte	20
fish	20
yogurt	20
chile	20
falafel	20
egg white	19
juice	19
hummus	19
pickle	18
seafood	18
cookie	17
samosa	17
roasted	17
chip	16
cooler	16
goody	16
tamale	16
chocolate	15
vegetable	15
ceviche	14
filling	14
cucumber	14
omelet	14
puri	13
crepe	13
stock	13
soda	13
lettuce	13
iced tea	13
onion	13
strawberry	13
roll	13
beverage	13
pork	12
apple	12
soup	12
buffet	12
gem	12
red velvet cake	12
pancake	12
corn	12
stick	11
ice cream	11
sugar	11
guacamole	11
baklava	11
chicken salad	10
honey	10
wrap	10
breakfast food	10
espresso	10
omelette	10
naan	10
shrimp	10
curry	10
milk	9
olive	9
lamb	9
spinach	9
tostada	9
pineapple	9
goat cheese	9
watermelon	9
fresh food	9
orange juice	9
grain	9
wheat	9
gluten	9
grape	8
goat	8
mango	8
tuna salad	8
granola	8
steak	8
topping	8
green tea	8
toast	8
smoked salmon	8
sour cream	8
picnic	8
chili	8
cracker	8
cilantro	8
cut meat	8
mayo	8
dressing	7
brownie	7
butter	7
corn tortilla	7
gyro	7
jam	7
mushroom	7
savory	7
split	7
kale	7
ham	7
enchilada	7
blackberry	7
oatmeal	7
coke	7
paneer	7
bun	7
condiment	7
topped	7
sausage	6
nacho	6
frosting	6
creamy	6
baba	6
tahini	6
tamarind	6
banana	6
coconut	6
scrambled egg	6
chorizo	6
basil	6
halal	6
rib	6
garlic	6
jalapeno	6
pea	6
pepper	6
spinach pie	6
tongue	6
tofu	6
pie	6
cream	6
diet	6
dulce	6
margarita	5
almond	5
fast food	5
sangria	5
sea salt	5
lime	5
croissant	5
reuben	5
ground beef	5
poached egg	5
salt	5
chutney	5
refried bean	5
hot sauce	5
salted chocolate	5
papaya	5
board	5
grub	5
ice	5
avocado salsa	5
breakfast burrito	5
nut	5
mustard	5
bran muffin	4
dumpling	4
jack	4
dip	4
round	4
spiced	4
chocolate chip cookie	4
cinnamon	4
roasted tomato	4
wing	4
iced coffee	4
lentil soup	4
lentil	4
side dish	4
feed	4
turkey breast	4
brew	4
lemonade	4
tomato salsa	4
preserve	4
cantaloupe	4
feta cheese	4
loaf	4
fruit vegetable	4
old fashioned	4
noodle	4
pistachio	4
baba ganoush	4
tart	4
melon	3
chocolate cake	3
difference	3
egg top	3
coffee cake	3
dolmas	3
tandoori chicken	3
sushi roll	3
punch	3
cream cheese frosting	3
squid	3
skin	3
pakora	3
hash brown	3
sake	3
stuffed grape leaf	3
flan	3
sour	3
bloody mary	3
fruit juice	3
pumpkin	3
orange fennel salad	3
dough	3
shake	3
cole	3
seaweed	3
caramel	3
rack	3
takeout	3
ice tea	3
syrup	3
kebab	3
food product	3
marinade	3
mint	3
birthday cake	3
salmon	3
comfort food	3
toffee	3
cappuccino	3
morsel	3
gruyere	3
flour tortilla	3
tres lech cake	3
cauliflower	3
instant	3
jelly	3
bran	3
peanut butter	3
frozen food	3
grapefruit	3
cream cheese	3
crumb	3
vanilla	3
stuffing	3
flour	3
oil	3
parfait	3
nosh	3
pepsi	3
tuna steak	3
turkey salad	3
mimosa	3
tortilla chip	3
custard	3
wonderland	3
mash	3
lemon	3
huevos rancheros	3
green pepper	2
barbecue	2
meat pie	2
fresh cream	2
baking	2
prosciutto	2
seasoning	2
white wine	2
side bacon	2
vegetarianism	2
