food	count
chicken	73
bread	53
pita	52
meat	50
hummus	48
buffet	47
sandwich	33
naan	30
spice	27
beef	26
lamb	25
falafel	24
rice	23
cheese	18
garlic	18
dessert	16
curry	15
kebab	15
garlic sauce	15
sauce	14
baba	14
baklava	13
water	13
chicken curry	12
pie	12
veggie	11
creamy	11
vegetable	11
goat	11
spicy	10
tea	10
paneer	10
pickle	10
pastry	10
tandoori chicken	9
spinach pie	9
wrap	9
turkey	9
cheese pie	9
meat pie	8
gem	8
rice pudding	8
spinach	8
salad	8
halal	8
tomato	8
samosa	7
dip	7
roasted	6
snack	6
filling	6
soup	6
yogurt	6
eggplant	6
tahini	6
pizza	5
spiced	5
olive oil	5
syrup	5
humus	5
olive	5
kabob	5
heart	5
soda	5
dough	4
tabbouleh	4
grape	4
onion	4
orange	4
cooler	4
round	4
lentil	4
condiment	4
cucumber	4
ground beef	4
baba ganoush	4
beer	4
stock	4
basmati rice	4
lemon	4
vegetable pakoras	4
potato	4
turkish delight	3
cut meat	3
split	3
coffee	3
bean	3
champagne	3
candy	3
dolmas	3
lentil soup	3
oil	3
jalapeno	3
pea	3
wheat	3
fish	3
herb	3
shrimp	3
rogan josh	3
savory	3
iced tea	3
nut	3
sesame	3
goody	3
hot sauce	3
mango lassi	3
honey	3
naan bread	3
mushroom	3
nan	3
mango	3
tomato soup	3
diet	3
beverage	3
semolina	2
rose	2
chickpea	2
foodstuff	2
comfort food	2
lamb chop	2
jam	2
board	2
chutney	2
chicken korma	2
feast	2
grub	2
gravy	2
side dish	2
milk	2
kofta	2
garbanzo	2
madras	2
feta cheese	2
leftover	2
dipping sauce	2
pistachio baklava	2
lettuce	2
bulgar wheat	2
butter	2
cream cheese	2
chocolate	2
juice	2
carrot	2
pistachio	2
soft drink	2
saffron	2
feta	2
yellow lentil	2
topping	2
sausage	2
fruit	2
ice cream	2
french fry	2
burrito	2
salt	2
wine	2
watermelon	1
chicken skewer	1
bell pepper	1
rice dish	1
tequila	1
coconut milk	1
thyme	1
frozen yogurt	1
topped	1
unleavened bread	1
canned good	1
refreshment	1
sugar	1
shank	1
couscous	1
dolmades	1
white bread	1
flatbread	1
red onion	1
flaky pastry	1
bread roll	1
perishable	1
mayo	1
rosewater	1
cupcake	1
clam	1
tomato paste	1
jack	1
pickled lemon	1
mango juice	1
difference	1
provision	1
raita	1
flavoring	1
lamb tongue	1
pretzel	1
roll	1
lime	1
canned meat	1
bean curd	1
summer vegetable	1
cocktail	1
skin	1
waffle	1
turnip	1
red lentil	1
phyllo	1
mutton	1
cauliflower	1
pomegranate juice	1
tomato salad	1
cheese ball	1
ice	1
mate	1
cheese bread	1
mouthful	1
pistachio nut	1
preserve	1
cardamon	1
corn	1
mango chutney	1
jasmine rice	1
punch	1
cookie	1
flour	1
fattoush	1
confection	1
steak	1
honey syrup	1
orange soda	1
indian cheese	1
takeout	1
grain	1
cinnamon	1
chow	1
tongue	1
shortcake	1
loaf	1
spiced beef	1
pancake	1
ice water	1
coffee bean	1
strawberry lassi	1
tofu	1
donut	1
loin	1
fresh herb	1
ice tea	1
fresh food	1
chicken sandwich	1
tamarind	1
egg	1
custard	1
coconut curry	1
tart	1
pomegranate syrup	1
marsala	1
parsley	1
hot pepper	1
garlic butter	1
pollock	1
beet	1
batter	1
chapati	1
corn syrup	1
appetiser	1
stuffed grape leaf	1
filet	1
coke	1
vegetable pickle	1
stick	1
ricotta	1
crushed nut	1
chili	1
chipotle	1
clotted cream	1
edible	1
white rice	1
pakora	1
spicy rice	1
food product	1
strawberry	1
cake	1
pea samosa	1
chip	1
vegetarian curry	1
grapeseed oil	1
mortadella	1
cheese pizza	1
bread sauce	1
curd cheese	1
tomato sauce	1
freshwater fish	1
store cheese	1
bulgur wheat	1
vegetable samosa	1
feed	1
taboulleh	1
canned food	1
dried fruit	1
fig bread	1
macaroni	1
biryani	1
mayonnaise	1
chocolate candy	1
lamb curry	1
chicken thigh	1
cardamom	1
cheesecake	1
string cheese	1
taco	1
shish kebab	1
grilled lamb	1
baked good	1
sumac	1
gyro	1
cut lamb	1
paneer spinach	1
pineapple	1
chicken breast	1
turnover	1
wing	1
whole wheat flour	1
