food	count
tea	37
wrap	29
salad	21
herb	19
dessert	12
bread	12
soup	11
meat	10
snack	9
black bean	9
cheese	9
water	8
herb tea	8
quinoa	8
veggie	7
gluten	7
chocolate	7
spice	7
diet	7
sprout	6
dip	6
fast food	6
herbal	6
spicy	6
sweet potato	6
heart	6
sandwich	6
nut	5
hummus	5
vegetable	5
tomato	5
kale	4
health food	4
green tea	4
chicken	4
walnut	4
roll	4
almond	4
apple	4
blueberry	4
lemon	4
fruit	4
burrito	4
pilaf	4
bell pepper	3
iced tea	3
smoothie	3
pesto	3
watermelon	3
onion	3
zucchini	3
truffle	3
raspberry	3
berry	3
carrot	3
soy	3
turkey	3
nori	3
olive	3
pizza	3
cake	3
seed	3
cashew	3
split	3
herbal tea	3
dark chocolate	3
chowder	2
soda	2
roasted	2
milk	2
guacamole	2
celery	2
focaccia	2
enchilada	2
sauce	2
sweetener	2
coffee	2
filling	2
caramel	2
cocktail	2
burger	2
oil	2
meatloaf	2
strawberry	2
tiramisu	2
nut butter	2
basil pesto	2
black tea	2
vegan chocolate	2
ice tea	2
creamy	2
gazpacho	2
butter	2
tofu	2
tea leaf	2
vanilla	2
peanut	2
mint	2
quesadilla	2
oat	2
feta	2
cheesecake	2
cranberry	2
salmon	2
blood	2
taco	2
salsa	2
salt	2
egg	2
feed	1
pumpkin soup	1
morsel	1
chickpea	1
dipping sauce	1
cinnamon	1
saffron	1
comfort food	1
cheddar	1
toast	1
vanilla bean	1
grape	1
corn chip	1
cherry	1
avocado	1
chocolate ganache	1
cracker	1
pumpkin	1
dab	1
lemon dressing	1
ginger sauce	1
dairy product	1
yogurt	1
bean	1
jack	1
tv dinner	1
banana chip	1
strawberry jam	1
orange	1
brain	1
cumin	1
tahini dressing	1
legume	1
chocolate fondue	1
blackberry	1
steak	1
seaweed	1
darjeeling	1
pineapple	1
fruit cake	1
cantaloupe	1
sage	1
fennel seed	1
bleu cheese dressing	1
green sandwich	1
mushroom soup	1
ice cream	1
buffalo	1
side dish	1
honeydew	1
cauliflower soup	1
chocolate pot	1
red lentil soup	1
tomato salad	1
summer squash	1
chocolate bar	1
granola	1
green salad	1
nacho	1
pepper	1
buckling	1
zest	1
raisin bread	1
fruit platter	1
carob	1
stew	1
elixir	1
pasta	1
coconut soup	1
tortilla	1
jelly	1
oatmeal	1
shrimp	1
eggplant	1
cut meat	1
pita	1
cucumber	1
tongue	1
peanut butter	1
olive oil	1
tea time	1
red onion	1
tabbouleh salad	1
dietary	1
oolong	1
rabbit food	1
raw vegetable	1
sugar	1
java	1
cranberry juice	1
butternut squash soup	1
spinach	1
beet	1
stock	1
cranberry bread	1
basil	1
dried tomato	1
syrup	1
quinoa salad	1
mushroom	1
filet	1
cider vinegar	1
melon	1
western	1
chili	1
coconut	1
olive bread	1
spirit	1
starter	1
decaf	1
pear	1
banana	1
broccoli soup	1
lemonade	1
coconut curry	1
cuke	1
pickle	1
hot sauce	1
lettuce cup	1
vodka	1
fresh herb	1
nutrition	1
chip	1
tonic	1
honey	1
juice	1
lentil	1
potion	1
cream	1
chocolate cherry cheesecake	1
savory	1
concoction	1
topped	1
potato soup	1
white bean	1
fudge	1
mayo	1
tart	1
snail	1
blue crab	1
nectar	1
strawberry salad	1
garlic	1
chocolate dessert	1
alcohol	1
smoked	1
chicken taco	1
potato	1
manhattan	1
mash	1
mango	1
macaroon	1
chocolate truffle	1
vinaigrette	1
wine	1
wing	1
