food	count
hot dog	662
burger	566
beef	351
cheese	291
bun	263
sandwich	228
onion ring	171
soda	166
meat	151
chili	142
topping	140
onion	137
bread	136
bacon	135
hotdog	108
sauce	106
pepper	102
mustard	98
beer	94
hamburger	93
sausage	90
pickle	81
spicy	80
cheeseburger	73
french fry	70
veggie	66
fast food	63
tomato	60
shake	58
rocket	57
condiment	57
brat	55
chicken	52
corn dog	51
relish	50
ketchup	50
chili dog	45
patty	44
mayo	43
coke	41
sweet potato	40
roll	39
hot pepper	36
chipotle	35
taco	33
water	32
heart	32
slaw	32
mushroom	32
ice	32
stick	31
pineapple	30
wiener	29
bean	29
tater	29
jalapeno	29
bratwurst	29
topped	29
lettuce	28
milkshake	27
pizza	27
pita	27
chicken sandwich	26
salad	26
gyro	26
salt	26
chip	25
jus	25
dip	24
coleslaw	24
batter	24
bbq sauce	23
chocolate	22
italian sausage	22
picnic	22
cheddar	22
spice	22
diet	22
buffalo	22
avocado	21
sweet pepper	21
poppy seed	21
coconut	21
steak	21
garlic	21
naan	21
root beer	21
spam	21
sauerkraut	20
mango	20
beef sausage	20
filling	20
fish	20
lemonade	20
grilled onion	20
egg	19
celery salt	18
turkey	18
split	18
steamed	18
corn	18
salsa	17
cole	17
flatbread	17
cream soda	16
rosemary	16
western	16
pastrami	16
pepsi	16
juice	15
zucchini	15
cream cheese	15
skin	14
dressing	14
guacamole	14
wing	14
ice cream	14
peanut butter	14
cilantro	14
cheese sauce	14
beverage	14
difference	13
hot sauce	13
board	13
cooler	13
wrap	13
blue cheese	13
curd	13
potato	13
seasoning	12
wine	12
gem	12
garlic mayo	12
burrito	12
roast beef	12
snack	11
sugar	11
old fashioned	11
fruit	11
fixing	11
tamale	11
jack	10
pork	10
nacho	10
malt	10
iced tea	10
chilli	10
grilled chicken	10
vanilla	10
concoction	10
oil	10
butter	10
mango chutney	10
twist	10
loganberry	9
dripping	9
naan bread	9
gouda	9
savory	9
smoked	9
cheddar cheese	9
round	8
tea	8
feed	8
banana	8
soft drink	8
gravy	8
mustard relish	8
olive oil	8
mayonnaise	8
pinto bean	7
milk shake	7
creamy	7
reuben	7
coca cola	7
goat cheese	7
liquor	7
chile	7
cracker	7
soda pop	7
gluten	7
strawberry	7
edible	6
sour	6
meatball	6
blood	6
dipping sauce	6
cola	6
cane sugar	6
chuck	6
potato salad	6
bell pepper	6
comfort food	6
puff	6
pulled pork	6
beef burger	6
cherry	6
teriyaki	6
candy	6
black bean	6
marshmallow	6
red onion	6
breakfast burrito	6
pear	6
dessert	5
ginger ale	5
brownie	5
parmesan	5
dill pickle	5
quesadilla	5
beef patty	5
stock	5
takeout	5
potato chip	5
rice	5
pretzel	5
spirit	5
italian sandwich	5
red hot	5
grub	5
goody	5
chow	5
pie	5
dijon mustard	4
green pepper	4
passion fruit	4
milk	4
hot sweet	4
mozzarella	4
sake	4
american cheese	4
olive	4
thousand island dressing	4
brie	4
feta salad	4
orange	4
coffee	4
feta	4
processed cheese	4
side dish	4
aioli	4
lollipop	4
fry bread	4
junk food	4
red meat	4
sweet pickle	4
marinara	4
brain	4
little gem	4
kosher	4
grain	4
sesame	4
shoulder	4
wheat	4
leftover	4
jimmy	4
cornmeal	4
grass	4
tart	4
mango salsa	4
bird	3
leg	3
punch	3
chili sauce	3
fried chicken	3
lime	3
mush	3
soup	3
carrot	3
skinny fry	3
spicy pepper	3
swiss cheese	3
tortilla	3
rack	3
cucumber	3
ground beef	3
spinach	3
syrup	3
cheesecake	3
brew	3
jam	3
morsel	3
spud	3
gourmet burger	3
bay	3
chicken wing	3
onion relish	3
rib	3
vegetable	3
papaya	3
sea salt	3
root beer float	3
roasted	3
corn chip	3
sesame seed	3
tongue	3
cheese sandwich	3
bubble	3
dill	3
jacket	3
boiled egg	3
chicken breast	3
ale	2
white bread	2
weenie	2
herb	2
mac cheese	2
vinegar	2
spiced	2
popcorn	2
beef meatball	2
duck	2
garnish	2
blueberry	2
spicy sweet	2
chicken taco	2
shoot	2
monterey jack	2
blue cheese dressing	2
green chilli	2
cabbage	2
dove	2
neck	2
rye	2
rye bread	2
flour	2
salted caramel	2
feast	2
cornbread	2
sarsaparilla	2
cocktail	2
condensed milk	2
tzatziki	2
french bread	2
prickly pear	2
draft	2
iceberg	2
food product	2
frankfurter	2
pastry	2
ginger beer	2
red pepper	2
bottled water	2
scrambled egg	2
dog food	2
brioche	2
chard	2
turnover	2
booze	2
toast	2
slop	2
hash brown	2
celery	2
bleu	2
club sandwich	2
soft roll	2
barbecue sauce	2
fried egg	2
berry	2
dandelion	2
bread roll	2
tuck	2
hoagie	2
marinade	2
salsa verde	2
shirley temple	2
blood orange	2
bratwurst sausage	2
fish chip	2
nosh	2
tomato relish	2
truffle	2
italian bread	2
shoestring fry	2
tortilla chip	2
catsup	2
salad dressing	2
nut	2
side order	2
cake	2
irish	2
spicy sauce	2
cream	2
lemon	2
peach	2
nan	2
alcohol	2
grape juice	1
barbecue	1
guava	1
swallow	1
three cheese	1
icing	1
garlic salt	1
buffalo mozzarella	1
fruit punch	1
asparagus	1
eating apple	1
prosciutto	1
skate	1
hot drink	1
chopped tomato	1
bahia	1
ham	1
hamburger bun	1
chicken salad	1
donut	1
rascal	1
egg roll	1
chili powder	1
black tea	1
satay	1
pate	1
vegetarianism	1
tartar sauce	1
orange soda	1
fish sausage	1
hot cake	1
soft pretzel	1
black cherry	1
onion roll	1
hoagy	1
passionfruit	1
spinach salad	1
whole wheat bread	1
chestnut	1
various topping	1
hair dog	1
bourbon	1
starter	1
alcoholic drink	1
make pizza	1
vanilla ice cream	1
chocolate milk	1
honey	1
suds	1
pasta dish	1
sundae	1
flavoring	1
sprinkle	1
convenience food	1
tamarindo	1
mojito	1
beef stock	1
red wine	1
pecan pie	1
sprout	1
jerry	1
fruit drink	1
pesto	1
kaiser roll	1
bbq chicken	1
dab	1
citrus	1
stout	1
sweetener	1
salmon burger	1
roast	1
fresh tomato	1
savarin	1
cumin	1
fennel seed	1
gum	1
variety meat	1
granola	1
fiber	1
crisp bacon	1
mullet	1
compote	1
lemon zest	1
chilly	1
draft beer	1
pepperoni	1
tilapia	1
malt vinegar	1
ice tea	1
pickle relish	1
tortilla crisp	1
brisket	1
schnitzel	1
green bean	1
tom	1
twister	1
pineapple dressing	1
bitter	1
cheese dip	1
filet mignon	1
fizz	1
bread sauce	1
ginger	1
beef jerky	1
lemon juice	1
seed	1
pork belly	1
zest	1
surf	1
buffet	1
pork chop	1
corn beef	1
espresso	1
sage	1
green tea	1
ling	1
crackling	1
gouda cheese	1
beef roll	1
muffin	1
fried potato	1
starch	1
savoury	1
glaze	1
sinker	1
mashed potato	1
vienna sausage	1
whiskey	1
wiener schnitzel	1
tomato salsa	1
malted	1
yogurt	1
mouthful	1
chili pepper	1
cauliflower	1
south border	1
huckleberry	1
instant	1
paring	1
cut meat	1
loaf	1
feta cheese	1
side beef	1
open sandwich	1
tortilla strip	1
fresh food	1
sweet roll	1
crispy bacon	1
parsley	1
velveeta	1
refried bean	1
white meat	1
scotch whiskey	1
crumb	1
english muffin	1
onion bread	1
snack food	1
stuffing	1
broth	1
sushi	1
chicken caesar salad	1
loaf bread	1
vienna roll	1
lasagna	1
baguette	1
pomegranate	1
hotdog bun	1
supper	1
cupcake	1
collar	1
beef broth	1
veal	1
limeade	1
beef bun	1
apple	1
knish	1
horseradish	1
quick hot	1
romaine lettuce	1
teriyaki sauce	1
manhattan	1
cutlet	1
blackberry	1
cookout	1
tomatillo	1
pickled onion	1
portobello mushroom	1
butterscotch	1
okra	1
fondue	1
tap water	1
pea	1
peel	1
ration	1
stew	1
oreo	1
iceberg lettuce	1
saddle	1
beef taco	1
tofu	1
ciabatta	1
tuna salad	1
wad	1
aoli	1
gin	1
cat food	1
lemon tart	1
paprika	1
crumble	1
sloppy joe	1
swill	1
graham	1
kidney	1
tomato sauce	1
whip	1
canned meat	1
layered pepper	1
macaroni salad	1
fodder	1
nourishment	1
gorgonzola	1
waffle	1
shoestring potato	1
grated cheese	1
red snapper	1
