food	count
water	25
coffee	14
wine	12
margarita	9
cocktail	9
whiskey	8
beer	8
salad	7
fruit	7
buffet	6
steak	5
leg	5
dessert	4
chocolate	4
heart	4
chicken	3
bread	3
difference	3
bacon	3
sausage	3
ice	3
champagne	3
oatmeal	3
spinach salad	3
soup	3
bottled water	3
pizza	3
mojito	2
milk	2
snack	2
sugar	2
dressing	2
orange	2
goat cheese	2
gem	2
meat	2
onion	2
cooler	2
round	2
pork	2
tea	2
fish	2
burger	2
ice cream	2
sangria	2
banana	2
pancake	2
french toast	2
patty	2
cheese	2
prickly pear	2
liquor	2
filet	2
stick	2
rack	2
twist	2
lemon	2
topped	2
sandwich	2
butter	2
mash	2
salt	2
chile	1
espresso	1
tequila	1
roasted	1
sweet corn	1
cherry	1
avocado	1
choc	1
board	1
sauce	1
bbq chicken	1
cottage cheese	1
caramel	1
starch	1
bean	1
watermelon	1
plantain	1
ketchup	1
shoulder	1
risotto	1
chuck	1
candy	1
smoked bacon	1
solid food	1
dip	1
egg	1
batter	1
lemonade	1
goose	1
coconut cake	1
wonderland	1
bass	1
hot toddy	1
continental breakfast	1
chicken stock	1
chinese chicken	1
coffee cream	1
tap water	1
strawberry	1
mandarin	1
truffle	1
pepper	1
cookie	1
sparkling water	1
pale ale	1
lettuce wrap	1
rice pudding	1
tortilla	1
instant	1
orange juice	1
strong drink	1
spiced	1
shrimp	1
honey	1
grain	1
soda	1
skin	1
chorizo	1
tongue	1
apple	1
fried chicken	1
chicken wing	1
yorkshire pudding	1
taco	1
veggie	1
tomato salad	1
wrap	1
breakfast burrito	1
lime	1
spinach	1
ceviche	1
creamy	1
caramel sauce	1
cereal	1
crab	1
tom	1
gin	1
jonathan	1
bitter	1
medallion	1
gluten	1
coke	1
croquette	1
pasta	1
king crab	1
pulled pork	1
pecan	1
omelet	1
flan	1
chicken taco	1
starter	1
spice	1
light beer	1
fresh tuna	1
chump	1
bubble gum	1
onion ring	1
syrup	1
tuck	1
sour	1
chip	1
pie	1
old fashioned	1
avocado salad	1
cream	1
lamb	1
beef tenderloin	1
bagel	1
root beer float	1
perishable	1
vegetable	1
roll	1
surf	1
topping	1
short rib	1
scrambled egg	1
pineapple chutney	1
latte	1
turf	1
peppercorn	1
salsa	1
dark chocolate	1
collar	1
oyster	1
blood orange	1
neck	1
fruit salad	1
buffalo	1
creamed spinach	1
beverage	1
bun	1
smoked	1
wing	1
western	1
