food	count
burger	234
ice cream	209
custard	96
soda	89
sandwich	81
chocolate	70
fast food	69
frozen custard	69
dessert	66
shake	64
cheese	60
sundae	52
topping	45
butter	42
creamy	40
yogurt	39
coffee	37
ice	35
patty	34
fruit	34
vanilla	33
malt	30
frozen yogurt	30
curd	29
hot dog	28
tart	27
pizza	26
shoestring fry	25
meat	22
chicken	22
steak	22
french fry	21
hamburger	21
banana	21
strawberry	21
salad	19
mango	19
potato salad	19
sugar	19
bacon	18
bun	18
stick	17
chip	17
peanut butter	17
onion ring	17
cherry	16
fudge	15
sauce	15
veggie	15
cheeseburger	15
old fashioned	15
crepe	13
oreo	13
blueberry	12
pickle	12
seasoning	11
milkshake	11
chili	11
pistachio	11
milk	10
soup	10
latte	10
fish	10
soy	10
cookie	10
caramel	10
diet	10
pecan	9
bread	9
egg cream	9
cheesecake	9
salt	9
pastrami	9
onion	9
candy	9
phosphate	9
mustard	9
heart	8
egg	8
reuben	8
vanilla custard	8
bagel	8
pineapple	8
cookie dough	8
pomegranate	8
coke	8
topped	8
chili dog	7
tomato	7
syrup	7
cereal	7
mint	7
berry	7
split	7
cream	7
root beer	6
chicken salad	6
chicken sandwich	6
honey	6
sprinkle	6
cole	6
lettuce	6
slaw	6
gem	6
turkey	6
mint chocolate	6
pot roast	6
concoction	6
root beer float	6
mayo	6
sorbet	6
pepper	6
spicy	6
cake	6
whipped cream	6
difference	5
espresso	5
water	5
fried chicken	5
taco	5
ketchup	5
filling	5
feed	5
coconut	5
coleslaw	5
toast	5
mashed potato	5
icecream	5
board	5
black bean	5
marshmallow	5
nut	5
pie	5
dip	4
tea	4
punch	4
sour	4
dark chocolate	4
neck	4
corn dog	4
avocado	4
chocolate ice cream	4
batter	4
pepsi	4
tater	4
beef	4
beer	4
banana split	4
rib	4
hotdog	4
cheddar	4
water ice	4
butterscotch	4
raspberry	4
cheese sandwich	4
lemon	4
skate	3
brownie	3
black cherry	3
lime	3
pork tenderloin	3
candy bar	3
dripping	3
rye	3
blood	3
dough	3
dab	3
rack	3
parfait	3
green bean	3
kiwi	3
nutrition	3
bitter	3
birthday cake	3
