food	count
chicken	52
meat	46
smoothie	42
sandwich	41
adobo	27
veggie	27
soup	25
donut	23
salad	23
rice	23
coffee	22
burger	21
sauce	21
wrap	21
pork	20
beef	17
cake	16
soy	15
burrito	14
spicy	13
roll	13
garlic	12
banana	11
spring roll	11
noodle	11
shrimp	11
tofu	11
juice	10
sugar	10
fruit	10
dessert	9
sour	9
cassava	9
vegetable	9
pink lady	8
chocolate	8
egg roll	8
turkey	8
orange	8
ice	8
flatbread	8
strawberry	8
water	7
blueberry	7
filling	7
steak	7
peanut butter	7
onion	7
milk	6
tea	6
stick	6
coconut curry	6
egg	6
vermicelli	6
stew	6
croissant	5
cinnamon	5
carrot	5
fried rice	5
cheese	5
lettuce	5
pineapple	5
bean	5
yogurt	5
eggplant	5
roasted	5
ham	5
curry	5
spice	5
roasted pork	5
wonton	5
peanut	4
bacon	4
lime	4
hamburger	4
chip	4
mango	4
avocado	4
savory	4
bread	4
ice cream	4
lemongrass	4
carrot cake	4
sweet sour chicken	4
nutrition	4
coconut	4
cheesecake	4
mushroom	4
spirit	4
broth	4
sushi	4
leftover	4
pie	4
twist	4
baguette	4
lemon	4
potato	4
seasoning	3
french fry	3
heart	3
salsa	3
iced tea	3
roast	3
fish	3
takeout	3
ice tea	3
tuna	3
cranberry juice	3
sweet potato	3
mint	3
brew	3
sushi roll	3
chicken curry	3
cappuccino	3
pastrami	3
nut	3
lemonade	3
white rice	3
toasted coconut	3
parfait	3
raspberry	3
goody	3
cranberry	3
mocha	3
omelet	3
diet	3
buffalo	3
difference	2
round	2
fritter	2
almond	2
espresso	2
pate	2
vegetarianism	2
chow mein	2
apple fritter	2
sake	2
brown rice	2
creamy	2
garnish	2
chicken sandwich	2
flan	2
malt	2
honey	2
stock	2
latte	2
cabbage	2
tomato	2
bbq chicken	2
alcohol	2
cucumber salad	2
soda	2
green bean	2
bitter	2
kiwi	2
red meat	2
salmon	2
buffet	2
salt	2
bell pepper	2
snack	2
blue lagoon	2
caramel	2
dipping sauce	2
chicken wing	2
sparkling water	2
orange juice	2
jelly	2
hummus	2
pita	2
patty	2
java	2
buttermilk	2
chili	2
crumb	2
hot sauce	2
concoction	2
oil	2
taro	2
steamed	2
cilantro	2
rose	2
flavoring	2
cooler	2
coconut milk	2
pea	2
wheat	2
pasta	2
tripe	2
steamed rice	2
cream	2
lime juice	2
quinoa	2
chicken breast	2
rice dish	1
green pepper	1
parmesan	1
cuke	1
granola	1
melon	1
spicy noodle	1
icing	1
yeast	1
banana bread	1
jack	1
chocolate cake	1
asparagus	1
noodle cake	1
hot drink	1
fast food	1
mushroom soup	1
dog food	1
chicken salad	1
fried banana	1
toast	1
leg	1
punch	1
egg noodle	1
chicken leg	1
mozzarella	1
spiced	1
chili sauce	1
skin	1
apple	1
sherbet	1
spinach salad	1
crab	1
drinkable	1
bean sprout	1
olive	1
egg white	1
starter	1
shoot	1
vodka sauce	1
meatball	1
pickle	1
durian	1
pasta dish	1
quesadilla	1
sprinkle	1
flatbread pizza	1
chow	1
beef burrito	1
raspberry vinaigrette	1
chicken rice	1
crepe	1
neck	1
banana fritter	1
wing	1
graham cracker	1
muffin	1
chickpea	1
sirloin steak	1
pesto	1
citrus	1
flour	1
coffee cappuccino	1
iced coffee	1
feast	1
white chocolate	1
pizza	1
lentil soup	1
waffle	1
scratching	1
lentil	1
condensed milk	1
banana smoothie	1
tortilla	1
compote	1
sticky rice	1
raisin	1
rack	1
pudding	1
feed	1
tilapia	1
jerk chicken	1
french bread	1
peanut dressing	1
ground beef	1
fruit smoothie	1
vegetable stew	1
western	1
hazelnut	1
soy vinaigrette	1
mirin	1
syrup	1
cinnamon roll	1
frozen dessert	1
bread sauce	1
slaw	1
banana cake	1
bagel	1
soymilk	1
gravy	1
mate	1
romaine	1
hot dog	1
green tea	1
frozen yogurt	1
booze	1
cruller	1
sour sauce	1
calamari	1
shellfish	1
pumpkin	1
honey mustard dressing	1
watermelon	1
gem	1
flour tortilla	1
brain	1
foodstuff	1
bean curd	1
mixed drink	1
quiche	1
club sandwich	1
tuna burger	1
honeydew	1
glaze	1
green salad	1
mouthful	1
barbeque	1
barbecue sauce	1
grain	1
cherry	1
swallow	1
jello	1
strip steak	1
balsamic	1
ciabatta	1
wonton soup	1
cream cheese	1
squash	1
pulled pork	1
liver	1
zesty mango salsa	1
sesame	1
old fashioned	1
pot roast	1
thai basil	1
split	1
papaya	1
broccoli	1
butter	1
waldorf salad	1
pasta salad	1
baked good	1
kale	1
roast beef	1
board	1
teriyaki	1
jackfruit	1
leek	1
soursop	1
hominy	1
dietary	1
caesar salad	1
paddy	1
sorbet	1
rice noodle	1
homemade granola	1
jalapeno	1
pomegranate juice	1
tap water	1
plantain	1
pepper	1
zest	1
corn	1
sesame seed	1
turkey salad	1
biscuit	1
champ	1
custard	1
coconut ice cream	1
health food	1
bun	1
frozen mango	1
apricot	1
stir fried	1
spicy sauce	1
peach	1
topped	1
pork spare rib	1
whey	1
tart	1
bear claw	1
mustard	1
exotic fruit	1
mango salsa	1
sardine	1
scotch	1
daikon	1
mash	1
beverage	1
grilled onion	1
pickled carrot	1
