food	count
sushi	122
roll	57
beer	50
sake	47
chicken	29
cocktail	26
wing	24
spicy	22
water	20
saki	19
salad	19
rib	19
shrimp	18
sushi roll	17
heart	16
sauce	14
tuna	14
dessert	13
crab	13
vodka	13
veggie	13
martini	12
wine	12
rice	12
teriyaki	12
burger	11
sandwich	11
pork	10
alcohol	10
beef	10
chili	10
sashimi	9
round	9
meat	9
adobo	9
pear	9
bomber	8
dip	8
egg	8
fish	8
tempura	8
gyoza	8
split	8
soda	7
lettuce wrap	7
beverage	7
pizza	6
avocado	6
fried rice	6
crab cake	6
ice	6
strawberry	6
stick	5
soup	5
mango	5
goose	5
fruit	5
cheese	5
mixed drink	5
cream cheese	5
ice cream	5
jack	4
margarita	4
tea	4
nacho	4
bloody mary	4
blood	4
blue crab	4
vegetable	4
bread	4
steak	4
garlic	4
coconut	4
spring roll	4
salmon	4
seafood	4
calamari	4
bay	4
pomegranate	4
grub	4
lobster	4
coke	4
topped	4
skin	3
dumpling	3
dressing	3
difference	3
bacon	3
french fry	3
chipotle	3
hamburger	3
sundae	3
draft beer	3
taco	3
tomato	3
wasabi	3
filling	3
kiwi	3
banana	3
juice	3
gravy	3
pineapple	3
salt	3
green tea	3
booze	3
grilled chicken	3
liquor	3
cracker	3
topping	3
board	3
onion	3
cooler	3
eel	3
stew	3
soy sauce	3
grape	2
green soy	2
seasoning	2
bamboo shoot	2
bird	2
leg	2
punch	2
round drink	2
apple	2
lime	2
garnish	2
squid	2
edible	2
sour	2
chip	2
fish sauce	2
quesadilla	2
octopus	2
chicken quesadilla	2
citrus	2
schnapps	2
shiso	2
lettuce	2
draft	2
sweet potato	2
hot dog	2
brew	2
cheeseburger	2
crispy onion	2
love rock	2
fried egg	2
scallop	2
white rice	2
orange	2
shrimp cocktail	2
pork dumpling	2
maki roll	2
cucumber	2
steamed	2
rocket	2
ketchup	2
onion ring	2
candy	2
jalapeno	2
wheat	2
raspberry	2
cranberry	2
tofu	2
wrap	2
gluten	2
cream sauce	2
spice	2
twist	2
lemon	2
peach	2
fixing	2
lime juice	2
mustard	2
potato	2
mate	1
melon	1
black olive	1
fish soup	1
fast food	1
sauerkraut	1
comfort food	1
white wine	1
fried banana	1
collins	1
toast	1
mac cheese	1
vinegar	1
spiced	1
orange soda	1
maraschino cherry	1
cinnamon	1
fried chicken	1
liqueur	1
greek salad	1
apple juice	1
tabasco	1
chocolate	1
spicy sweet	1
flan	1
starter	1
shoot	1
garlic chicken	1
chardonnay	1
saddle	1
pickle	1
monterey jack	1
strawberry daiquiri	1
honey	1
carrot	1
blueberry martini	1
beef stew	1
collard green	1
delicacy	1
salsa	1
chicken rice	1
corn dog	1
banana fritter	1
watermelon	1
brain	1
jimmy	1
dough	1
cole	1
walnut	1
savory	1
tonic	1
chicken skewer	1
sweetener	1
ratatouille	1
cider	1
mung bean	1
potato salad	1
whip	1
kiwi fruit	1
condensed milk	1
diesel	1
cheese crisp	1
aioli	1
tomato juice	1
pancake	1
cucumber salad	1
vanilla ice cream	1
tilapia	1
tamarind	1
guinness	1
reuben	1
scallion	1
chicken tempura	1
syrup	1
nut	1
liquid diet	1
red onion salad	1
seared salmon	1
seaweed salad	1
slaw	1
ginger	1
pastry	1
pork belly	1
red pepper	1
puree	1
cheesecake	1
fortune cookie	1
gyro	1
bell pepper	1
egg roll	1
snack	1
hash brown	1
bourbon	1
pumpkin	1
chicken curry	1
starch	1
dope	1
batter	1
albacore	1
flour tortilla	1
pretzel	1
dipping sauce	1
chicken wing	1
green salad	1
champagne	1
cantaloupe	1
concentrate	1
potluck	1
pepsi	1
ham	1
orange juice	1
jelly	1
tater	1
rose	1
sushi rice	1
chicken leg	1
clam chowder	1
medallion	1
mushroom	1
liver	1
chile	1
spirit	1
sesame	1
hot sauce	1
stuffing	1
pasta sauce	1
chicken caesar salad	1
rice vinegar	1
buffalo wing	1
concoction	1
crabcakes	1
short rib	1
snail	1
riesling	1
taro	1
butter	1
noodle	1
spicy salad	1
guacamole	1
cilantro	1
corn chip	1
cherry	1
roast beef	1
soba noodle	1
dripping	1
doughnut	1
fish chip	1
teriyaki sauce	1
caesar salad	1
lager	1
coconut milk	1
bubble gum	1
meatloaf	1
root beer	1
beef stroganoff	1
pea	1
pepper	1
crouton	1
rum	1
tortilla	1
pale ale	1
strong drink	1
fruit juice	1
cheese sauce	1
monggo	1
curry	1
vegetable dumpling	1
sugar candy	1
blue cheese	1
bubble	1
sea bass	1
king crab	1
bun	1
frozen mango	1
tripe	1
fortune cooky	1
aioli sauce	1
mash	1
graham	1
cream	1
mayonnaise	1
fodder	1
diet	1
ramen noodle	1
jacket	1
chicken breast	1
