food	count
sushi	166
soup	141
spicy	114
meat	113
side dish	111
rice	106
tofu	103
beef	96
roll	81
chicken	68
pork	51
salad	50
veggie	50
sauce	49
noodle	44
seafood	42
water	40
tea	33
beer	31
vegetable	31
egg	30
fish	29
miso	29
rib	28
shrimp	28
bap	23
teriyaki	23
cabbage	21
seaweed	20
short rib	19
cucumber	18
macaroni salad	18
bean sprout	17
tempura	17
seafood pancake	17
salmon	17
sushi roll	17
crab	16
fruit	16
tuna	16
dumpling	15
spice	15
lettuce	14
pancake	13
filling	13
squid	13
dessert	12
radish	12
soda	12
stew	12
sashimi	11
apple	11
sake	11
stick	11
cake	11
ice cream	11
takeout	10
gyoza	10
bbq chicken	9
green tea	9
white rice	9
broth	9
ice	9
leftover	9
soy sauce	9
fried rice	8
fish cake	8
avocado	8
fast food	8
pork belly	8
bean	8
broccoli	8
mayo	8
milk	7
seaweed salad	7
frozen yogurt	7
mushroom	7
garlic	7
green onion	7
wrap	7
potato	7
barbecue	6
dressing	6
seasoning	6
vinegar	6
heart	6
sandwich	6
octopus	6
mango	6
spicy chicken	6
potato salad	6
sweet potato	6
sesame oil	6
gem	6
barbeque	6
hot sauce	6
onion	6
jalapeno	6
condiment	6
difference	5
marinade	5
chili sauce	5
cinnamon	5
edible	5
honey	5
sprout	5
iced tea	5
soy	5
barley	5
spinach	5
salt	5
steak	5
yogurt	5
eggplant	5
split	5
coke	5
strawberry	5
topped	5
nori	4
round	4
mussel	4
creamy	4
sour	4
dried seaweed	4
wine	4
orange	4
scallion	4
coconut	4
ginger	4
buffet	4
liquor	4
fried egg	4
chili	4
sesame	4
steamed	4
board	4
anchovy	4
clam	4
pepper	4
diet	4
rice dish	3
skin	3
egg top	3
gum	3
burger	3
albacore	3
pickle	3
spicy beef	3
carrot	3
dark meat	3
noodle soup	3
taco	3
tongue	3
feast	3
apple salad	3
alcohol	3
soft drink	3
tempura vegetable	3
red pepper	3
zucchini	3
topping	3
egg roll	3
sugar	3
rice soup	3
batter	3
lettuce wrap	3
instant	3
scallop	3
savory	3
puree	3
teriyaki beef	3
corn	3
sesame seed	3
bubble	3
rice noodle	3
steamed rice	3
stir fried	3
spicy sauce	3
mayonnaise	3
noodle salad	3
chicken breast	3
mackerel	2
casserole	2
spicy noodle	2
asparagus	2
fried dumpling	2
comfort food	2
leg	2
punch	2
spiced	2
short rib beef	2
saki	2
brown rice	2
chocolate	2
starter	2
goody	2
pizza	2
black pepper	2
rice salad	2
tonic	2
sweet sour pork	2
flour	2
stock	2
mate	2
dipping sauce	2
chilly	2
brisket	2
ground beef	2
green bean	2
banana	2
salad dressing	2
pineapple	2
soul food	2
snack	2
brain	2
bay	2
raw meat	2
glaze	2
puff	2
swallow	2
jerky	2
white meat	2
cream cheese	2
quail egg	2
beef tongue	2
crab salad	2
macaroni	2
oil	2
supper	2
taro	2
butter	2
beef broth	2
roasted	2
cut meat	2
teriyaki sauce	2
flavoring	2
cooler	2
buckwheat noodle	2
candy	2
eel	2
fruit juice	2
chow	2
spam	2
gin	2
mango smoothie	2
black bean sauce	2
cream	2
lemon	2
hot pot	2
daikon	2
beverage	2
red snapper	2
tuna fish	1
roe	1
bomber	1
cuke	1
pad thai	1
pineapple juice	1
melon	1
garlic clove	1
chicken noodle soup	1
lemon sauce	1
dodger	1
dip	1
bock	1
bacon	1
spaghetti	1
gnocchi	1
chili powder	1
snapper	1
cabbage salad	1
chow mein	1
onion salad	1
soybean	1
lime	1
spinach salad	1
garnish	1
apple juice	1
baba	1
mush	1
strawberry sauce	1
olive	1
shoot	1
garlic chicken	1
spicy rice	1
tapioca	1
meatball	1
smelt	1
red pepper sauce	1
thousand island dressing	1
hamburger	1
chip	1
lamb	1
vegetable soup	1
lobster roll	1
pickled cabbage	1
sprinkle	1
cocktail	1
blood	1
dove	1
mustard sauce	1
beef stock	1
feed	1
thigh	1
shake	1
potato bean	1
dab	1
wasabi	1
weenie	1
bread	1
frittata	1
mung bean	1
fish filet	1
whip	1
garlic bean	1
cookie	1
passionfruit	1
sticky rice	1
draft beer	1
chicken tempura	1
draft	1
syrup	1
fresh food	1
kiwi	1
cereal	1
hazelnut	1
crispy chicken	1
spiced potato	1
soy vinaigrette	1
iceberg	1
coleslaw	1
saute	1
beef jerky	1
junk food	1
red meat	1
canned food	1
spring roll	1
hard liquor	1
surf	1
scrambled egg	1
cheesecake	1
romaine	1
oyster	1
hot dog	1
gyro	1
fish roe	1
booze	1
sour sauce	1
calamari	1
tempura green	1
cheeseburger	1
fresh fruit salad	1
starch	1
caramel	1
bean curd	1
mixed drink	1
picnic	1
grilled chicken	1
mashed potato	1
icecream	1
chili pepper	1
lemon wedge	1
concentrate	1
coffee	1
orange juice	1
tuck	1
berry	1
rose	1
pita	1
ice water	1
pickled cucumber	1
strip steak	1
frozen food	1
slaw	1
seasoned salt	1
arrowroot	1
chile	1
fruit cocktail	1
cracker	1
frappe	1
soda water	1
stuffing	1
pork dumpling	1
fresh tuna	1
buckwheat pasta	1
old fashioned	1
concoction	1
waldorf salad	1
pasta salad	1
vinaigrette	1
sweet corn	1
tea bag	1
fish ball	1
hotpot	1
persimmon	1
soba noodle	1
sesame noodle	1
alcoholic beverage	1
hot pepper	1
avocado salad	1
onion ring	1
shoulder	1
leek	1
lager	1
birthday cake	1
yolk	1
lobster	1
pasta	1
choc	1
black bean	1
smoked fish	1
curry	1
bay scallop	1
vegetable dumpling	1
tenderloin	1
honey crisp	1
bubbly	1
wad	1
steak tartare	1
fruit vegetable	1
cut beef	1
bbq sauce	1
crab leg	1
gin tonic	1
drinkable	1
mold	1
peach	1
fixing	1
tart	1
mustard	1
exotic fruit	1
pear	1
grilled mackerel	1
ramen noodle	1
cuttlefish	1
wonton	1
wafer	1
boiled egg	1
