food	count
chicken	39
veggie	37
fresh mint	36
soy	33
roll	30
meat	26
sauce	26
tofu	24
salad	24
spicy	18
beef	16
pad thai	13
dessert	13
curry	13
brown rice	13
vegetable	13
peanut	11
rice	11
lemongrass	11
soup	10
steamed	8
iced tea	8
ginger	8
noodle	8
kosher	7
eggplant	7
filling	6
tea	5
lemonade	5
fast food	5
water	5
spice	5
broth	5
mint	5
coconut milk	5
cucumber	5
sour soup	4
spring roll	4
dressing	4
citrus	4
mint lemonade	4
gluten	4
carrot	4
vegetable soup	4
egg roll	3
difference	3
fish	3
sandwich	3
tapioca	3
fried rice	3
green salad	3
stuffed tomato	3
basil	3
hot pot	3
cake	3
rib	3
mango	3
split	3
cabbage	3
potato	3
spare rib	3
stick	3
chicken curry	2
ginger sauce	2
chocolate cake	2
onion	2
vegetable curry	2
bay	2
dipping sauce	2
rice noodle	2
burger	2
papaya salad	2
herb	2
egg noodle	2
shrimp	2
garlic	2
apple	2
white rice	2
green papaya salad	2
chili	2
kabob	2
sour	2
stir fried	2
fish sauce	2
twist	2
takeout	2
pizza	2
diet	2
fruit	2
broccoli	2
tomato	2
green onion	2
bell pepper	1
morsel	1
cole	1
walnut	1
celery	1
savory	1
teriyaki	1
coffee	1
cut meat	1
molasses	1
braised	1
provision	1
bread	1
zucchini	1
vegetable crisp	1
dip	1
seaweed	1
pork	1
olive	1
noodle stir fry	1
condensed milk	1
black pepper steak	1
pepper steak	1
champagne	1
carrot cake	1
hotpot	1
cantaloupe	1
punch	1
sesame seed	1
matzah ball	1
potion	1
pasta	1
leftover	1
frosting	1
cucumber salad	1
instant	1
pudding	1
cranberry	1
kebab	1
ice water	1
lettuce	1
ice tea	1
sugar	1
lime	1
beer	1
radish	1
blue cheese	1
citrus dressing	1
garlic sauce	1
garnish	1
banana	1
beverage	1
mushroom	1
vermicelli	1
squash	1
sea bass	1
thai green curry	1
chile	1
spicy sweet	1
shoot	1
sesame	1
filet mignon	1
curry sauce	1
sweet potato	1
vegetable sauce	1
pickle	1
corned beef	1
five spice	1
heart	1
stuffing	1
slaw	1
sushi	1
coconut	1
lemon	1
rye	1
oil	1
mustard	1
cheesecake	1
rice salad	1
soy sauce	1
tamarind sauce	1
vinaigrette	1
