food	count
wine	57
dessert	41
salad	36
meat	30
fish	26
foie gras	26
soup	22
sauce	22
duck	21
cheese	19
bread	17
frog leg	16
sandwich	16
bacon	14
sweetbread	14
chocolate	13
pastis	13
tuna	13
potato	13
tomato	12
beef	12
cocktail	11
shrimp	11
lamb	10
crepe	10
spun sugar	10
broth	10
venison	10
wild boar	9
water	8
braised	8
lollipop	8
goat cheese	8
mushroom	8
pate	7
short rib	7
lettuce	7
quail	7
veal	7
endive	7
strawberry	7
popcorn	6
honey	6
savory	6
veggie	6
seafood	6
turkey	6
vegetable	6
fruit	6
blood orange	6
sorbet	6
pepper	6
caviar	6
lemon	6
pork	5
burger	5
sausage	5
creamy	5
octopus	5
avocado	5
pork belly	5
bok choy	5
oyster	5
chicken	5
sugar	5
steak	5
sushi	5
paring	5
scallop	5
duck confit	5
beet	5
hummus	5
oil	5
vinaigrette	5
soy	5
mustard	5
pear	5
skin	4
sashimi	4
asparagus	4
prosciutto	4
leg	4
mozzarella	4
garnish	4
halibut	4
mousse	4
white chocolate	4
monkfish	4
aioli	4
cookie	4
shallot	4
polenta	4
berry	4
eggplant	4
beer	4
liver	4
chile	4
duck breast	4
puree	4
pea	4
pasta	4
raspberry	4
blue cheese	4
spicy	4
spice	4
grape	3
peanut	3
dressing	3
difference	3
seasoning	3
white wine	3
basil pesto	3
lychee	3
chive oil	3
crab	3
blueberry	3
stick	3
olive	3
edible	3
chocolate sauce	3
carrot	3
mustard sauce	3
fig	3
filling	3
white fish	3
spinach	3
sweet potato	3
ginger	3
mint	3
salt	3
pastrami	3
bean	3
watermelon	3
jelly	3
buttermilk panna cotta	3
chorizo	3
olive oil	3
dietary	3
balsamic	3
orange	3
coulis	3
chili	3
cucumber	3
smoked	3
braised short rib	3
persimmon	3
onion	3
creme brulee	3
quail stuffed	3
curry	3
custard	3
panna cotta	3
parmesan	3
cream	3
topped	3
truffle oil	3
beverage	3
goat cheese salad	3
skate	2
melon	2
chocolate cake	2
tea	2
lavender	2
gnocchi	2
fava bean	2
cinnamon	2
mussel	2
apple	2
radish	2
garlic	2
pecan	2
flan	2
french fry	2
heart	2
duck fat	2
pork tenderloin	2
cabbage	2
poached	2
martini	2
pumpkin soup	2
iced tea	2
artichoke	2
brittle	2
chocolate ganache	2
coffee	2
citrus	2
thyme	2
haricot vert	2
prawn	2
wrap	2
ice cream	2
alcohol	2
bass	2
smoked paprika	2
pudding	2
banana	2
hazelnut	2
bitter	2
coconut	2
coleslaw	2
slaw	2
red meat	2
cava	2
consomme	2
cheesecake	2
watercress	2
crackling	2
gem	2
oyster mushroom	2
raw meat	2
glaze	2
champagne	2
feta cheese	2
grain	2
rose	2
medallion	2
boar	2
buttermilk	2
squash	2
clarified butter	2
candy bar	2
papaya	2
butter	2
noodle	2
grouper	2
huckleberry	2
cherry	2
mayo	2
haute cuisine	2
pistachio cheesecake	2
clam	2
meringue	2
lard	2
fennel soup	2
chive	2
lemon cake	2
twist	2
mole	2
leek	2
grilled bread	2
mint salad	1
red cabbage	1
morel	1
passion fruit	1
pine nut	1
ginger ale	1
ginger sauce	1
offal	1
wasabi sauce	1
sparkling wine	1
broiler	1
pecorino	1
muscat	1
dried plum	1
biscotti	1
round	1
goose liver	1
lamb loin	1
dainty	1
marinade	1
belgian endive	1
sea salt	1
albacore	1
carbonara	1
lolly	1
caper	1
roasted garlic	1
white sauce	1
pancake	1
salami	1
spiced	1
snow pea	1
balsamic vinegar	1
hamburger	1
ginger cake	1
lime	1
rutabaga	1
sake	1
american cheese	1
lamb tongue	1
poached egg yolk	1
rabbit	1
eatable	1
starter	1
shoot	1
blade	1
tapioca	1
sour	1
potato chip	1
egg yolk	1
chayote	1
chip	1
pone	1
ostrich	1
white chocolate mousse	1
rhubarb	1
dark meat	1
confit	1
carrot soup	1
roasted tomato	1
vegetable stock	1
candy cane	1
delicacy	1
sponge cake	1
gelatin	1
black pepper	1
soft cheese	1
salsa	1
salad green	1
mint oil	1
mango	1
graham cracker	1
popsicle	1
beef sausage	1
sprout	1
dough	1
blue crab	1
brie	1
pt	1
lima bean	1
roasted venison	1
lamb chop	1
ricotta	1
pesto	1
flour	1
wasabi	1
spelt	1
delicatessen	1
risotto	1
littleneck clam	1
legume	1
roast	1
milk chocolate	1
cucumber salsa	1
waffle	1
turnip	1
scratching	1
lentil	1
life saver	1
summer squash	1
swiss cheese	1
quince	1
carrot cake	1
creamy leek	1
compote	1
cheese soup	1
corn	1
macadamia nut	1
shiso	1
bird	1
soda	1
turf	1
charcuterie	1
peanut brittle	1
honey sauce	1
balsamic reduction	1
manhattan	1
timothy	1
licorice	1
ground beef	1
green bean	1
syrup	1
kiwi	1
almond	1
spicy tomato	1
cereal	1
vodka martini	1
pappardelle pasta	1
filet mignon	1
seared scallop	1
pastry	1
mascarpone tart	1
zucchini	1
surf	1
coconut milk	1
flank steak	1
chocolate bar	1
italian sausage	1
vichyssoise	1
potato soup	1
salad dressed	1
spare rib	1
roasted red pepper	1
green tea	1
sesame oil	1
fennel	1
toast	1
salsify	1
celery	1
jam	1
pumpkin	1
cucumber soup	1
starch	1
banquet	1
string bean	1
cumin	1
mixed berry	1
bay	1
sunchoke	1
bleu	1
nut	1
lemonade	1
terrine	1
gouda	1
refresher	1
honeydew melon	1
quince jam	1
sour cherry	1
sausage stuffing	1
key lime pie	1
preserve	1
cantaloupe	1
biscuit	1
swallow	1
patty	1
ice water	1
chicken broth	1
shortbread cookie	1
butternut squash soup	1
shortening	1
basil	1
ravioli	1
red wine reduction	1
mustard green	1
toasted coconut	1
spirit	1
lemon drop	1
cracker	1
sesame	1
rhubarb sauce	1
dill sauce	1
scrapple	1
basmati rice	1
smorgasbord	1
port wine	1
berry coulis	1
squid	1
chanterelle	1
feed	1
soba noodle	1
chicken caesar salad	1
tartlet	1
maki roll	1
braised pork cheek	1
fried bread	1
split	1
pommes anna	1
cod	1
chilled soup	1
snail	1
ricotta cheese	1
pomegranate	1
caponata	1
pickled red onion	1
broccoli	1
roulade	1
pumpkin seed	1
green onion	1
puff pastry	1
saffron	1
roasted	1
english mustard	1
topping	1
cilantro	1
celery root	1
cognac	1
board	1
fennel sauce	1
grit	1
alcoholic beverage	1
tomato salad	1
roll	1
blackberry	1
nosh	1
clementine	1
pickled onion	1
gravy	1
sweet potato soup	1
escargot	1
dessert wine	1
preserved lemon	1
twinkie	1
baklava	1
porter	1
wine sauce	1
sesame seed	1
tortilla	1
stew	1
leftover	1
shaved fennel	1
duck leg confit	1
bing cherry	1
plum	1
pistachio	1
cranberry	1
gingerbread	1
citron	1
rye bread	1
tofu	1
tenderloin	1
gastronomy	1
loin	1
tortilla chip	1
tuna salad	1
parsnip	1
caramel sauce	1
bubble	1
blackberry sauce	1
gluten	1
filet	1
strawberry sorbet	1
sea bass	1
salad dressing	1
jus	1
bun	1
baby spinach	1
jonathan	1
mustard vinaigrette	1
apricot	1
peppermint	1
paprika	1
carpaccio	1
cake	1
sirloin	1
homemade custard	1
soy sauce	1
miso	1
dulce de leche	1
smoked almond	1
canned meat	1
tart	1
diet	1
ramen noodle	1
cabernet	1
sardine	1
fruit salad	1
daikon	1
mash	1
sweet cocktail	1
chicken cordon bleu	1
