food	count
sauce	208
meat	173
veggie	151
noodle	99
soup	55
vegetable	52
rice	50
chicken	47
buffet	37
beef	35
spice	33
leftover	25
seasoning	24
frozen yogurt	21
tofu	21
brown rice	21
ice cream	20
water	20
shrimp	20
pork	18
spicy	18
oil	18
dessert	17
steak	17
scallop	16
egg	16
board	14
rice soup	14
onion	14
fish	14
rice noodle	14
fried rice	14
chip	14
concoction	14
garlic	14
broccoli	14
seafood	14
raw meat	13
fast food	13
wheat	13
corn	13
carrot	13
wonton	13
filling	12
soda	12
chili	11
peanut	10
starch	10
topping	10
pineapple	10
calamari	9
cilantro	9
water chestnut	9
turkey	9
beer	9
mushroom	9
stick	9
salad	9
sugar	8
tortilla	8
curry	8
sake	8
sour	8
tomato	8
spinach	7
bell pepper	6
sour sauce	6
won ton	6
iced tea	6
pepper	6
condiment	6
soy	6
white rice	6
ginger	6
jalapeno	5
sesame seed	5
pasta	5
chili sauce	5
teriyaki	5
steamed rice	5
vegetable sauce	5
heart	5
honey	5
mimosa	5
bean sprout	4
sprout	4
celery	4
vanilla	4
flavoring	4
round	4
bamboo shoot	4
mustard	4
yogurt	4
draft	4
chocolate	4
hot sauce	4
cod	4
blood	4
cabbage	4
potato	4
beverage	4
green onion	4
sesame oil	3
sour cream	3
bomber	3
snack	3
orange	3
chipotle	3
citrus	3
difference	3
alcohol	3
leg	3
takeout	3
chow	3
feed	3
cheese	3
pepperoni	3
nut	3
coke	3
squash	3
stir fried	3
juice	3
spicy sauce	3
sausage	3
wine	3
steamed	2
skin	2
barbecue	2
stuffing	2
soba noodle	2
watermelon	2
dip	2
tea	2
lemonade	2
burger	2
soft drink	2
variety meat	2
white fish	2
barbeque	2
diet	2
fried egg	2
ham	2
mush	2
black bean	2
snow pea	2
zucchini	2
fresh food	2
cocktail	2
green bean	2
crab	2
garlic sauce	2
gluten	2
wonton soup	2
twist	2
edible	2
sesame	2
vodka	2
spicy beef	2
sushi	2
egg noodle	2
dark meat	2
savory	2
fried noodle	2
vegetable soup	2
bok choy	2
soy sauce	2
fruit	2
mash	2
bay scallop	1
red pepper	1
noodle stir fry	1
hot pot	1
sour soup	1
soldier	1
pineapple juice	1
noodle soup	1
cayenne	1
hay	1
jam	1
dressing	1
mayo	1
lard	1
alcoholic beverage	1
hot pepper	1
poultry	1
gem	1
margarita	1
beansprouts	1
feast	1
plum sauce	1
dietary	1
beef soup	1
butter	1
champ	1
grub	1
squid	1
spicy peanut sauce	1
black pepper	1
sandwich	1
dog food	1
mutton	1
strawberry	1
white meat	1
ice	1
sparkle	1
sundae	1
champagne	1
mandarin orange	1
herb	1
punch	1
pancake	1
side meat	1
bronze	1
rib	1
vinegar	1
orange sauce	1
chicken soup	1
spiced	1
orange soda	1
grain	1
tongue	1
marshmallow fluff	1
fried chicken	1
shake	1
bread	1
wrap	1
pizza	1
ice tea	1
dumpling	1
scallion	1
tuna	1
saki	1
ground beef	1
special fried rice	1
stock	1
garnish	1
ketchup	1
nutrition	1
balanced diet	1
sprinkle	1
marinara	1
brain	1
cereal	1
olive	1
cut beef	1
bouillon	1
bloody mary	1
pasta sauce	1
frozen dessert	1
slop	1
hamburger	1
cooking oil	1
fowl	1
dripping	1
lemon juice	1
cut meat	1
bee knee	1
red meat	1
lunch meat	1
lamb	1
fish sauce	1
lemon	1
topped	1
macaroni	1
syrup	1
cumin	1
goober	1
cheesecake	1
pork sausage	1
crispy noodle	1
bbq sauce	1
salt	1
lime chicken	1
booze	1
pocket bread	1
