food	count
buffet	210
chicken	187
naan	159
spicy	77
rice	71
curry	70
spice	65
garlic	64
paneer	58
sauce	55
meat	52
tandoori chicken	50
lamb	46
water	39
dessert	36
samosa	36
bread	33
vegetable	30
veggie	28
goat	25
basmati rice	23
onion	23
chicken curry	21
yogurt	21
naan bread	20
beef	20
rice pudding	19
salad	18
potato	18
chutney	17
mango lassi	16
tea	15
spiced	15
beer	15
pea	15
vegetable korma	14
nan	14
creamy	13
pakora	12
tomato	12
mango	12
malai kofta	12
kabob	12
leftover	12
carrot	11
biryani	11
spinach	11
cauliflower	11
shrimp	11
lentil	10
mint	10
eggplant	10
raita	10
stick	9
kheer	9
salt	9
soup	8
filling	8
cheese	8
ginger	8
chicken korma	8
lamb vindaloo	7
chicken biryani	7
lamb curry	7
alcohol	7
tamarind	7
cilantro	7
difference	6
heart	6
fish	6
takeout	6
wine	6
gem	6
halal	6
vegetable pakoras	6
kebab	6
vegetable curry	5
fritter	5
soda	5
butter	5
hummus	5
oil	5
okra	5
ice	5
vegetable samosa	5
cream	5
milk	4
dumpling	4
starter	4
dip	4
fast food	4
sour	4
iced tea	4
chickpea	4
pizza	4
side dish	4
jasmine rice	4
pudding	4
feed	4
gravy	4
pita	4
chili	4
split	4
cucumber	4
flatbread	4
wrap	4
marsala	4
coke	4
seasoning	3
almond	3
leg	3
herb	3
yoghurt	3
donut	3
butter chicken	3
dark meat	3
puri	3
cardamom	3
raisin	3
solid food	3
seafood	3
tamarind sauce	3
banquet	3
white meat	3
cracker	3
topped	3
roti	3
topping	3
pistachio	3
sop	3
condiment	3
sambar	3
lemon	3
roll	3
diet	3
beverage	3
chicken breast	3
rice dish	2
round	2
dahl	2
puris	2
vinegar	2
cinnamon	2
lime	2
olive	2
edible	2
spicy rice	2
meatball	2
pickle	2
honey	2
taco	2
cabbage	2
dough	2
shake	2
savory	2
chickpea salad	2
garam masala	2
fried rice	2
relish	2
ice tea	2
ground beef	2
coconut	2
beef jerky	2
spiced lentil	2
bell pepper	2
comfort food	2
watermelon	2
bay	2
madras	2
cheese ball	2
puff	2
mushroom	2
orange	2
stuffing	2
concoction	2
lager beer	2
roasted	2
cut meat	2
ghee	2
food coloring	2
pickled onion	2
grub	2
jalapeno	2
baklava	2
wheat	2
stew	2
cheese sauce	2
custard	2
bubbly	2
cream sauce	2
garbanzo	2
gin tonic	2
cashew	2
whip	2
vegetable biryani	2
tomato soup	2
pilaf	2
ale	1
skate	1
barbecue	1
poori	1
mate	1
dressing	1
chop suey	1
black olive	1
broiler	1
orange sauce	1
milk shake	1
pork	1
burger	1
spaghetti	1
espresso	1
bird	1
chicken leg	1
tomato paste	1
beef meatball	1
french fry	1
vegetable oil	1
apple	1
fried chicken	1
pistachio ice cream	1
crab	1
baba	1
cream soda	1
casserole	1
chardonnay	1
green pea	1
bloody mary	1
chip	1
bhaji	1
vegetable soup	1
merlot	1
sprinkle	1
elizabeth	1
cocktail	1
delicacy	1
sponge cake	1
black pepper	1
blood	1
dove	1
creamed spinach	1
bean stew	1
batter	1
egg	1
turnover	1
thigh	1
cole	1
cupcake	1
green chutney	1
spelt	1
feast	1
meatball curry	1
roast	1
light cream	1
lentil soup	1
prawn	1
fennel seed	1
scratching	1
ice cream	1
variety meat	1
heavy cream	1
bass	1
tempura	1
cucumber salad	1
steak	1
rack	1
chilly	1
fry bread	1
unleavened bread	1
lettuce	1
tzatziki	1
congo	1
indian rice	1
chicken rice	1
syrup	1
banana	1
green sauce	1
western	1
spiced potato	1
decaf	1
soft drink	1
fresh herb	1
slaw	1
fruit custard	1
lemon juice	1
seed	1
pastry	1
clove	1
red pepper	1
rasmalai	1
bottled water	1
zucchini	1
gyro	1
grilled bread	1
egg roll	1
snack	1
shellfish	1
fried potato	1
bean	1
spanish rice	1
pretzel	1
paella	1
dipping sauce	1
grilled chicken	1
nut	1
lemonade	1
mashed potato	1
mutton	1
mouthful	1
carrot pudding	1
cake	1
fried egg	1
bronze	1
onion bhajis	1
little gem	1
instant	1
brat	1
kosher	1
grain	1
cherry	1
jello	1
olive oil	1
ice water	1
coriander spice	1
dietary	1
parsley	1
fish curry	1
mulligatawny	1
white rice	1
ravioli	1
cream cheese	1
chile	1
capsicum	1
vanilla	1
sesame	1
indian cheese	1
sushi	1
rib	1
jerry	1
fried bread	1
fenugreek	1
fruit	1
poultry	1
noodle	1
wheat flour	1
steamed	1
dosa	1
morsel	1
cottage cheese	1
alcoholic beverage	1
semolina	1
shoulder	1
flavoring	1
candy	1
water ice	1
meatloaf	1
legume	1
zest	1
mango chutney	1
strong drink	1
goody	1
canola oil	1
chow	1
tongue	1
lager	1
vegetable dumpling	1
spam	1
mango pickle	1
parsnip	1
drumstick	1
indian meal	1
gluten	1
shank	1
salad dressing	1
chickpea soup	1
mom meatloaf	1
twist	1
spicy sauce	1
saffron	1
tomato sauce	1
yellow lentil	1
cornish pasty	1
mint sauce	1
cabernet	1
wonton	1
mash	1
carrot halwa	1
