food	count
rice	42
kabob	42
chicken	36
pita	29
meat	28
hummus	24
ice cream	22
salad	18
basmati rice	16
bread	14
dessert	13
stew	12
lamb	12
beef	11
onion	10
kebab	10
veggie	10
spice	10
saffron	10
water	9
eggplant	9
filet	9
filet mignon	8
vegetable	8
tea	7
gyro	7
rose	6
dip	6
spiced	6
ground beef	6
hen	6
pistachio	6
tomato	6
wine	6
lamb shank	5
yogurt	5
herb	5
leftover	5
baba	5
topped	4
sauce	4
steak	4
falafel	4
cucumber	4
creamy	4
beer	4
starter	4
raisin	4
grilled tomato	4
sandwich	4
herb stew	3
walnut	3
savory	3
bean	3
side dish	3
soda	3
lime	3
spinach	3
stick	3
shoot	3
honey	3
feta	3
cheesecake	3
garlic	3
white rice	3
feed	2
tabbouleh	2
lima bean	2
dressing	2
rosewater	2
grilled vegetable	2
asparagus	2
round	2
spicy chicken	2
burger	2
currant	2
baklava	2
carrot cake	2
feta cheese	2
vanilla ice cream	2
takeout	2
olive oil	2
cheese	2
tofu	2
humus	2
greek salad	2
white meat	2
spicy	2
gluten	2
cake	2
potato chip	2
fresh herb	2
chip	2
sushi	2
lemon juice	2
rice salad	2
stuffed grape leaf	2
nan	2
split	2
mayonnaise	2
pizza	2
topping	2
pomegranate	2
salmon	2
potato	2
sumac	2
salt	2
grilled salmon	1
rice dish	1
green tea	1
iced tea	1
foodstuff	1
dough	1
roasted	1
almond	1
grape	1
roasted vegetable	1
fig	1
seasoning	1
biryani	1
coffee	1
kidney bean	1
citrus	1
alcoholic beverage	1
red wine	1
home brew	1
walnut sauce	1
maple syrup	1
roll	1
bay	1
caesar salad	1
lentil soup	1
picnic	1
lamb kebab	1
vegetable stew	1
naan	1
lemonade	1
potato salad	1
fast food	1
onion butter	1
alcohol	1
ice	1
barley	1
tabooli	1
wheat	1
curry	1
rum	1
punch	1
black tea	1
cookie	1
frosting	1
rice pudding	1
meatball	1
dill weed	1
fattoush	1
little gem	1
mint salad	1
split pea	1
shrimp	1
grain	1
berry	1
brown lentil	1
tuxedo	1
soy	1
souvlaki	1
wrap	1
sugar	1
pistachio ice cream	1
turkey	1
tart	1
dark chocolate	1
parsley	1
scallion	1
health food	1
pinot noir	1
shallot	1
coke	1
chocolate	1
creme caramel	1
chili	1
side order	1
twist	1
cream cheese frosting	1
vanilla	1
soup	1
bean soup	1
lobster	1
grass	1
pickle	1
vidalia onion	1
pastry	1
dill	1
sirloin	1
pie	1
ginger	1
lamb tongue	1
chocolate cheesecake	1
mint	1
toasted almond	1
beef stew	1
cream	1
lemon	1
peach	1
mango	1
parsley salad	1
manhattan	1
fruit	1
salsa	1
tuna	1
chicken rice	1
pumpkin pie	1
shish kebab	1
wafer	1
seafood	1
chicken stew	1
bean stew	1
mast	1
grilled chicken	1
tahini	1
chicken breast	1
pilaf	1
martini	1
