food	count
chicken	15
corn	15
beef	13
rice	12
lomo saltado	11
steak	9
ceviche	9
cilantro	8
sauce	8
potato	8
meat	6
onion	6
fish	6
spice	6
seafood	6
heart	5
tomato	5
plantain	4
shrimp	4
french fry	4
spicy	4
sandwich	4
egg	4
cola	3
arroz con pollo	3
bread	3
dipping sauce	3
seasoning	3
fried banana	3
fried egg	3
green sauce	3
flan	3
salsa	3
dessert	2
bean	2
round	2
water	2
raisin	2
cheese sauce	2
popcorn	2
octopus	2
red onion	2
veggie	2
chicken sandwich	2
nut	2
fried plantain	2
soup	2
home fry	2
spiced	2
squid	2
juice	2
soy sauce	2
topped	2
salt	2
mash	2
chowder	1
chile	1
chicken thigh	1
sprout	1
skin	1
cut meat	1
sugar	1
tap water	1
orange	1
fried potato	1
icing	1
rice soup	1
gem	1
roasted	1
cider	1
pea	1
filling	1
lamb shank	1
pork	1
liquor	1
lemonade	1
gravy	1
bubble gum	1
mashed potato	1
sliced steak	1
chicken salad	1
fried rice	1
bird	1
steamed fish	1
pepper	1
punch	1
concentrate	1
medallion	1
frosting	1
passionfruit	1
little gem	1
mustard dressing	1
grain	1
cinnamon	1
soda	1
feed	1
cheese	1
apple	1
tofu	1
lettuce	1
fresh food	1
lime	1
creamy	1
ground beef	1
tres lech cake	1
beer	1
drumstick	1
boiled potato	1
jus	1
stick	1
seed	1
salad	1
white rice	1
corn tortilla	1
carrot	1
cake	1
vodka	1
sirloin	1
chip	1
pie	1
clove	1
taro	1
fixing	1
vegetable	1
mayonnaise	1
hollandaise	1
roll	1
tamale	1
sprinkle	1
mustard	1
buffet	1
fruit	1
cucumber	1
chicken rice	1
chimichurri sauce	1
boiled egg	1
beverage	1
