food	count
steak	39
bread	16
dessert	13
filet	13
salad	10
cocktail	10
water	9
cake	9
potato	8
sauce	7
side dish	7
corn	7
lobster	7
butter	7
wine	7
meat	6
gnocchi	6
spinach	6
filet mignon	6
split	6
gratin	5
asparagus	5
shrimp	5
rib	5
calamari	4
onion	4
mashed potato	4
garlic	4
stick	4
broccoli	4
seafood	4
veal	4
salt	4
focaccia	3
dipping sauce	3
fish	3
fillet	3
champagne	3
veal chop	3
spinach salad	3
sea bass	3
chocolate	3
meatball	3
dripping	3
salmon	3
oyster	3
creamed spinach	3
chicken	2
horseradish	2
dressing	2
coffee	2
whipped cream	2
fig bread	2
caesar salad	2
vanilla	2
bacon	2
truffle	2
trout	2
veggie	2
crab	2
bitter	2
mushroom	2
cocktail sauce	2
spice	2
crumb	2
shrimp cocktail	2
tater	2
banana foster	2
red carpet	2
crab cake	2
shoestring fry	2
creme brulee	2
martini	2
steamed	1
burrata	1
sour cream	1
dough	1
artichoke	1
sweet corn	1
stone crab	1
difference	1
gouda cheese	1
cut meat	1
flourless chocolate cake	1
chipotle	1
steamed mussel	1
anchovy	1
starch	1
mayo	1
crispy onion	1
chocolate cake	1
gem	1
crostini	1
mojito	1
crusty bread	1
filling	1
caramel	1
roast	1
raw meat	1
mixed drink	1
seasoning	1
pretzel	1
roast pepper	1
sliced steak	1
blue point	1
beef carpaccio	1
tiramisu	1
tap water	1
cheese bread	1
pepper	1
bass	1
cauliflower	1
rum	1
mac cheese	1
new york strip	1
pasta	1
grand marnier	1
instant	1
strong drink	1
cob	1
lasagna	1
chive	1
mussel	1
cheese	1
clarified butter	1
radish	1
lettuce	1
bacon dressing	1
brown sugar	1
leftover	1
custard	1
sake	1
creamy	1
jam	1
dungeness crab	1
banana	1
spicy	1
cream sauce	1
marinara	1
side order	1
starter	1
edible	1
breadstick	1
vodka sauce	1
malt	1
onion bread	1
sour	1
heart	1
dirty martini	1
pie	1
honey	1
cream	1
lemon	1
pinot noir	1
whipped cream served	1
rigatoni	1
vegetable	1
hollandaise	1
roll	1
cavatelli	1
booze	1
oil	1
elizabeth	1
cut pork	1
cucumber	1
dark chocolate	1
alcohol	1
scotch	1
salad dressed	1
beverage	1
halibut	1
