food	count
salad	42
sandwich	37
dessert	35
schnitzel	34
chicken	32
potato	31
cheese	30
tomato	26
mashed potato	23
swedish meatball	23
beet	21
dill	21
bleu	19
sauerkraut	18
soup	18
sausage	17
potato salad	16
pastry	16
meatball	15
basil salad	15
gravy	15
pork schnitzel	15
creamy	13
stuffed cabbage	13
side dish	13
green bean	13
coleslaw	13
wrap	13
meat	12
filling	12
wine	11
sauce	11
bread	11
salmon	11
mushroom sauce	10
slaw	10
pork	9
burger	9
cabbage	9
broccoli	9
beer	9
basil	9
roll	9
spinach salad	8
thyme	8
fish	8
cookie	8
comfort food	8
gem	8
stew	8
curd	8
pickle	7
pita	7
butter	7
pea	7
topped	7
chocolate	6
donut	6
rosti	6
coffee	6
ham	6
onion	6
mushroom gravy	6
cream	6
chicken cordon bleu	6
mozzarella	5
apple	5
pork tenderloin	5
cole	5
baked good	5
smoked	5
basil tomato	5
cream sauce	5
cake	5
fast food	4
hash	4
french fry	4
heart	4
delicacy	4
brie	4
sour cream	4
feed	4
coconut	4
steak	4
hot dog	4
beef	4
fruit	4
mustard	4
swede	4
apple strudel	3
dressing	3
seasoning	3
strudel	3
stick	3
sour	3
cardamom	3
red onion	3
spinach	3
danish	3
snack	3
chipotle	3
borscht	3
goulash	3
preserve	3
turkey	3
ciabatta	3
mushroom	3
savory	3
split	3
cherry	3
cutlet	3
meringue	3
falafel	3
green bean salad	3
lox	3
diet	3
salt	3
blintz	2
peanut	2
dumpling	2
bacon	2
herb	2
water	2
honey	2
egg	2
bean salad	2
veggie	2
lettuce	2
banana	2
juice	2
topping	2
crab cake	2
hash brown	2
fried potato	2
smoked salmon	2
fresh food	2
little gem	2
berry	2
balsamic	2
chili	2
pork cordon bleu	2
vegetable	2
cucumber	2
noodle	2
vinaigrette	2
mozzarella sandwich	2
anchovy	2
mayo	2
candy	2
mandarin orange	2
leftover	2
raspberry	2
lingonberry	2
oatmeal	2
shrimp	2
spicy	2
gluten	2
filet	2
bun	2
spice	2
pie	2
lemon	2
tomato sauce	2
tart	2
chicken breast	2
morel	1
milk	1
chocolate brownie	1
fresh cream	1
couscous	1
white bread	1
porcini mushroom	1
difference	1
roasted potato	1
baking	1
coffee cake	1
dip	1
round	1
carrot cake	1
tea	1
almond	1
pepper	1
fillet	1
gravad lax	1
leg	1
chocolate tart	1
pancake	1
lemon mousse	1
vinegar	1
meatball gravy	1
orange soda	1
pasta	1
herring	1
lime	1
red cabbage slaw	1
sake	1
blueberry	1
sherry vinaigrette	1
casserole	1
flaky pastry	1
green pea	1
fresh spinach	1
hamburger	1
chip	1
carrot	1
pickled cabbage	1
bigos	1
black currant	1
noodle soup	1
herbal tea	1
cardamon	1
blood	1
salsa	1
dark chocolate	1
red wine	1
chicken thigh	1
muffin	1
wiener	1
dough	1
mushroom cream sauce	1
cola	1
sorrel soup	1
orange	1
dab	1
powdered sugar	1
feast	1
frittata	1
waffle	1
whip	1
alcohol	1
variety meat	1
heavy cream	1
lemon cream	1
salami	1
poppy seed	1
cranberry	1
pepperoni	1
garlic	1
malt vinegar	1
tzatziki	1
pinot noir	1
sausage roll	1
hazelnut	1
coconut macaroon	1
fresh herb	1
saute	1
mint	1
birthday cake	1
scrambled egg	1
buffet	1
brooklyn	1
gin	1
macaroon	1
rosti potato	1
scotch	1
bell pepper	1
booze	1
sour sauce	1
caper	1
canned good	1
sugar	1
jam	1
jak	1
spud	1
honey mustard dressing	1
bean	1
batter	1
mustard relish	1
butter crisp	1
roast pork	1
dipping sauce	1
grilled chicken	1
brittle	1
glaze	1
brown sauce	1
mandarin	1
green salad	1
mouthful	1
pumpernickel bread	1
medallion	1
fried egg	1
mustard dressing	1
grain	1
puff	1
olive oil	1
loaf	1
stuffed chicken breast	1
pork meatball	1
cream cheese	1
spirit	1
vanilla	1
cracker	1
stuffing	1
smorgasbord	1
rib	1
lemon meringue pie	1
cod	1
oil	1
papaya	1
collar	1
morsel	1
apple cake	1
apple pie	1
cognac	1
board	1
cottage cheese	1
doughnut	1
flavoring	1
cooler	1
tipple	1
pickled onion	1
meatloaf	1
chocolate meringue	1
steamed fish	1
dill sauce	1
cream potato	1
pirogi	1
tortilla	1
balsamic vinegar	1
goody	1
plum	1
chow	1
curry	1
cheese blintz	1
rye bread	1
bee knee	1
dill pickle	1
caviar	1
cheese sandwich	1
gazpacho	1
fish fry	1
coke	1
liquor	1
apricot	1
strawberry	1
shin	1
potion	1
tomato soup	1
cold cut	1
sardine	1
wafer	1
mash	1
boiled egg	1
beverage	1
