food	count
beef	8
bread	7
lamb	6
rice	4
borscht	4
salad	4
onion	4
kebab	3
kabob	3
meat	3
soup	3
filling	3
lamb kebab	2
tea	2
chicken	2
fruit drink	2
sauce	2
danish	2
pie	2
water	2
salsa	2
tomato	2
kosher	2
round	2
broth	1
creamy	1
ginger	1
tomato salad	1
lemon juice	1
topped	1
marinated lamb	1
ground beef	1
beef broth	1
rib	1
egg	1
spice	1
edible	1
cherry	1
meat pie	1
parsley	1
dumpling	1
lamb chop	1
beer	1
beet	1
butter	1
prune	1
vegetable	1
mouthful	1
roll	1
tomato relish	1
pickled tomato	1
ravioli	1
table salt	1
vinegar	1
dessert	1
mayo	1
juice	1
sesame seed	1
fruit	1
cucumber	1
black tea	1
pirozhki	1
cucumber salad	1
cabbage salad	1
sea bass	1
bean salad	1
dip	1
grass	1
spiced	1
pepper	1
berry	1
eggplant	1
apricot	1
swallow	1
sour cream	1
salt	1
western	1
