food	count
salad	40
chicken	37
schnitzel	34
dessert	31
swedish meatball	30
potato	27
mashed potato	24
meatball	22
tomato	22
dill	21
sandwich	21
bleu	19
gravy	18
salmon	17
potato salad	16
cheese	16
beet	16
sauce	15
basil salad	15
pork schnitzel	15
wrap	14
side dish	13
green bean	12
coleslaw	12
creamy	11
broccoli	11
mushroom sauce	10
burger	9
lingonberry	9
meat	8
thyme	8
pork	8
fish	8
sauerkraut	8
cookie	8
spinach salad	8
curd	8
hot dog	8
filling	7
pea	7
pita	7
slaw	7
comfort food	6
gem	6
mushroom gravy	6
basil	6
topped	6
rosti	6
chicken cordon bleu	6
cole	5
ham	5
beer	5
pork tenderloin	5
cream sauce	5
stick	5
cream	5
swede	5
brie	4
seasoning	4
fast food	4
hash	4
pasta	4
wine	4
french fry	4
cake	4
juice	4
roll	4
mustard	4
egg	4
salt	4
snack	3
coffee	3
tart	3
meringue	3
basil tomato	3
preserve	3
falafel	3
green bean salad	3
herb	3
berry	3
soda	3
heart	3
red onion	3
veggie	3
beef	3
lox	3
butter	3
chocolate	3
savory	3
chili	3
soup	3
coconut	3
meatball gravy	3
pastry	3
pizza	3
cardamom	3
sausage	3
cabbage	3
gluten	2
dressing	2
fried potato	2
anchovy	2
delicacy	2
mayo	2
smoked salmon	2
bean salad	2
chow	2
cutlet	2
sour cream	2
apple cake	2
almond	2
bacon	2
green salad	2
mandarin orange	2
dill sauce	2
water	2
mozzarella	2
spinach	2
oatmeal	2
shrimp	2
french toast	2
cucumber	2
feed	2
pancake	2
onion	2
lettuce	2
fresh food	2
banana	2
mushroom	2
coke	2
pie	2
honey	2
rib	2
lemon	2
pork cordon bleu	2
split	2
vegetable	2
hash brown	2
crab cake	2
cinnamon bun	2
grilled salmon	1
steamed	1
chicken thigh	1
morsel	1
chocolate brownie	1
chocolate cake	1
wiener	1
dipping sauce	1
morel	1
cod	1
milk	1
apple	1
gravad lax	1
peanut	1
fresh cream	1
stuffing	1
sugar	1
cognac	1
board	1
couscous	1
chipotle	1
roasted potato	1
round	1
honey mustard dressing	1
stuffed chicken breast	1
bean	1
batter	1
porcini mushroom	1
mustard dressing	1
mouthful	1
mustard relish	1
mustard sauce	1
cooler	1
feast	1
booze	1
frittata	1
pickled onion	1
dip	1
grilled chicken	1
topping	1
waffle	1
oil	1
soft drink	1
wheat	1
whip	1
scrambled egg	1
brittle	1
spud	1
carbonated water	1
strawberry	1
smorgasbord	1
spaghetti meatball	1
variety meat	1
fillet	1
mushroom cream sauce	1
heavy cream	1
brown sauce	1
mandarin	1
cola	1
chocolate meringue	1
steamed fish	1
lemon cream	1
cardamon	1
leg	1
corn	1
butter crisp	1
salami	1
diet	1
medallion	1
leftover	1
lemon mousse	1
fried egg	1
pork meatball	1
vinegar	1
tortilla	1
pickle	1
jam	1
penne pasta	1
curry	1
patty	1
malt vinegar	1
flavoring	1
tzatziki	1
fresh herb	1
torte	1
herring	1
lime	1
dumpling	1
red cabbage slaw	1
sake	1
balsamic	1
caviar	1
olive oil	1
gin	1
orange	1
spicy	1
filet	1
steak	1
potato cake	1
little gem	1
liquor	1
spirit	1
casserole	1
spice	1
stuffed cabbage	1
baked good	1
decaf	1
cracker	1
pepper	1
green pea	1
sour	1
bbq sauce	1
fresh spinach	1
bee knee	1
hamburger	1
cheese pizza	1
apple crisp	1
carrot	1
bisque	1
pickled cabbage	1
caper	1
spaghetti marinara	1
cider	1
tomato sauce	1
sour sauce	1
grain	1
mayonnaise	1
papaya	1
buffet	1
difference	1
fruit	1
garlic	1
blood	1
salsa	1
dark chocolate	1
ice cream	1
lemon meringue pie	1
chocolate mousse cake	1
sardine	1
wafer	1
mash	1
boiled egg	1
orange soda	1
beverage	1
vinaigrette	1
rosti potato	1
wing	1
hotdog	1
