food	count
chicken	647
waffle	584
fried chicken	297
tea	145
mac cheese	127
grit	127
cheese	119
butter	108
soul food	104
sandwich	103
syrup	83
meat	81
sauce	80
gravy	79
biscuit	76
rice	72
okra	71
rib	70
red velvet cake	70
egg	68
onion	64
bread	62
cornbread	60
lemonade	58
bean	55
cinnamon	53
salad	52
dessert	51
collard green	51
hot sauce	48
corn	48
catfish	47
slaw	46
sugar	46
chicken breast	43
roll	42
brisket	41
pita	39
heart	38
spicy	38
fast food	37
skin	36
leg	35
batter	35
cake	35
potato	35
water	33
creamy	33
honey	33
pulled pork	32
thigh	31
wing	30
sweet potato	30
beef	29
tomato	27
potato salad	27
feta	26
iced tea	26
pasta salad	26
diet	26
seasoning	25
spice	25
coleslaw	24
pepper	24
pork	22
chip	22
comfort food	21
toast	21
salt	21
macaroni cheese	20
chicken leg	20
split	20
dressing	19
chicken salad	19
bbq sauce	19
mashed potato	19
drumstick	19
kabob	18
steak	18
fruit	18
maple syrup	18
chocolate cake	17
apple butter	17
coffee	17
scrambled egg	17
leftover	17
cole	16
fish	16
soda	16
savory	15
side dish	15
veggie	15
french fry	14
turkey	14
white meat	14
banana pudding	13
pickle	13
chicken sandwich	13
oil	13
greek salad	13
barbecue	12
grape	12
bbq chicken	12
ice cream	12
limeade	12
beer	12
garlic	12
ice	12
shrimp	12
strawberry	12
topped	12
beverage	12
grilled chicken	12
sausage	11
stick	11
lettuce	11
home fry	11
collard	11
mustard	11
bacon	10
filling	10
ice tea	10
tuna	10
smoked	10
round	9
burger	9
potato chip	9
vinegar	9
spinach	9
hummus	9
pasta	9
pilaf	9
frosting	8
side order	8
chocolate	8
rack	8
takeout	8
bell pepper	8
feta cheese	8
chili	8
ham	8
mayo	8
salad dressing	8
pie	8
pecan	7
soup	7
rye	7
pizza	7
feast	7
bitter	7
chicken wing	7
vegetable	7
noodle	7
roasted	7
cheese sandwich	7
coke	7
cobbler	7
peach	7
peanut	6
difference	6
dip	6
southern fried chicken	6
quesadilla	6
vanilla	6
tortilla	6
pudding	6
chipotle	6
pancake	6
iceberg lettuce	6
egg salad	6
dark meat	6
green good	6
macaroni	6
pimento	6
tuna salad	6
lemon	6
corn cob	5
jambalaya	5
taco	5
chicken thigh	5
feed	5
green bean	5
watermelon	5
gem	5
brain	5
tater	5
cod	5
basil	5
corn muffin	5
cherry	5
baked bean	5
wrap	5
health food	5
cornbread muffin	5
marinara	5
bun	5
homemade lemonade	5
fruit punch	4
spiced	4
sake	4
cream cheese frosting	4
sour	4
cabbage	4
muffin	4
nutmeg	4
maple	4
soft drink	4
juice	4
topping	4
salmon	4
jam	4
bay	4
dipping sauce	4
tuck	4
orange	4
board	4
cooler	4
candy	4
grub	4
pepsi	4
jalapeno	4
tongue	4
cornmeal	4
cream	4
tart	4
white bread	3
icing	3
garlic bread	3
punch	3
popcorn	3
duck	3
lime	3
croquette	3
smoked chicken	3
dripping	3
salsa	3
pecan pie	3
artichoke	3
shake	3
cupcake	3
braised	3
stock	3
spicy chicken	3
cookie	3
black pepper	3
fry bread	3
reuben	3
banana	3
buffet	3
seafood	3
brew	3
green tea	3
snack	3
barbeque	3
cut meat	3
hush puppy	3
crumb	3
spicy sauce	3
stuffing	3
concoction	3
vinaigrette	3
green onion	3
apple	3
ketchup	3
flavoring	3
hurricane	3
wheat	3
rye bread	3
baked potato	3
belgian waffle	3
condiment	3
gumbo	3
mash	3
grilled onion	3
ale	2
jack	2
baking	2
mushroom soup	2
smothered onion	2
sugar water	2
bird	2
caper	2
business lunch	2
herb	2
olive	2
starter	2
edible	2
alcoholic drink	2
vodka	2
sprinkle	2
cocktail	2
blood	2
dove	2
dough	2
redfish	2
avocado	2
walnut	2
red onion	2
chorizo egg	2
rosemary	2
italian dressing	2
vanilla ice cream	2
cucumber	2
tom	2
iceberg	2
mint	2
red pepper	2
shoestring fry	2
sausage casserole	2
breakfast food	2
side bacon	2
hash brown	2
morsel	2
smoked salmon	2
flour tortilla	2
string bean	2
picnic	2
nut	2
mouthful	2
barbecue sauce	2
spinach wrap	2
water lemon	2
instant	2
ice water	2
velveeta	2
buttermilk	2
lemon cake	2
dill pickle	2
sesame	2
broth	2
old fashioned	2
short rib	2
red hot	2
cheddar	2
food coloring	2
shoulder	2
lobster	2
meatloaf	2
rib beef	2
pea	2
goody	2
cocoa	2
brown sugar	2
filet	2
omelet	2
cheddar cheese	2
twist	2
mayonnaise	2
fruit salad	2
whiting	1
vanilla bean	1
meat pie	1
cayenne pepper	1
lard	1
baked chicken	1
chicken noodle soup	1
bread sauce	1
margarita	1
dodger	1
orzo	1
tea time	1
dainty	1
spicy sausage	1
fresh mint	1
continental breakfast	1
nut bread	1
sangria	1
pork broth	1
barbecue rib	1
chili powder	1
peanut oil	1
new york strip	1
vegetarianism	1
tartar sauce	1
cinnamon sugar	1
orange soda	1
puff	1
milkshake	1
green corn	1
guacamole	1
hushpuppy	1
pound cake	1
garnish	1
mush	1
egg white	1
shoot	1
codfish	1
malt	1
blade	1
candied sweet potato	1
canola oil	1
red pepper sauce	1
hamburger	1
carrot	1
butter chicken	1
sundae	1
fudge	1
green cabbage	1
pan gravy	1
neck	1
mustard sauce	1
rice salad	1
wine	1
beignet	1
cherry tomato	1
sirloin steak	1
cola	1
smoothie	1
powdered sugar	1
garlic potato	1
thyme	1
cointreau	1
onion gravy	1
meat loaf	1
perry	1
alcohol	1
chicken stock	1
baked macaroni	1
fiber	1
lollipop	1
horseradish sauce	1
chilly	1
tilapia	1
malt vinegar	1
jerk chicken	1
parfait	1
western	1
white beer	1
food product	1
cheese dip	1
cinnamon roll	1
charlotte	1
fowl	1
marinade	1
beef jerky	1
lemon juice	1
pastry	1
junk food	1
red meat	1
bagel	1
butter sauce	1
honeycomb	1
birthday cake	1
crab cake	1
brooklyn	1
peppercorn	1
paddy	1
hot dog	1
spare rib	1
pineapple	1
scotch	1
grilled salmon	1
sage	1
crispy chicken	1
popsicle	1
slop	1
cheeseburger	1
steak sauce	1
fried potato	1
rose	1
skinny fry	1
cream cheese icing	1
red grape	1
relish	1
coconut rice	1
raw meat	1
spicy salsa	1
libation	1
boiled potato	1
refresher	1
pork chop	1
glaze	1
icecream	1
moist carrot cake	1
preserve	1
sweet cherry	1
fried egg	1
jelly	1
kosher	1
grain	1
chorizo	1
swallow	1
patty	1
rag	1
oregano	1
ade	1
beet	1
jerky	1
smoked bacon	1
mushroom	1
seasoned salt	1
cream cheese	1
squash	1
liver	1
chile	1
spirit	1
portobello mushroom	1
cracker	1
seed	1
sushi	1
potato bean	1
garlic mayo	1
grinder	1
buffalo wing	1
baking powder	1
cob	1
smelt	1
cane sugar	1
buttermilk biscuit	1
sugar apple	1
kale	1
apple pie	1
cinnamon syrup	1
horseradish	1
teriyaki	1
fish chip	1
manhattan	1
lamb shank	1
caesar salad	1
zucchini	1
chuck	1
wonderland	1
tap water	1
lemonade mix	1
root beer	1
rum	1
chitterlings	1
cheese sauce	1
peppermint patty	1
chow	1
chive	1
jimmy	1
parsley	1
sourdough bread	1
tortilla chip	1
breakfast burrito	1
custard	1
bubbly	1
blue cheese	1
gluten	1
cream sauce	1
bread pudding	1
wafer	1
bouillon	1
pippin	1
fortune cooky	1
dill	1
irish	1
crumble	1
cookout	1
shrimp po boy	1
kidney	1
fixing	1
whipped cream	1
potion	1
sling	1
