food	count
meat	8
taco	7
salad	6
burrito	6
smoothie	5
pork	5
lobster	5
roll	5
chicken	4
bean	4
cheese	4
beef	4
salsa	4
potato	4
maine lobster	3
chipotle	3
soup	3
yogurt	3
blueberry	3
chocolate	3
sauce	3
parfait	3
rice	2
dessert	2
clam	2
pepper	2
aioli	2
chorizo	2
peanut butter	2
breakfast burrito	2
butter	2
bun	2
spice	2
banana	2
strawberry	2
lemonade	2
hot sauce	2
pie	2
spicy	2
garlic	2
tomato	2
hot dog	2
egg	2
kale	1
ale	1
wiener	1
puff	1
snack	1
lobster salad	1
sugar	1
dressing	1
enchilada	1
teriyaki	1
pinto bean	1
mayo	1
banana bread	1
green salad	1
seafood chowder	1
filling	1
sour cream	1
dip	1
seasoning	1
almond	1
bacon	1
potato salad	1
scratching	1
hush puppy	1
ice	1
granola	1
collins	1
barbeque	1
herb	1
mac cheese	1
poppy seed	1
banana smoothie	1
tortilla	1
biscuit	1
spiced	1
shrimp	1
chilly	1
guacamole	1
balsamic	1
brisket	1
crab	1
bubble	1
drinkable	1
pulled pork	1
chile	1
chicken taco	1
chicken sandwich	1
pickled vegetable	1
corn tortilla	1
sour	1
pickle	1
coleslaw	1
rib	1
bisque	1
lemon	1
jerry	1
pizza	1
lobster roll	1
macaroni salad	1
delicacy	1
quinoa	1
raspberry vinaigrette	1
chicken rice	1
neck	1
bbq sauce	1
seafood	1
brew	1
