food	count
spicy	32
hot pot	27
beef	26
meat	25
broth	25
soup	22
veggie	19
noodle	19
tea	18
chicken	17
vegetable	16
sauce	14
mushroom	14
tofu	13
rice	12
pancake	11
pork	10
milk	9
water	9
scallion	8
egg	8
green tea	7
dumpling	7
orange	7
shrimp	7
spice	6
taro	6
bok choy	6
oyster	6
wonton	6
hotpot	5
bubble	5
stick	5
rib	5
beef tongue	5
lamb	5
seafood	5
beef roll	4
peanut	4
sugar	4
dessert	4
rice noodle	4
alcohol	4
fondue	4
cheese	4
chili	4
tapioca	4
cake	4
coconut	4
miso	3
skin	3
pumpkin	3
herbal	3
gem	3
fast food	3
pork chop	3
beer	3
basil	3
sushi	3
quail egg	3
grass	3
squid	3
ginger	3
juice	3
enoki mushroom	3
strawberry	3
oil	3
cheesecake	3
buffet	3
garlic	3
lemon	3
green onion	3
fish ball	2
snack	2
fried rice	2
starch	2
bean	2
difference	2
pea	2
dipping sauce	2
fried dumpling	2
seasoning	2
fish	2
sesame	2
honeydew	2
ice	2
sour	2
egg roll	2
corn	2
egg noodle	2
bean curd	2
leftover	2
jelly	2
takeout	2
eggplant	2
tongue	2
curry	2
feed	2
fried chicken	2
spinach	2
omelet	2
starter	2
bitter	2
cut beef	2
five spice	2
stir fried	2
pork dumpling	2
spring roll	2
split	2
chicken rice	2
soy sauce	2
wine	2
steamed	1
bean sprout	1
sprout	1
sesame oil	1
iced tea	1
lemongrass broth	1
cilantro	1
smoothie	1
noodle soup	1
board	1
miso broth	1
coffee	1
chile	1
cut meat	1
citrus	1
rice soup	1
soba noodle	1
watermelon	1
dripping	1
bread	1
won ton	1
iced coffee	1
frozen yogurt	1
feast	1
satay sauce	1
raw meat	1
razor clam	1
mung bean	1
dip	1
round	1
spicy chicken	1
corn cob	1
soy dipping sauce	1
bock	1
dainty	1
coconut milk	1
wrap	1
lobster	1
lemongrass	1
sausage	1
dim sum	1
comfort food	1
condensed milk	1
variety meat	1
brown sauce	1
mandarin	1
asian noodle	1
strawberry cheesecake	1
lolly	1
bass	1
herb	1
punch	1
black tea	1
satay	1
bbq chicken	1
stormy	1
orange juice	1
sticky rice	1
lychee	1
spiced	1
chili sauce	1
soda	1
mussel	1
snow pea	1
stew	1
onion	1
scallop	1
dietary	1
soy	1
bok choi	1
anise	1
taro root	1
green bean	1
tom	1
shank	1
omelette	1
sea bass	1
green papaya salad	1
shoot	1
edible	1
green pea	1
pork broth	1
meatball	1
heart	1
spicy beef	1
honey	1
carrot	1
ginger sauce	1
pork belly	1
chinese green	1
peach	1
nan	1
topped	1
oyster sauce	1
leek	1
papaya juice	1
seafood pancake	1
chow	1
mixed spice	1
orange peel	1
fruit	1
blood	1
puff	1
cabbage	1
chocolate	1
onion sauce	1
potato	1
salt	1
steamed chicken	1
halibut	1
pineapple	1
batter	1
