food	count
wine	31
sangria	14
taco	14
salad	8
dessert	7
bacon	7
lobster	7
cocktail	6
corn dog	6
sauce	5
goat cheese	5
bread	5
pork	5
fish	5
shrimp	5
cheese	5
bruschetta	5
artichoke	4
clam	4
meat	4
asparagus	4
beef	4
breakfast burrito	4
salsa	4
creme brulee	4
martini	4
chicken	3
braised short rib	3
margarita	3
filling	3
dipping sauce	3
escargot	3
porter	3
eggplant	3
foie gras	3
beer	3
spicy	3
chocolate	3
cake	3
chip	3
pork belly	3
fruit	3
sage	2
puff pastry	2
roasted	2
caper	2
rose	2
avocado	2
pancetta	2
savory	2
rice	2
round	2
fried potato	2
alcohol	2
vegetable	2
red wine	2
braised	2
butternut squash ravioli	2
sea scallop	2
tea	2
prawn	2
ice cream	2
fondue	2
tortilla	2
rosemary	2
hummus	2
black bean	2
apple	2
wrap	2
lime	2
turkey	2
blue cheese	2
beet	2
tomato	2
squash	2
liquor	2
flan	2
kabob	2
spice	2
carpaccio	2
meatball	2
coconut	2
steak	2
pot roast	2
lemon	2
zucchini	2
tamale	2
short rib	2
gorgonzola	2
potato	2
salt	2
tomato salad	1
cereal	1
mackerel	1
iced tea	1
mojito	1
nectar	1
cilantro	1
side order	1
fruit drink	1
fig	1
ricotta	1
pesto	1
coffee	1
finger food	1
bean	1
molasses	1
garlic butter	1
truffle	1
lettuce wrap	1
risotto	1
manhattan	1
nosh	1
dip	1
rack	1
bacon egg	1
mixed drink	1
vino	1
seasoning	1
lemonade	1
potato salad	1
marinade	1
macaroni cheese	1
prune juice	1
mustard	1
sesame	1
sausage	1
snail	1
whiskey	1
fillet	1
white wine	1
green salad	1
champagne	1
bird	1
bisque	1
nacho	1
bubbly	1
pepper	1
punch	1
snapper	1
aioli	1
mac cheese	1
leaf lettuce	1
raspberry	1
apple tart	1
mush	1
jelly	1
grain	1
berry	1
soda	1
pita	1
mussel	1
french fry	1
curry	1
olive oil	1
marshmallow	1
vodka	1
scallop	1
dietary	1
sage butter	1
tortilla chip	1
morsel	1
tuna	1
tamal	1
pilsner	1
duck confit	1
caviar	1
parsley	1
creamy	1
stock	1
basil	1
scrambled egg	1
ravioli	1
aoli	1
blanc	1
tidbit	1
mushroom	1
ceviche	1
stick	1
olive	1
split	1
vanilla	1
board	1
blueberry	1
corn tortilla	1
soup	1
sauvignon blanc	1
strudel	1
heart	1
pie	1
potato wedge	1
ginger	1
spicy sauce	1
quail	1
brown butter	1
ice	1
lamb	1
currant	1
beef tenderloin	1
chili sauce	1
red meat	1
salsa verde	1
crabcakes	1
gnocchi	1
cannelloni	1
oil	1
halibut	1
plantain	1
salmon	1
quinoa	1
garlic	1
cabbage	1
alcoholic beverage	1
beef carpaccio	1
butter	1
remoulade	1
dulce	1
burrito	1
egg	1
seafood	1
mash	1
mango	1
veal	1
puree	1
vinaigrette	1
cinnamon ice cream	1
pecan	1
bordeaux	1
