food	count
wine	211
cheese	47
sangria	30
bread	27
beer	24
olive	19
cocktail	19
fondue	19
goat cheese	16
flatbread	16
spinach	15
dessert	14
sauce	13
tortilla	13
apple	11
salad	11
heart	11
pizza	11
fruit	11
patatas bravas	10
calamari	10
trout	10
potato	10
tomato	9
artichoke	9
cheese fondue	9
antipasto	9
scallop	9
croquette	7
garlic	7
vodka	7
brie	7
chicken	7
chorizo	7
shrimp	7
spicy	7
asparagus	6
dip	6
bacon	6
lamb	6
serrano ham	6
filet mignon	6
clam	6
onion	6
nosh	6
brandy	6
difference	5
sausage	5
white wine	5
creamy	5
chocolate	5
stick	5
sprout	5
walnut	5
flatbread pizza	5
red wine	5
gem	5
pretzel	5
liquor	5
hummus	5
gazpacho	5
filet	5
nut	5
mustard	5
round	4
pork	4
water	4
duck	4
sour	4
smoked	4
taco	4
egg	4
martini	4
meat	4
aioli	4
romesco sauce	4
vino	4
champagne	4
roasted	4
pepper	4
snapper	4
octopus	4
baguette	4
lemon	4
alcohol	4
morel	3
almond	3
bird	3
pound cake	3
lime	3
sandwich	3
blood	3
salsa	3
halibut	3
lamb chop	3
coffee	3
thyme	3
finger food	3
veggie	3
manchego	3
pinot noir	3
shallot	3
fennel	3
snack	3
caramel	3
paella	3
gouda	3
cauliflower	3
olive oil	3
pimenton	3
duck confit	3
savory	3
chicken meatball	3
quail	3
split	3
oil	3
pork loin	3
rose	3
board	3
pickled onion	3
ice	3
marshmallow	3
fish	3
strawberry	3
grass	3
topped	3
truffle oil	3
grilled bread	2
three cheese	2
chocolate cake	2
prosciutto	2
espresso	2
herb	2
pate	2
liqueur	2
chocolate fondue	2
caipirinha	2
dressing	2
bourbon	2
fleur de sel	2
bittersweet chocolate	2
grapefruit salad	2
stock	2
neck	2
puff	2
orange	2
citrus	2
braised	2
cider	2
goose	2
crispy chicken	2
coconut macaroon	2
ginger	2
juice	2
pork belly	2
mint	2
sherry	2
grappa	2
seafood	2
tequila	2
smoked salmon	2
mixed drink	2
lemonade	2
berry	2
eggplant	2
tomato salad	2
grapefruit	2
fig	2
crab salad	2
short rib	2
cream puff	2
ham	2
mayo	2
roll	2
cheese bread	2
peel	2
corn	2
raspberry	2
spice	2
paprika	2
spicy sauce	2
club soda	2
tomato sauce	2
tart	2
pear	2
cabernet	2
ale	1
seafood risotto	1
red delicious	1
skin	1
milk	1
grape	1
gherkin	1
pancetta	1
garlic clove	1
brownie	1
garlic salt	1
jack	1
sparkling wine	1
roasted potato	1
whiskey sour	1
buffalo mozzarella	1
nectar	1
manchego cheese	1
booze	1
orange sauce	1
seasoning	1
currant	1
roasted pepper	1
soup	1
comfort food	1
fillet	1
caper	1
libation	1
baked apple	1
punch	1
white sauce	1
potato chip	1
vinegar	1
mussel	1
roasted quail	1
fennel salad	1
pollock	1
crab	1
garnish	1
blueberry	1
rich chicken	1
orange liqueur	1
spicy sweet	1
flan	1
shoot	1
honey	1
quince paste	1
chardonnay	1
chianti	1
malt	1
donut	1
meatball	1
dripping	1
chocolate sauce	1
old fashioned	1
vegetable soup	1
toasted almond	1
flank	1
goat	1
candy cane	1
summer vegetable	1
black pepper	1
cabbage	1
dark chocolate	1
rice salad	1
thigh	1
granny smith	1
apple butter	1
brain	1
mixed nut	1
cherry blossom	1
pesto	1
cupcake	1
stout	1
ratatouille	1
filling	1
roast	1
rosemary	1
fresh tomato	1
lentil	1
piquillo pepper	1
quince	1
scampi	1
steak	1
compote	1
smoked paprika	1
draft beer	1
pudding	1
soda	1
turf	1
lettuce	1
blanc	1
cranberry juice	1
bleu	1
french bread	1
bitter	1
fresh food	1
tidbit	1
hazelnut	1
kabob	1
bubble	1
cheese dip	1
mulligan	1
home fry	1
cheese pizza	1
potato wedge	1
white lady	1
cava	1
surf	1
cheesecake	1
salmon	1
buffet	1
romaine	1
chard	1
gin	1
wing	1
macaroon	1
brew	1
scotch	1
toast	1
roast quail	1
sugar	1
chipotle	1
fried potato	1
morsel	1
chutney	1
crabmeat	1
bay	1
picnic	1
parsley broth	1
mutton	1
crawfish	1
chicken wing	1
preserve	1
lemon wedge	1
pear salad	1
instant	1
cheese spread	1
cold cereal	1
peanut butter	1
ice water	1
turkey	1
souffle	1
cookie dough	1
mozzarella	1
beet	1
basil	1
mushroom	1
sweet potato chip	1
spirit	1
stilton	1
vanilla	1
round drink	1
fondu	1
sazerac	1
buffalo wing	1
concoction	1
loaf bread	1
breaded cheese	1
vegetable	1
chilled soup	1
riesling	1
cucumber	1
pickled red onion	1
tuna	1
tomato toast	1
broccoli	1
vinaigrette	1
crayfish	1
green onion	1
cheddar	1
cilantro	1
cognac	1
kidney	1
alcoholic beverage	1
candy	1
creme brulee	1
grub	1
feast	1
wonderland	1
dessert wine	1
pea	1
crouton	1
rum	1
passion fruit cream	1
pasta	1
leftover	1
saddle	1
pistachio	1
chow	1
tongue	1
red wine sauce	1
may wine	1
ambrosia	1
caramel sauce	1
nougat	1
crumble	1
peach	1
manhattan	1
salt	1
jacket	1
beverage	1
goat cheese salad	1
