food	count
bun	63
pork belly	60
tea	47
grapefruit	36
sandwich	34
dessert	31
crab	30
coffee	26
pork	24
salad	24
sauce	22
beer	22
steamed	22
sake	21
wine	19
tofu	16
cocktail	15
scone	15
oyster	15
mushroom	15
cucumber	14
duck salad	14
fish	13
eggplant	13
sashimi	12
lamb	12
watermelon	12
savory	12
shrimp	12
carpaccio	12
bacon	11
ceviche	11
orange	11
fritter	11
rice	11
pepper	11
ice cream	10
miso	10
short rib	9
octopus	9
english rose	9
green tea	9
almond	8
bonito	8
oil	8
tuna	8
curry	8
soy	8
water	7
duck	7
tomato	7
mousse	7
bread	7
filling	7
pastry	7
salmon	7
mustard green	7
squash	7
sushi	7
pancake	6
afternoon tea	6
soup	6
heart	6
pizza	6
avocado	6
meat	6
high tea	6
ginger	6
goat cheese	6
burrito	6
spicy	6
cream	6
chocolate	5
latte	5
difference	5
white fish	5
sesame oil	5
gem	5
beet	5
basil	5
crab salad	5
split	5
morsel	5
clam	5
sea bass	5
cake	5
tea sandwich	4
espresso	4
yuzu	4
starter	4
cabbage	4
coconut curry	4
iced tea	4
lamb chop	4
stout	4
braised	4
shiso	4
cheese	4
bitter	4
sweet potato	4
seafood	4
quiche	4
strawberry	4
vegetable	4
sugar snap pea	4
rose	4
foie gras	4
garlic butter	4
taro	4
round	3
seasoning	3
chicken salad	3
saki	3
vodka	3
chip	3
taco	3
mango	3
mocha	3
alcohol	3
aioli	3
fruit	3
banana	3
slaw	3
mint	3
seafood pancake	3
buffet	3
chicken	3
snack	3
sugar	3
celery	3
jam	3
bourbon	3
bean	3
chocolate mousse	3
cod	3
focaccia	3
duck breast	3
spirit	3
clotted cream	3
papaya	3
puree	3
mayo	3
ice	3
truffle	3
spice	3
tofu salad	3
topped	3
mustard	3
potato	3
goat cheese salad	3
skin	2
peanut	2
comfort food	2
herb	2
mozzarella	2
grilled lamb	2
french fry	2
tea leaf	2
stick	2
sour	2
potato chip	2
enoki mushroom	2
martini	2
mojito	2
dough	2
shake	2
lemongrass	2
nuoc cham	2
tempura	2
soda	2
butter	2
western	2
syrup	2
radish salad	2
picnic	2
spritzer	2
tater	2
puff	2
beef	2
chili	2
sesame	2
pomegranate	2
garlic	2
lemon	2
noodle	2
green onion	2
roasted	2
onion	2
lager	2
rice noodle	2
lobster	2
cutlet	2
pea	2
sesame seed	2
goody	2
biscuit	2
tongue	2
oolong	2
bread pudding	2
twist	2
spicy sauce	2
truffle oil	2
soy sauce	2
beverage	2
milk	1
melon	1
nori	1
barley	1
jack	1
plantain	1
chocolate cake	1
seared tuna	1
strawberry jam	1
grilled lettuce	1
dip	1
goose liver	1
sugared orange	1
tea time	1
fast food	1
seasonal vegetable	1
onion sauce	1
donut	1
dim sum	1
sea salt	1
leg	1
roasted garlic	1
punch	1
black tea	1
lychee	1
spiced	1
tomato paste	1
apple	1
fried chicken	1
radish	1
apple fritter	1
creamy	1
citrus dressing	1
sweet onion	1
focaccia bread	1
garnish	1
blueberry	1
green pea	1
whiskey	1
dripping	1
icing	1
quesadilla	1
lobster roll	1
best end	1
gelatin	1
raspberry vinaigrette	1
chicken rice	1
salad green	1
tuna sushi	1
tonic water	1
halibut	1
egg	1
artichoke	1
citrus	1
wasabi	1
powdered sugar	1
ketchup	1
lettuce	1
feast	1
roast	1
hoisin	1
goose	1
escarole	1
side dish	1
condensed milk	1
granola	1
dark chocolate mousse	1
bass	1
warm salad	1
fresh oyster	1
cucumber salad	1
steak	1
sticky rice	1
veggie	1
balsamic reduction	1
scallion	1
luncheon	1
board	1
soft drink	1
fresh herb	1
marinade	1
juice	1
seed	1
goat cheese cheesecake	1
sesame dressing	1
shortbread	1
orange peel	1
bbq sauce	1
basil sauce	1
white rice	1
seaweed	1
calamari	1
sushi roll	1
cappuccino	1
starch	1
chocolate syrup	1
duck sauce	1
smoked salmon	1
brain	1
cherry tomato	1
bay	1
whitefish	1
caramel	1
dipping sauce	1
mixed drink	1
goat milk	1
liquor	1
food product	1
mashed potato	1
brown sauce	1
yogurt	1
green salad	1
mouthful	1
egg noodle	1
grass	1
jelly	1
paring	1
swallow	1
olive oil	1
loaf	1
scallop	1
pickled cucumber	1
homemade pickle	1
fruit vegetable	1
cream cheese	1
little gem	1
vanilla	1
candied orange	1
five spice	1
steamed clam	1
broth	1
tonic	1
green good	1
beef tenderloin	1
chocolate ganache filling	1
concoction	1
chilled soup	1
riesling	1
chorizo	1
basil oil	1
waldorf salad	1
blood orange	1
antipasto	1
california wine	1
vinaigrette	1
cream puff	1
steamer	1
romaine lettuce	1
red wine reduction	1
braised short rib	1
endive	1
hot pepper	1
doughnut	1
plum sauce	1
candy	1
oxtail	1
grub	1
sorbet	1
okra	1
bisque	1
peel	1
raspberry	1
rice flour	1
chow	1
tenderloin	1
lemon curd	1
breakfast burrito	1
custard	1
caviar	1
gin	1
bubble	1
panna cotta	1
fizz	1
salad dressing	1
jus	1
parmesan	1
jonathan	1
apricot	1
rack	1
hoisin sauce	1
sticky bun	1
mango salad	1
pie	1
club soda	1
peach	1
whip	1
mayonnaise	1
vermouth	1
roll	1
whipped cream	1
lemon salad	1
pear	1
daikon	1
pecan	1
