food	count
bread	34
hummus	33
pita	28
salad	26
chicken	25
meat	23
rice	19
kebab	14
turkey	14
kabob	13
falafel	12
sauce	11
tea	10
lamb	10
gyro	10
beef	9
dressing	8
garlic	8
lentil soup	6
yogurt	6
humus	6
fast food	5
veggie	5
creamy	5
spice	5
saffron	4
dip	4
baklava	4
wrap	4
baba	4
hot sauce	4
vegetable	4
tomato	4
dolmas	3
side dish	3
water	3
eggplant	3
tabbouleh	3
spinach	3
baba ganoush	3
garlic sauce	3
greek salad	3
spicy	3
pizza	3
mint	3
sandwich	3
cucumber	3
romaine lettuce	2
walnut	2
dessert	2
filling	2
dipping sauce	2
cabbage slaw	2
herb	2
pilsner	2
olive oil	2
turkish coffee	2
red onion	2
tzatziki	2
leftover	2
stuffed grape leaf	2
salad dressing	2
casserole	2
white rice	2
sesame	2
soup	2
pickle	2
honey	2
split	2
feta	2
mint salad	1
red cabbage	1
roasted red pepper	1
iced tea	1
roasted	1
comfort food	1
bitter	1
cherry	1
horseradish	1
board	1
savory	1
coffee	1
roast garlic	1
hot pepper	1
chicken skewer	1
shoulder	1
spanish rice	1
mushroom	1
onion	1
lettuce	1
feast	1
pretzel	1
lamb shank	1
round	1
fresh tomato	1
nut	1
topping	1
oil	1
chicken salad	1
strawberry	1
pomegranate juice	1
milk	1
bird	1
pepper	1
wheat	1
balsamic vinegar	1
grape	1
rice pudding	1
vinegar	1
banana smoothie	1
cabbage salad	1
soft drink	1
shrimp	1
chili sauce	1
bulgur wheat	1
chow	1
apple	1
tomato salad	1
ground beef	1
sugar	1
spinach salad	1
beer	1
bulgar wheat	1
liquor	1
butter	1
gluten	1
coke	1
spicy tomato	1
stick	1
olive	1
heart	1
bread sauce	1
slaw	1
juice	1
steak	1
lunch meat	1
naan bread	1
biriani	1
pistachio	1
wheat flour	1
topped	1
tomato sauce	1
mayonnaise	1
roll	1
tart	1
syrup	1
coconut milk	1
cocktail	1
summer vegetable	1
dijon dressing	1
blood	1
grilled lamb	1
salsa	1
collar	1
shish kebab	1
spanakopita	1
beverage	1
puree	1
wine	1
grilled chicken	1
tahini	1
pilaf	1
salt	1
turmeric	1
