food	count
meat	309
chicken	293
veggie	237
pizza	202
salad	193
sandwich	183
soy	163
sauce	158
spicy	156
dessert	151
tofu	135
burger	129
roll	117
cheese	99
ice cream	91
tea	86
coffee	83
beef	82
vegetable	78
noodle	77
soup	74
peanut	69
mushroom	68
rice	66
curry	66
gluten	66
wrap	64
filling	61
crab	60
bread	60
puff	60
sushi	57
thyme	54
chili	51
pomegranate	51
buffalo wing	50
chocolate	49
fruit	49
spice	49
water	48
hummus	45
brown rice	44
wing	43
chip	41
topping	39
fast food	37
fresh mint	37
steak	37
pasta	36
bbq chicken	35
artichoke	34
buffalo	34
taco	33
dressing	32
sour	32
peanut butter	32
almond	31
juice	31
milk	30
iced tea	30
pesto	30
lemonade	30
diet	30
chicken sandwich	29
tomato	29
fish	29
eggplant	29
mayo	29
onion	29
meatball	28
egg	28
chicken wing	28
split	28
strawberry	28
sugar	27
pie	27
cream	27
creamy	26
carrot	26
spring roll	26
baked good	26
shrimp	26
cake	26
lemongrass	25
cucumber	25
miso	25
comfort food	24
nut	24
pasta salad	24
pita	23
pepper	23
dip	22
stick	22
patty	22
lemon	22
heart	21
avocado	21
mint	21
bean	21
wheat	21
lentil	20
soda	20
ginger	20
berry	20
potato	20
sweet potato	19
junk food	19
beer	19
orange	19
bacon	18
latte	18
lettuce	18
samosa	18
pad thai	17
espresso	17
cupcake	17
beverage	17
nacho	16
spiced	16
french fry	16
apple	16
lime	16
coconut	16
cheesecake	16
chipotle	16
yogurt	16
kale	16
wine	15
coconut milk	15
green tea	15
garlic	15
rice noodle	15
apricot	15
mango	14
pastry	14
bbq sauce	14
seaweed	14
tuna	14
steamed	14
fried rice	13
sausage	13
dipping sauce	13
shake	13
cookie	13
syrup	13
coleslaw	13
grain	13
butter	13
topped	13
difference	12
cabbage	12
tahini	12
smoothie	12
savory	12
banana	12
salt	12
green salad	12
cream cheese	12
broth	12
broccoli	12
mozzarella	11
coconut curry	11
spinach	11
sushi roll	11
concoction	11
cooler	11
bun	11
tofu salad	11
donut	10
tiramisu	10
takeout	10
frozen yogurt	10
egg roll	10
gem	10
stuffed tomato	10
pink lady	10
vanilla	10
french toast	10
oil	10
burrito	10
ice	10
oatmeal	10
