food	count
chip	71
salsa	67
margarita	38
enchilada	26
chicken	23
taco	20
flour	17
buffet	15
cheese	14
beer	13
bean	11
rice	10
coffee	10
tamale	10
water	9
fish	8
chocolate	8
tequila	7
tortilla	7
noodle	7
black olive	6
flour tortilla	6
refried bean	6
spicy	6
sauce	5
dessert	5
sour cream	5
chile	5
quesadilla	5
fruit	5
burrito	5
meat	5
nacho	4
corn	4
shrimp	4
guacamole	4
veggie	4
vegetable	4
mayo	4
wine	4
round	3
banquet	3
roast	3
bacon	3
burger	3
side dish	3
lard	3
green corn	3
mocha	3
tortilla chip	3
beef	3
spinach	3
creamy	3
olive	3
salad	3
soup	3
cocktail	3
corn chip	2
smoothie	2
ketchup	2
ginger ale	2
batter	2
chicken taco	2
flavoring	2
liquor	2
caramel	2
pork	2
pepper	2
fast food	2
spaghetti	2
alcohol	2
ice	2
pasta	2
onion	2
chilly	2
black bean	2
java	2
tostada	2
ceviche	2
stick	2
hot sauce	2
mole	2
steak	2
beverage	2
pizza	2
tomato	2
seafood	2
brew	2
smoked	2
cherry	1
bay scallop	1
iced coffee	1
chicken quesadilla	1
shake	1
cilantro	1
snack	1
rose	1
cheeseburger	1
jam	1
board	1
chipotle	1
cappuccino	1
green salad	1
gem	1
shoulder	1
salsa verde	1
pie crust	1
cointreau	1
roll	1
chicken spinach	1
white chocolate	1
rack	1
grub	1
seasoning	1
spicy salsa	1
almond	1
rice noodle	1
huevos rancheros	1
lettuce cup	1
tres lech cake	1
ice cream	1
jalapeno	1
espresso	1
asian noodle	1
cheese crisp	1
bird	1
barbeque	1
chili pepper	1
cantaloupe	1
cauliflower	1
leg	1
mushroom sauce	1
fruit platter	1
grand marnier	1
raspberry	1
tomato juice	1
vinegar	1
pilaf	1
goody	1
cinnamon	1
swallow	1
french fry	1
sake	1
feed	1
ice water	1
champ	1
wrap	1
sugar	1
side meat	1
tart	1
beef taco	1
ground beef	1
prickly pear	1
white russian	1
molasses	1
finger food	1
nutrition	1
cosmopolitan	1
cream cheese	1
pulled pork	1
chili	1
flan	1
frozen mango	1
spice	1
edible	1
banana	1
corn tortilla	1
sour	1
bloody mary	1
roasted	1
soft drink	1
vodka	1
fowl	1
sushi	1
honey	1
carrot	1
rib	1
avocado salad	1
sundae	1
sandwich	1
soda	1
latte	1
mimosa	1
blood	1
baked good	1
hot dog	1
egg	1
mango	1
pineapple	1
salt	1
wing	1
