food	count
sandwich	48
picnic	29
soup	17
bread	16
pecan	16
egg	15
salad	14
chicken	11
coffee	11
veggie	11
french toast	11
iced tea	8
dessert	8
lemonade	8
ham	7
cheese	7
vegetable	7
cookie	6
pecan pie	6
grass	5
pastry	5
egg benedict	5
mimosa	5
tomato	5
omelette	5
baked good	5
scone	5
mayo	4
sausage	4
chicken salad	4
champagne	4
biscuit	4
chilly	4
tea	4
tuna	4
muffin	3
rosemary	3
waffle	3
bird	3
turkey	3
herb	3
water	3
steak	3
ice tea	3
bread pudding	3
bloody mary	3
home fry	3
heart	3
chip	3
pie	3
taco	3
orange	2
roasted potato	2
truffle	2
homemade lemonade	2
filling	2
smoked bacon	2
bacon	2
potato salad	2
granola	2
albacore	2
carrot cake	2
orange juice	2
italian sandwich	2
grain	2
cheese sandwich	2
creamy	2
hen	2
chicken sandwich	2
fresh food	2
butternut squash	2
mushroom	2
chocolate	2
pulled pork	2
omelet	2
syrup	2
blueberry	2
pickle	2
coconut	2
yogurt	2
whipped cream	2
gravy	2
fruit	2
potato	2
beverage	2
wine	2
walnut scone	1
apple butter	1
cheddar	1
green tea	1
green pepper	1
love cake	1
skin	1
side bacon	1
rosemary potato	1
sugar cookie	1
apple pie	1
rose	1
avocado	1
sugar	1
turkey club sandwich	1
focaccia	1
pesto	1
bechamel sauce	1
freshly baked bread	1
goat cheese	1
cranberry sauce	1
swiss chard	1
buttermilk biscuit	1
chocolate cake	1
red grape	1
difference	1
gem	1
shoulder	1
maple syrup	1
hollandaise	1
meat	1
cinnamon french toast	1
cooler	1
gum	1
bay	1
asparagus	1
tortilla	1
round	1
stuffed egg	1
grilled chicken	1
nut	1
oil	1
coconut cake	1
olive	1
sweet potato salad	1
jalapeno	1
espresso	1
white wine	1
barley	1
garlic soup	1
leg	1
black tea	1
pasta	1
passionfruit	1
pea	1
spinach	1
jelly	1
cranberry	1
berry	1
cherry	1
chorizo	1
sea salt	1
olive oil	1
loaf	1
shake	1
red onion	1
basil soup	1
egg salad	1
scallop	1
french bread	1
duck	1
wrap	1
apple turnover	1
breakfast burrito	1
bubbly	1
beef	1
wild mushroom	1
balsamic	1
spinach salad	1
belgian waffle	1
walnut salad	1
garnish	1
almond	1
chocolate chip cookie	1
tofu	1
melon	1
egg white	1
side order	1
spice	1
crumb	1
fruit salad	1
tater	1
sour	1
bean soup	1
sweet potato	1
meatball	1
honey	1
english muffin	1
carrot	1
mint	1
baguette	1
peach	1
red pepper	1
poached egg	1
blueberry pie	1
vegetable soup	1
tomato sauce	1
split	1
truffle oil	1
roasted sweet potato salad	1
ginger ale	1
tart	1
scrambled egg	1
flank steak	1
baked ham	1
soda	1
buffet	1
gelatin	1
hollandaise sauce	1
creme brulee	1
burrito	1
salt	1
breakfast food	1
jacket	1
brew	1
smoked	1
